row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
4	Q9NQ94;F8W9F8;Q9NQ94-5;Q9NQ94-3;Q9NQ94-2;Q9NQ94-4	A1CF	Q9NQ94	1	member	1:Q9NQ94:reviewed_human	0.000000
5	P01023;P20742;CON__ENSEMBL:ENSBTAP00000024146;P20742-2	A2M	P01023	1	member	1:P01023:reviewed_human	0.000186
6	Q2M2I8;Q2M2I8-2;E9PG46;A0A096LP60;A0A096LNZ0;A0A096LP25	AAK1	Q2M2I8	1	member	1:Q2M2I8:reviewed_human	0.000000
7	Q9H7C9;E9PNP3;E9PJP1;E9PLK9;K4DI89;Q9H7C9-3;Q9H7C9-2;E9PR47	AAMDC	Q9H7C9	1	member	1:Q9H7C9:reviewed_human	0.000210
8	P49588;P49588-2;H3BPK7	AARS	P49588	1	member	1:P49588:reviewed_human	0.001234
9	Q8IZY2;Q8IZY2-2;H0YCN5;A0A087WZX6;H0YF58;Q9BZC7;Q99758;Q9BZC7-3;E9PKG5;E9PL63;H0Y8E3;H0Y3H2;J3QSS3;A0A087WXK5	ABCA7	Q8IZY2	1	member	1:Q8IZY2:reviewed_human	0.003538
10	Q9NRK6	ABCB10	Q9NRK6	1	member	1:Q9NRK6:reviewed_human	0.000000
11	P21439;P21439-3;P21439-2	ABCB4	P21439	1	member	1:P21439:reviewed_human	0.000000
12	Q2M3G0	ABCB5	Q2M3G0	1	member	1:Q2M3G0:reviewed_human	0.000000
13	Q9NP58;Q9NP58-4;H7BXK9;H7C3Z0;H7C049;H7C245;O75027;H7C1R6;B4DGL8;A0A087WW65;O75027-3;O75027-2;Q2M3G0-1	ABCB6	Q9NP58	1	member	1:Q9NP58:reviewed_human	0.006923
14	P33527;P33527-9;I3L4X2;P33527-3;P33527-2;P33527-5;P33527-4;P33527-7;A0A0A0MS99;P33527-6;P33527-8;O15438;O15438-4;O15438-5;O15438-2	ABCC1	P33527	1	member	1:P33527:reviewed_human	0.015489
15	Q5T3U5;Q5T3U5-2;H0Y904	ABCC10	Q5T3U5	1	member	1:Q5T3U5:reviewed_human	0.000031
16	O15439;O15439-2;O15439-3;O15439-4	ABCC4	O15439	1	member	1:O15439:reviewed_human	0.005973
17	O15440;O15440-5;F8WCY8;A5PKY6;O15440-4;O15440-3;O15440-2;C9JZL5;Q96J66;F8WDH3;E9PET4;Q96J65;Q96J66-2	ABCC5	O15440	1	member	1:O15440:reviewed_human	0.000299
18	H0Y990	ABCE1	P61221	gene	member_via_gene	1:H0Y990:unreviewed/9606; gene:ABCE1:P61221	0.000000
19	P61221;D6R9I9;D6RGF4	ABCE1	P61221	1	member_duplicate_entry	1:P61221:reviewed_human	0.002002
20	F5GYK6	ABCF1	Q8NE71	gene	member_via_gene	1:F5GYK6:unreviewed/9606; gene:ABCF1:Q8NE71	0.000117
21	Q8NE71;Q8NE71-2;H0YGW7;A0A0G2JIC2;Q5STZ8	ABCF1	Q8NE71	1	member_duplicate_entry	1:Q8NE71:reviewed_human	0.002187
22	Q9UNQ0;Q9UNQ0-2;H0YAF3;H0YAF1	ABCG2	Q9UNQ0	1	member	1:Q9UNQ0:reviewed_human	0.000911
23	Q96IU4;B4DQI4;F8W9U3;Q96IU4-2	ABHD14B	Q96IU4	1	member	1:Q96IU4:reviewed_human	0.023228
24	O95870;A0A0G2JJD3;O95870-2;A0A0G2JI89;F2Z3H2;F2Z3G6	ABHD16A	O95870	1	member	1:O95870:reviewed_human	0.000394
25	Q5VST6;Q5VST6-2;Q96GS6;Q96GS6-2	ABHD17B	Q5VST6	1	member	1:Q5VST6:reviewed_human	0.002820
26	H0Y897;D3YTG3;H0YCP4;H0YF18;Q5JPC9	ABI3BP;DKFZp667H216	Q7Z7G0	gene	member_via_gene	1:H0Y897:unreviewed/9606; 2:D3YTG3:unreviewed/9606; 3:H0YCP4:unreviewed/9606; 4:H0YF18:unreviewed/9606; 5:Q5JPC9:unreviewed/9606; gene:ABI3BP;DKFZp667H216:Q7Z7G0	0.000000
27	Q9P1F3;Q5SZC9	ABRACL	Q9P1F3	1	member	1:Q9P1F3:reviewed_human	0.005450
28	O00763;O00763-3;O00763-2;Q13085;Q13085-4;S4R3S7;Q13085-3;Q13085-2	ACACB	O00763	1	member	1:O00763:reviewed_human	0.000029
29	Q15057;A0A087X1H5;H7C3Q8;H7C3K3	ACAP2	Q15057	1	member	1:Q15057:reviewed_human	0.000207
30	Q9BWD1;Q9BWD1-2	ACAT2	Q9BWD1	1	member	1:Q9BWD1:reviewed_human	0.025464
31	P22303;P22303-4;P22303-2;P22303-3;F8WD68;C9JZL6;F8WAR7;C9J2S3;C9JD78;O00748;Q5XG92;J3QSC0;A0A0C4DGH1;A0A024R6X1;Q5XG92-4;Q5XG92-6;Q5XG92-2;O00748-2	ACHE	P22303	1	member	1:P22303:reviewed_human	0.002020
32	Q16570;Q16570-2	ACKR1	Q16570	1	member	1:Q16570:reviewed_human	0.001392
33	P53396;P53396-2;P53396-3;K7EIE7;K7ESG8	ACLY	P53396	1	member	1:P53396:reviewed_human	0.138103
34	P21399	ACO1	P21399	1	member	1:P21399:reviewed_human	0.000756
35	O00154;O00154-6;O00154-4;O00154-7;O00154-5;K7EKP8;O00154-2;O00154-3;Q6ZUV0	ACOT7	O00154	1	member	1:O00154:reviewed_human	0.002537
36	P24666;G5E9R5;P24666-4;P24666-3;F2Z2Q9	ACP1	P24666	1	member	1:P24666:reviewed_human	0.048939
37	P24666-2;D3YTI2	ACP1	P24666	1	member_duplicate_entry	1:P24666:reviewed_human	0.001039
38	P33121;E7EPM6;P33121-2;P33121-3;B7Z3Z9;D6RER0;H0Y9U7;H0Y9Z9;D6RG07	ACSL1	P33121	1	member	1:P33121:reviewed_human	0.000000
39	O95573;F5GWH2	ACSL3	O95573	1	member	1:O95573:reviewed_human	0.000472
40	D6RD96	ACSL4	O60488	gene	member_via_gene	1:D6RD96:?/?; gene:ACSL4:O60488	0.000000
41	O60488;O60488-2;H0Y9A0;D6RF95;D6RFW9;D6RDA8	ACSL4	O60488	1	member_duplicate_entry	1:O60488:reviewed_human	0.004525
42	Q9ULC5;Q9ULC5-3;Q9ULC5-4	ACSL5	Q9ULC5	1	member	1:Q9ULC5:reviewed_human	0.000280
43	Q9UKU0;Q9UKU0-9;Q9UKU0-1;Q9UKU0-5;Q9UKU0-6;E7ERD7;Q9UKU0-7;C9JPA5;C9JT10	ACSL6	Q9UKU0	1	member	1:Q9UKU0:reviewed_human	0.000000
44	Q9UKU0-3;Q9UKU0-8;Q9UKU0-2;C9J8C7;C9J3Z0;C9J4I1;C9JK59	ACSL6	Q9UKU0	1	member_duplicate_entry	1:Q9UKU0:reviewed_human	0.002743
