row_index	identity_cell	gene_cell	entry	outcome	published_share_percent
1202	P04264;CON__P04264	KRT1	P04264	keratin	0.265030
998	G3V1N2	HBA2		no_reviewed_human_entry	0.189468
1206	P08779;CON__P08779;K7ENW6;CON__Q9Z2K1;CON__Q3ZAW8;K7ENV3;CON__Q9D312;Q7Z3Y9;CON__Q7Z3Y9;Q8N1A0;CON__Q8N1A0;Q8N1A0-2	KRT16	P08779	keratin	0.116930
1203	P13645;CON__P13645;CON__P02535-1;Q7Z3Y7;CON__Q7Z3Y7;CON__Q148H6;Q7Z3Y8;CON__Q7Z3Y8;Q2M2I5;CON__Q2M2I5;Q7Z3Z0;CON__Q7Z3Z0	KRT10	P13645	keratin	0.114208
1235	P35527;CON__P35527	KRT9	P35527	keratin	0.096019
1210	P35908	KRT2	P35908	keratin	0.080353
1215	O76009;CON__O76009;CON__Q6NTB9	KRT33A	O76009	keratin	0.042870
1205	P02533;CON__P02533;CON__Q61782;Q99456;CON__Q99456	KRT14	P02533	keratin	0.024794
1173	E7ETW3	KEL		no_reviewed_human_entry	0.020752
470	H3BQ48;O95086;Q2TA70;B4DFF3	CLN3		no_reviewed_human_entry	0.020702
100	P02768;CON__P02768-1;A0A0C4DGB6;B7WNR0;H0YA55;D6RHD5;C9JKR2;P02768-3;P02768-2;A0A087WWT3;H7C013	ALB	P02768	named_contaminant	0.015586
1221	P13647;CON__P13647;F8W0C6;H0YI76;H0YIN9;CON__P07744;F8W1U3;F8VV57;CON__H-INV:HIT000016045;F8VP67;F8VU69;F8VRG4;P14136;P14136-2;K7EJU1;P14136-3;P12036;B4DIR1;K7ELP4;K7EKH9;P12036-2;H0YHD9;CON__REFSEQ:XP_092267;F8VS61	KRT5	P13647	keratin	0.013592
381	E7EQ12;D6RAA8	CAST		no_reviewed_human_entry	0.009235
1231	P78386;CON__P78386;F5GYI5	KRT85	P78386	keratin	0.008484
1208	Q04695;CON__Q04695;F5GWP8;K7ESE1;K7ELP7;CON__Q99PS0	KRT17	Q04695	keratin	0.006154
1222	P02538;CON__P02538;CON__Q8VED5;CON__H-INV:HIT000292931;Q8IWY7	KRT6A	P02538	keratin	0.004955
999	F8W6P5	HBB		no_reviewed_human_entry	0.004861
1001	E9PEW8;C9JRG0;A8MUF7	HBD		no_reviewed_human_entry	0.004669
349	E5RIF9;E5RFL2;E5RGU8;E5RII2;E5RHS7	CA1		no_reviewed_human_entry	0.003170
347	E5RFE7	CA1		no_reviewed_human_entry	0.002178
380	D6RC54	CAST		no_reviewed_human_entry	0.001984
1721	K7EQK3;X6RAV4;K7EPR5	PRKAR1A		no_reviewed_human_entry	0.001594
606	A0A0D9SEM9	DDX39A		no_reviewed_human_entry	0.001425
1223	P04259	KRT6B	P04259	keratin	0.000815
1213	Q15323;CON__Q9UE12;CON__Q15323;G3V1C2;Q6A163;CON__Q6IFU6	KRT31	Q15323	keratin	0.000728
382	E7EVY3;H0Y9H6;A0A0A0MR45;H0YD33	CAST		no_reviewed_human_entry	0.000678
2418	H0YE90	TSTA3		no_reviewed_human_entry	0.000650
1836	A0A087WTI1	RAB1B		no_reviewed_human_entry	0.000452
1209	P08727;CON__P08727;C9JM50;K7EMS3	KRT19	P08727	keratin	0.000447
1204	P13646;P13646-3;K7ERE3;CON__ENSEMBL:ENSP00000377550;CON__P13646-1;P13646-2;K7EMD9;K7EQH6;K7EMJ2	KRT13	P13646	keratin	0.000429
1207	K7EPJ9	KRT17		no_reviewed_human_entry	0.000364
1892	H0Y905	RAPGEF2		no_reviewed_human_entry	0.000349
1233	A6NCN2	KRT87P	A6NCN2	keratin	0.000330
1230	P78385;CON__Q6NT21	KRT83	P78385	keratin	0.000324
1736	B7ZB02	PRPS1		no_reviewed_human_entry	0.000321
1229	Q9NSB4;CON__Q9NSB4	KRT82	Q9NSB4	keratin	0.000257
1220	P19013;CON__P19013;F8VX05;F8VZR6	KRT4	P19013	keratin	0.000227
1634	X6R8S9	PITHD1		no_reviewed_human_entry	0.000178
599	F5H0Y5	DDB1		no_reviewed_human_entry	0.000143
1226	Q7RTS7;CON__Q7RTS7;F8W1S1	KRT74	Q7RTS7	keratin	0.000141
2490	H0Y5R6	UROD		no_reviewed_human_entry	0.000125
20	F5GYK6	ABCF1		no_reviewed_human_entry	0.000117
834	A9Z1Z3-3;A9Z1Z3	FER1L4		no_reviewed_human_entry	0.000103
659	K7EPK9	DNM2		no_reviewed_human_entry	0.000082
487	C9K0L8;K7ERZ0;K7EN66	CNP		no_reviewed_human_entry	0.000077
958	A0A096LP07;A8K070;A0A096LPJ3;J3KSA5;J3KRJ4;J3QLT0;J3KTB0;J3QS88;J3QL53;J3QLE8;J3KRE8;J3QS84;J3QQX0	GPS1		no_reviewed_human_entry	0.000075
1225	Q86Y46;CON__Q32MB2;H0YIC5;Q86Y46-2;Q3SY84;CON__Q3SY84;H0YIG3	KRT73;KRT71	Q86Y46	keratin	0.000065
1883	F5GZG1	RAP1B		no_reviewed_human_entry	0.000056
2387	J3KN67	TPM3		no_reviewed_human_entry	0.000049
48	K7EM38	ACTG1		no_reviewed_human_entry	0.000048
1786	C9JPC0;F8WBS8	PSMD2		no_reviewed_human_entry	0.000048
1430	F8W543	NAP1L1		no_reviewed_human_entry	0.000039
1218	Q92764;CON__Q92764;C4AM86	KRT35	Q92764	keratin	0.000035
