row_index	identity_cell	gene_cell	entry	entry_token_rank	outcome	tokens_checked	published_share_percent
2	P11021;B4DEF7	HSPA5	P11021	1	member	1:P11021:reviewed_human	0.000444
3	Q76LX8;Q76LX8-3;Q76LX8-2	ADAMTS13	Q76LX8	1	member	1:Q76LX8:reviewed_human	0.000454
4	P60709;B4E335;P63261;F5H0N0;B4DW52;I3L3I4;F5GYT4;I3L3I0;I3L1U9	ACTB;ACTG1	P60709	1	member	1:P60709:reviewed_human	0.003941
5	P63267;P68133;P62736;P68032;Q5T8M8;A6NL76;B4DUI8;Q5T8M7;F5H1C1;E7EQV5;E9PG30;F8WB63;B8ZZJ2;C9JFL5;F6UVQ4;F6QUT6	ACTG2;ACTA1;ACTA2;ACTC1	P63267	1	member	1:P63267:reviewed_human	0.000646
6	Q9HDC9;H0Y512;Q9HDC9-2	APMAP	Q9HDC9	1	member	1:Q9HDC9:reviewed_human	0.000749
7	Q15848	ADIPOQ	Q15848	1	member	1:Q15848:reviewed_human	0.005249
8	P43652	AFM	P43652	1	member	1:P43652:reviewed_human	0.047339
9	P02763	ORM1	P02763	1	member	1:P02763:reviewed_human	0.776669
10	P19652	ORM2	P19652	1	member	1:P19652:reviewed_human	0.041931
11	P01011;G3V5I3;G3V595	SERPINA3;GAA	P01011	1	member	1:P01011:reviewed_human	0.604486
12	P01009;P01009-2;P01009-3	SERPINA1	P01009	1	member	1:P01009:reviewed_human	7.127807
13	P04217	A1BG	P04217	1	member	1:P04217:reviewed_human	0.317122
14	P08697;P08697-2;C9JMH6	SERPINF2	P08697	1	member	1:P08697:reviewed_human	0.113679
15	P02765;F5H0Q5;C9JV77	AHSG	P02765	1	member	1:P02765:reviewed_human	0.402241
16	P01023;H0YGH4	A2M	P01023	1	member	1:P01023:reviewed_human	7.022568
17	P15144;B4DP96	ANPEP	P15144	1	member	1:P15144:reviewed_human	0.000230
18	P03950	ANG	P03950	1	member	1:P03950:reviewed_human	0.000030
19	P01019;E7EUC5	AGT	P01019	1	member	1:P01019:reviewed_human	0.088123
20	P01008	SERPINC1	P01008	1	member	1:P01008:reviewed_human	0.448710
21	P02647;F8W696	APOA1	P02647	1	member	1:P02647:reviewed_human	8.059646
22	P02652	APOA2	P02652	1	member	1:P02652:reviewed_human	0.915116
23	P06727	APOA4	P06727	1	member	1:P06727:reviewed_human	0.691602
24	P04114;F5H109	APOB	P04114	1	member	1:P04114:reviewed_human	1.739546
25	P02654	APOC1	P02654	1	member	1:P02654:reviewed_human	0.142394
26	P02655	APOC2	P02655	1	member	1:P02655:reviewed_human	0.084114
27	P02656	APOC3	P02656	1	member	1:P02656:reviewed_human	0.258408
28	P55056	APOC4	P55056	1	member	1:P55056:reviewed_human	0.001467
29	C9JF17;P05090;C9JX71	APOD	P05090	2	member_via_later_token	1:C9JF17:unreviewed/9606; 2:P05090:reviewed_human	0.033844
30	P02649;H0Y7L5;E9PEV4;E7ERP7	APOE	P02649	1	member	1:P02649:reviewed_human	0.202437
31	Q13790;F5GXS5	APOF	Q13790	1	member	1:Q13790:reviewed_human	0.002990
32	O14791;O14791-2;E9PF24;G8JL88	APOL1	O14791	1	member	1:O14791:reviewed_human	0.038577
33	O95445	APOM	O95445	1	member	1:O95445:reviewed_human	0.022622
34	O75882;H7BXY8;O75882-3;O75882-2	ATRN	O75882	1	member	1:O75882:reviewed_human	0.008536
35	P02749	APOH	P02749	1	member	1:P02749:reviewed_human	0.135203
36	P61769;F5H6I0;H0YLF3	B2M	P61769	1	member	1:P61769:reviewed_human	0.004065
37	Q96KN2	CNDP1	Q96KN2	1	member	1:Q96KN2:reviewed_human	0.007809
38	P43251;F8W1Q3;B4DLJ9;A6NHF2;C9JSN9	BTD	P43251	1	member	1:P43251:reviewed_human	0.005085
39	P04003	C4BPA	P04003	1	member	1:P04003:reviewed_human	0.033369
40	P20851;P20851-2;Q5VVQ7;E7EQT9	C4BPB	P20851	1	member	1:P20851:reviewed_human	0.002849
41	P55290;F5H6D5;B7Z590	CDH13	P55290	1	member	1:P55290:reviewed_human	0.000194
42	P33151;E7EPJ8;I3L1J2	CDH5	P33151	1	member	1:P33151:reviewed_human	0.001618
43	P31327;H0YGP4;P31327-2	CPS1	P31327	1	member	1:P31327:reviewed_human	0.000332
44	P00915;E5RHP7;E5RH81;E5RFE7;E5RIF9;E5RG43;H0YBE2	CA1	P00915	1	named_contaminant	1:P00915:reviewed_human	0.000543
45	Q96IY4;Q96IY4-2	CPB2	Q96IY4	1	member	1:Q96IY4:reviewed_human	0.009269
46	P15169	CPN1	P15169	1	member	1:P15169:reviewed_human	0.013030
47	P22792	CPN2	P22792	1	member	1:P22792:reviewed_human	0.016727
48	Q9NQ79;Q5T4F6;Q9NQ79-3;Q9NQ79-2	CRTAC1	Q9NQ79	1	member	1:Q9NQ79:reviewed_human	0.000403
49	G3XAP6;E9PFW4;B4DKJ3;P49747;CON__ENSEMBL:ENSBTAP00000006074	COMP	P49747	4	member_via_later_token	1:G3XAP6:unreviewed/9606; 2:E9PFW4:?/?; 3:B4DKJ3:?/?; 4:P49747:reviewed_human	0.001203
50	Q9H257;Q9H257-3;Q9H257-2	CARD9	Q9H257	1	member	1:Q9H257:reviewed_human	0.003688
51	P31944	CASP14	P31944	1	member	1:P31944:reviewed_human	0.000882
52	P49913	CAMP	P49913	1	member	1:P49913:reviewed_human	0.000573
53	Q13740;F5GXJ9;Q13740-2;B4DTU0	ALCAM	Q13740	1	member	1:Q13740:reviewed_human	0.024009
