row_index	identity_cell	gene_cell	entry	outcome	published_share_percent
204	P0CG05;P0CG06	IGLC2;IGLC3		no_reviewed_human_entry	1.452299
79	A2BHY4;F8VX64	C4B		no_reviewed_human_entry	1.020108
186	P01623			no_reviewed_human_entry	0.606549
314	D6RF35;D6RAK8;D6RBJ7	GC		no_reviewed_human_entry	0.425193
128	P68871;F8W6P5	HBB	P68871	named_contaminant	0.212899
175	P06309			no_reviewed_human_entry	0.131876
127	P69905;G3V1N2	HBA1;HBA2	P69905	named_contaminant	0.120777
157	P01765			no_reviewed_human_entry	0.096358
187	P01625;P06314			no_reviewed_human_entry	0.072587
171	P01608			no_reviewed_human_entry	0.065422
165	P01598;P01596			no_reviewed_human_entry	0.055859
78	B0UZ83;B0V2C8;F8VZD8;F8VW91	C4A		no_reviewed_human_entry	0.036935
170	P01613			no_reviewed_human_entry	0.027446
201	P01719;P01720			no_reviewed_human_entry	0.021550
193	P01702;P06316			no_reviewed_human_entry	0.021466
196	P01708			no_reviewed_human_entry	0.015754
178	P04207;H7C1X1			no_reviewed_human_entry	0.009616
182	P01621			no_reviewed_human_entry	0.008948
197	P04209			no_reviewed_human_entry	0.006782
169	P01612			no_reviewed_human_entry	0.006605
181	P06311			no_reviewed_human_entry	0.005567
285	A6NJ16	IGHV4OR15-8		no_reviewed_human_entry	0.005543
227	P13647;CON__P13647;E7EU87	KRT5	P13647	keratin	0.004019
168	P01604			no_reviewed_human_entry	0.002678
203	P06318;P06319			no_reviewed_human_entry	0.002665
156	P01775			no_reviewed_human_entry	0.002506
190	P06888			no_reviewed_human_entry	0.002400
167	P01603			no_reviewed_human_entry	0.002345
179	P04206			no_reviewed_human_entry	0.002158
180	P18135;P18136			no_reviewed_human_entry	0.001366
224	P04264;CON__P04264	KRT1	P04264	keratin	0.000993
159	P01776			no_reviewed_human_entry	0.000864
184	P01620			no_reviewed_human_entry	0.000774
322	B7ZKJ8;F5GXQ1	ITIH4		no_reviewed_human_entry	0.000622
173	P01610			no_reviewed_human_entry	0.000603
44	P00915;E5RHP7;E5RH81;E5RFE7;E5RIF9;E5RG43;H0YBE2	CA1	P00915	named_contaminant	0.000543
226	P19013;F5H8K9;CON__P19013;F8VS64	KRT4	P19013	keratin	0.000238
129	P02042;E9PFT6;E9PEW8	HBD	P02042	named_contaminant	0.000170
228	P48668;E7EQV7;CON__P48668;CON__P04259	KRT6C	P48668	keratin	0.000129
202	P06317			no_reviewed_human_entry	0.000119
222	P08779;CON__P08779	KRT16	P08779	keratin	0.000094
225	CON__P35908;P35908	KRT2		contaminant_group	0.000090
172	P01609			no_reviewed_human_entry	0.000077
223	P35527;CON__P35527	KRT9	P35527	keratin	0.000039
221	P13645;CON__P13645	KRT10	P13645	keratin	0.000023
