term_id	distance	relation	child_id	name	namespace	definition	obsolete
GO:0043292	1	is_a	GO:0030016	contractile muscle fiber	cellular_component	"Fibers, composed of actin, myosin, and associated proteins, found in cells of smooth or striated muscle." [GOC:curators, ISBN:0815316194]	false
GO:0043232	2	is_a	GO:0043292	intracellular membraneless organelle	cellular_component	"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane and occurring within the cell. Includes ribosomes, the cytoskeleton and chromosomes." [GOC:curators]	false
GO:0099512	2	is_a	GO:0043292	supramolecular fiber	cellular_component	"A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure." [GOC:dos]	false
GO:0005737	2	part_of	GO:0043292	cytoplasm	cellular_component	"The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures." [ISBN:0198547684]	false
GO:0043228	3	is_a	GO:0043232	membraneless organelle	cellular_component	"Organized structure of distinctive morphology and function, not bounded by a lipid bilayer membrane. Includes ribosomes, the cytoskeleton and chromosomes." [GOC:curators]	false
GO:0043229	3	is_a	GO:0043232	intracellular organelle	cellular_component	"Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane." [GOC:curators]	false
GO:0099081	3	is_a	GO:0099512	supramolecular polymer	cellular_component	"A polymeric supramolecular structure." [GOC:dos]	false
GO:0110165	3	is_a	GO:0005737	cellular anatomical structure	cellular_component	"A part of a cellular organism consisting of a material entity with granularity above the level of a protein complex but below that of an anatomical system. Note that cellular organisms exclude viruses." [GOC:kmv]	false
GO:0005622	3	part_of	GO:0005737	intracellular anatomical structure	cellular_component	"A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm." [ISBN:0198506732]	false
GO:0043226	4	is_a	GO:0043228	organelle	cellular_component	"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane." [GOC:curators]	false
GO:0099080	4	is_a	GO:0099081	supramolecular complex	cellular_component	"A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber." [GOC:dos]	false
GO:0005575	4	is_a	GO:0110165	cellular_component	cellular_component	"A location, relative to cellular compartments and structures, occupied by a macromolecular machine. There are three types of cellular components described in the gene ontology: (1) the cellular anatomical entity where a gene product carries out a molecular function (e.g., plasma membrane, cytoskeleton) or membrane-enclosed compartments (e.g., mitochondrion); (2) virion components, where viral proteins act, and (3) the stable macromolecular complexes of which gene product are parts (e.g., the clathrin complex)." [GOC:pdt]	false
