gene	outcome	accessions	matched_by	uniprot_primary_symbol
A1BG	member	P04217	primary	A1BG
A2M	member	P01023	primary	A2M
A2ML1	member	A8K2U0	primary	A2ML1
AAK1	member	Q2M2I8	primary	AAK1
AAMDC	member	Q9H7C9	primary	AAMDC
AARS	member	P49588	synonym	AARS1
AARS2	member	Q5JTZ9	primary	AARS2
AARSD1	member	Q9BTE6	primary	AARSD1
AASS	member	Q9UDR5	primary	AASS
ABCA6	member	Q8N139	primary	ABCA6
ABCA8	member	O94911	primary	ABCA8
ABCB10	member	Q9NRK6	primary	ABCB10
ABCB7	member	O75027	primary	ABCB7
ABCC4	member	O15439	primary	ABCC4
ABCC9	in_tier1	O60706	primary	ABCC9
ABCD1	member	P33897	primary	ABCD1
ABCE1	member	P61221	primary	ABCE1
ABCF1	member	Q8NE71	primary	ABCF1
ABCF2	member	Q9UG63	primary	ABCF2
ABHD10	member	Q9NUJ1	primary	ABHD10
ABHD11	member	Q8NFV4	primary	ABHD11
ABHD14A-ACY1	unmapped			
ABHD14B	member	Q96IU4	primary	ABHD14B
ABHD16A	member	O95870	primary	ABHD16A
ABI3BP	member	Q7Z7G0	primary	ABI3BP
ABLIM1	member	O14639	primary	ABLIM1
ABLIM2	in_tier1	Q6H8Q1	primary	ABLIM2
ABLIM3	member	O94929	primary	ABLIM3
ABRA	in_tier1	Q8N0Z2	primary	ABRA
ACAA1	member	P09110	primary	ACAA1
ACAA2	member	P42765	primary	ACAA2
ACACB	member	O00763	primary	ACACB
ACAD11	member	Q709F0	primary	ACAD11
ACAD8	member	Q9UKU7	primary	ACAD8
ACAD9	member	Q9H845	primary	ACAD9
ACADM	member	P11310	primary	ACADM
ACADS	member	P16219	primary	ACADS
ACADSB	member	P45954	primary	ACADSB
ACADVL	member	P49748	primary	ACADVL
ACAT1	ambiguous	P24752;P35610		
ACAT2	ambiguous	O75908;Q9BWD1		
ACBD3	member	Q9H3P7	primary	ACBD3
ACE	member	P12821	primary	ACE
ACIN1	member	Q9UKV3	primary	ACIN1
ACLY	member	P53396	primary	ACLY
ACO1	member	P21399	primary	ACO1
ACO2	member	Q99798	primary	ACO2
ACOT1	member	Q86TX2	primary	ACOT1
ACOT13	member	Q9NPJ3	primary	ACOT13
ACOT2	member	P49753	primary	ACOT2
ACOT7	member	O00154	primary	ACOT7
ACOT9	member	Q9Y305	primary	ACOT9
ACOX1	member	Q15067	primary	ACOX1
ACOX3	member	O15254	primary	ACOX3
ACP1	member	P24666	primary	ACP1
ACSF2	member	Q96CM8	primary	ACSF2
ACSF3	member	Q4G176	primary	ACSF3
ACSL1	member	P33121	primary	ACSL1
ACSL3	member	O95573	primary	ACSL3
ACSL4	member	O60488	primary	ACSL4
ACSS1	member	Q9NUB1	primary	ACSS1
ACSS2	member	Q9NR19	primary	ACSS2
ACTA1	in_tier1	P68133	primary	ACTA1
ACTBL2	member	Q562R1	primary	ACTBL2
ACTG1	in_tier1	P63261	primary	ACTG1
ACTN1	in_tier1	P12814	primary	ACTN1
ACTN2	in_tier1	P35609	primary	ACTN2
ACTN3	in_tier1	Q08043	primary	ACTN3
ACTN4	in_tier1	O43707	primary	ACTN4
ACTR10	member	Q9NZ32	primary	ACTR10
ACTR1A	member	P61163	primary	ACTR1A
ACTR1B	member	P42025	primary	ACTR1B
ACTR2	member	P61160	primary	ACTR2
ACTR3	member	P61158	primary	ACTR3
ACY1	member	Q03154	primary	ACY1
ACYP2	member	P14621	primary	ACYP2
ADA	member	P00813	primary	ADA
ADAM10	member	O14672	primary	ADAM10
ADAMTSL4	member	Q6UY14	primary	ADAMTSL4
ADAR	member	P55265	primary	ADAR
ADCK3	member	Q8NI60	synonym	COQ8A
ADCK5	member	Q3MIX3	primary	ADCK5
ADD1	member	P35611	primary	ADD1
ADD2	member	P35612	primary	ADD2
ADD3	member	Q9UEY8	primary	ADD3
ADH1B	member	P00325	primary	ADH1B
ADH1C	member	P00326	primary	ADH1C
ADH5	member	P11766	primary	ADH5
ADHFE1	member	Q8IWW8	primary	ADHFE1
ADIRF	member	Q15847	primary	ADIRF
ADK	member	P55263	primary	ADK
ADO	member	Q96SZ5	primary	ADO
ADPRHL1	in_tier1	Q8NDY3	primary	ADPRHL1
ADPRHL2	member	Q9NX46	synonym	ADPRS
ADSL	member	P30566	primary	ADSL
ADSSL1	member	Q8N142	synonym	ADSS1
AEBP1	member	Q8IUX7	primary	AEBP1
AFAP1L2	member	Q8N4X5	primary	AFAP1L2
AFG3L2	member	Q9Y4W6	primary	AFG3L2
AFM	member	P43652	primary	AFM
AGK	member	Q53H12	primary	AGK
AGL	member	P35573	primary	AGL
AGMAT	member	Q9BSE5	primary	AGMAT
AGO2	member	Q9UKV8	primary	AGO2
AGO3	member	Q9H9G7	primary	AGO3
AGPAT3	member	Q9NRZ7	primary	AGPAT3
AGPAT9	member	Q53EU6	synonym	GPAT3
AGPS	member	O00116	primary	AGPS
AGRN	member	O00468	primary	AGRN
AHCTF1	member	Q8WYP5	primary	AHCTF1
AHCY	member	P23526	primary	AHCY
AHCYL2	member	Q96HN2	primary	AHCYL2
AHDC1	member	Q5TGY3	primary	AHDC1
AHNAK	in_tier1	Q09666	primary	AHNAK
AHNAK2	member	Q8IVF2	primary	AHNAK2
AHSA1	member	O95433	primary	AHSA1
AHSG	member	P02765	primary	AHSG
AHSP	member	Q9NZD4	primary	AHSP
AIFM1	member	O95831	primary	AIFM1
AIMP1	member	Q12904	primary	AIMP1
AIMP2	member	Q13155	primary	AIMP2
AIP	ambiguous	O00170;Q9NWT8		
AK1	member	P00568	primary	AK1
AK2	member	P54819	primary	AK2
AK3	ambiguous	P27144;Q9UIJ7		
AK4	member	P27144	primary	AK4
AKAP1	member	Q92667	primary	AKAP1
AKAP12	member	Q02952	primary	AKAP12
AKAP13	member	Q12802	primary	AKAP13
AKAP2	unmapped			
AKAP9	member	Q99996	primary	AKAP9
AKR1A1	member	P14550	primary	AKR1A1
AKR1B1	member	P15121	primary	AKR1B1
AKR1C1	member	Q04828	primary	AKR1C1
AKR1C2	member	P52895	primary	AKR1C2
AKR1D1	member	P51857	primary	AKR1D1
AKR7A2	member	O43488	primary	AKR7A2
AKT1	member	P31749	primary	AKT1
AKT1S1	member	Q96B36	primary	AKT1S1
AKT2	member	P31751	primary	AKT2
ALAD	member	P13716	primary	ALAD
ALCAM	member	Q13740	primary	ALCAM
ALDH16A1	member	Q8IZ83	primary	ALDH16A1
ALDH18A1	member	P54886	primary	ALDH18A1
ALDH1A1	member	P00352	primary	ALDH1A1
ALDH1A2	member	O94788	primary	ALDH1A2
ALDH1B1	member	P30837	primary	ALDH1B1
ALDH1L1	member	O75891	primary	ALDH1L1
ALDH1L2	member	Q3SY69	primary	ALDH1L2
ALDH2	member	P05091	primary	ALDH2
ALDH3A2	member	P51648	primary	ALDH3A2
ALDH4A1	member	P30038	primary	ALDH4A1
ALDH5A1	member	P51649	primary	ALDH5A1
ALDH6A1	member	Q02252	primary	ALDH6A1
ALDH7A1	member	P49419	primary	ALDH7A1
ALDH9A1	member	P49189	primary	ALDH9A1
ALDOA	in_tier1	P04075	primary	ALDOA
ALDOC	member	P09972	primary	ALDOC
ALOX12B	member	O75342	primary	ALOX12B
ALPK3	member	Q96L96	primary	ALPK3
ALYREF	member	Q86V81	primary	ALYREF
AMBP	member	P02760	primary	AMBP
AMPD1	member	P23109	primary	AMPD1
AMPD2	member	Q01433	primary	AMPD2
AMPD3	member	Q01432	primary	AMPD3
AMY1A	member	P0DUB6	primary	AMY1A
AMY2A	member	P04746	primary	AMY2A
AMY2B	member	P19961	primary	AMY2B
ANG	member	P03950	primary	ANG
ANK1	in_tier1	P16157	primary	ANK1
ANK2	in_tier1	Q01484	primary	ANK2
ANK3	in_tier1	Q12955	primary	ANK3
ANKFY1	member	Q9P2R3	primary	ANKFY1
ANKRD1	in_tier1	Q15327	primary	ANKRD1
ANKRD17	member	O75179	primary	ANKRD17
ANKRD2	in_tier1	Q9GZV1	primary	ANKRD2
ANKRD35	member	Q8N283	primary	ANKRD35
ANKRD50	member	Q9ULJ7	primary	ANKRD50
ANO10	member	Q9NW15	primary	ANO10
ANP32A	member	P39687	primary	ANP32A
ANP32B	member	Q92688	primary	ANP32B
ANXA1	member	P04083	primary	ANXA1
ANXA11	member	P50995	primary	ANXA11
ANXA2	member	P07355	primary	ANXA2
ANXA2P2	member	A6NMY6	primary	ANXA2P2
ANXA3	member	P12429	primary	ANXA3
ANXA4	member	P09525	primary	ANXA4
ANXA5	member	P08758	primary	ANXA5
ANXA6	member	P08133	primary	ANXA6
ANXA7	member	P20073	primary	ANXA7
AOC3	member	Q16853	primary	AOC3
AP1B1	member	Q10567	primary	AP1B1
AP1G1	member	O43747	primary	AP1G1
AP1M1	member	Q9BXS5	primary	AP1M1
AP1S2	member	P56377	primary	AP1S2
AP2A1	member	O95782	primary	AP2A1
AP2A2	member	O94973	primary	AP2A2
AP2B1	member	P63010	primary	AP2B1
AP2M1	member	Q96CW1	primary	AP2M1
AP2S1	member	P53680	primary	AP2S1
AP3B1	member	O00203	primary	AP3B1
AP3D1	member	O14617	primary	AP3D1
AP4B1	member	Q9Y6B7	primary	AP4B1
APCS	member	P02743	primary	APCS
APEH	member	P13798	primary	APEH
APEX1	member	P27695	primary	APEX1
API5	member	Q9BZZ5	primary	API5
APIP	member	Q96GX9	primary	APIP
APMAP	member	Q9HDC9	primary	APMAP
APOA1	member	P02647	primary	APOA1
APOA1BP	member	Q8NCW5	synonym	NAXE
APOA2	member	P02652	primary	APOA2
APOA4	member	P06727	primary	APOA4
APOB	member	P04114	primary	APOB
APOBEC2	member	Q9Y235	primary	APOBEC2
APOC1	member	P02654	primary	APOC1
APOC2	member	P02655	primary	APOC2
APOC3	member	P02656	primary	APOC3
APOC4-APOC2	unmapped			
APOD	member	P05090	primary	APOD
APOE	member	P02649	primary	APOE
APOH	member	P02749	primary	APOH
APOL1	member	O14791	primary	APOL1
APOL2	member	Q9BQE5	primary	APOL2
APOO	member	Q9BUR5	primary	APOO
APOOL	member	Q6UXV4	primary	APOOL
APPL1	member	Q9UKG1	primary	APPL1
APRT	member	P07741	primary	APRT
AQP4	member	P55087	primary	AQP4
AQR	member	O60306	primary	AQR
ARAF	member	P10398	primary	ARAF
ARCN1	member	P48444	primary	ARCN1
ARF1	in_tier1	P84077	primary	ARF1
ARF3	member	P61204	primary	ARF3
ARF4	member	P18085	primary	ARF4
ARF5	member	P84085	primary	ARF5
ARFGAP2	member	Q8N6H7	primary	ARFGAP2
ARFGEF1	member	Q9Y6D6	primary	ARFGEF1
ARFGEF2	member	Q9Y6D5	primary	ARFGEF2
ARFIP1	member	P53367	primary	ARFIP1
ARG1	member	P05089	primary	ARG1
ARGLU1	member	Q9NWB6	primary	ARGLU1
ARHGAP1	member	Q07960	primary	ARHGAP1
ARHGAP10	ambiguous	A1A4S6;Q5T5U3		
ARHGAP17	member	Q68EM7	primary	ARHGAP17
ARHGAP18	member	Q8N392	primary	ARHGAP18
ARHGDIA	member	P52565	primary	ARHGDIA
ARHGDIB	member	P52566	primary	ARHGDIB
ARHGEF12	member	Q9NZN5	primary	ARHGEF12
ARHGEF17	member	Q96PE2	primary	ARHGEF17
ARHGEF2	member	Q92974	primary	ARHGEF2
ARHGEF7	member	Q14155	primary	ARHGEF7
ARID1A	member	O14497	primary	ARID1A
ARL1	member	P40616	primary	ARL1
ARL2	member	P36404	primary	ARL2
ARL2-SNX15	unmapped			
ARL3	member	P36405	primary	ARL3
ARL6IP5	member	O75915	primary	ARL6IP5
ARL6IP6	member	Q8N6S5	primary	ARL6IP6
ARL8B	member	Q9NVJ2	primary	ARL8B
ARMC1	member	Q9NVT9	primary	ARMC1
ARMC9	member	Q7Z3E5	primary	ARMC9
ARMCX1	member	Q9P291	primary	ARMCX1
ARMCX3	member	Q9UH62	primary	ARMCX3
ARMT1	member	Q9H993	synonym	DCPH1
ARPC1A	member	Q92747	primary	ARPC1A
ARPC1B	member	O15143	primary	ARPC1B
ARPC2	member	O15144	primary	ARPC2
ARPC3	member	O15145	primary	ARPC3
ARPC4	member	P59998	primary	ARPC4
ARPC4-TTLL3	unmapped			
ARPC5	member	O15511	primary	ARPC5
ARPC5L	member	Q9BPX5	primary	ARPC5L
ARPP19	member	P56211	primary	ARPP19
ARRB2	member	P32121	primary	ARRB2
ARSB	member	P15848	primary	ARSB
ART3	member	Q13508	primary	ART3
ARVCF	member	O00192	primary	ARVCF
AS3MT	member	Q9HBK9	primary	AS3MT
ASAH1	member	Q13510	primary	ASAH1
ASB1	member	Q9Y576	primary	ASB1
ASB10	member	Q8WXI3	primary	ASB10
ASB2	in_tier1	Q96Q27	primary	ASB2
ASCC3	member	Q8N3C0	primary	ASCC3
ASL	member	P04424	primary	ASL
ASMTL	member	O95671	primary	ASMTL
ASNA1	member	O43681	synonym	GET3
ASNS	member	P08243	primary	ASNS
ASPA	member	P45381	primary	ASPA
ASPH	member	Q12797	primary	ASPH
ASPN	member	Q9BXN1	primary	ASPN
ASPRV1	member	Q53RT3	primary	ASPRV1
ASS1	member	P00966	primary	ASS1
ATAD1	member	Q8NBU5	primary	ATAD1
ATAD3A	member	Q9NVI7	primary	ATAD3A
ATAD3B	member	Q5T9A4	primary	ATAD3B
ATG2B	member	Q96BY7	primary	ATG2B
ATG7	member	O95352	primary	ATG7
ATIC	member	P31939	primary	ATIC
ATL2	member	Q8NHH9	primary	ATL2
ATL3	member	Q6DD88	primary	ATL3
ATOX1	member	O00244	primary	ATOX1
ATP13A1	member	Q9HD20	primary	ATP13A1
ATP13A3	member	Q9H7F0	primary	ATP13A3
ATP1A1	member	P05023	primary	ATP1A1
ATP1A2	member	P50993	primary	ATP1A2
ATP1B1	member	P05026	primary	ATP1B1
ATP1B4	member	Q9UN42	primary	ATP1B4
ATP2A1	in_tier1	O14983	primary	ATP2A1
ATP2A2	member	P16615	primary	ATP2A2
ATP2A3	member	Q93084	primary	ATP2A3
ATP2B1	member	P20020	primary	ATP2B1
ATP2B2	ambiguous	P23634;Q01814		
ATP2B4	in_tier1	P23634	primary	ATP2B4
ATP2C1	member	P98194	primary	ATP2C1
ATP5A1	member	P25705	synonym	ATP5F1A
ATP5B	member	P06576	synonym	ATP5F1B
ATP5C1	member	P36542	synonym	ATP5F1C
ATP5D	member	P30049	synonym	ATP5F1D
ATP5F1	member	P24539	synonym	ATP5PB
ATP5H	member	O75947	synonym	ATP5PD
ATP5I	member	P56385	synonym	ATP5ME
ATP5J	member	P18859	synonym	ATP5PF
ATP5J2	member	P56134	synonym	ATP5MF
ATP5J2-PTCD1	unmapped			
ATP5L	member	O75964	synonym	ATP5MG
ATP5O	member	P48047	synonym	ATP5PO
ATP5S	member	Q99766	synonym	DMAC2L
ATP6AP2	member	O75787	primary	ATP6AP2
ATP6V0A1	member	Q93050	primary	ATP6V0A1
ATP6V1A	member	P38606	primary	ATP6V1A
ATP6V1B2	member	P21281	primary	ATP6V1B2
ATP6V1C1	member	P21283	primary	ATP6V1C1
ATP6V1D	member	Q9Y5K8	primary	ATP6V1D
ATP6V1E1	member	P36543	primary	ATP6V1E1
ATP6V1G1	member	O75348	primary	ATP6V1G1
ATP6V1H	member	Q9UI12	primary	ATP6V1H
ATP7A	member	Q04656	primary	ATP7A
ATPAF1	member	Q5TC12	primary	ATPAF1
ATPAF2	member	Q8N5M1	primary	ATPAF2
ATPIF1	member	Q9UII2	synonym	ATP5IF1
ATXN10	member	Q9UBB4	primary	ATXN10
ATXN2L	member	Q8WWM7	primary	ATXN2L
AUH	member	Q13825	primary	AUH
AUP1	member	Q9Y679	primary	AUP1
AZGP1	member	P25311	primary	AZGP1
B2M	member	P61769	primary	B2M
BAG2	member	O95816	primary	BAG2
BAG3	in_tier1	O95817	primary	BAG3
BAG6	member	P46379	primary	BAG6
BAK1	member	Q16611	primary	BAK1
BANF1	member	O75531	primary	BANF1
BAP18	member	Q8IXM2	synonym	BACC1
BAT3	member	P46379	synonym	BAG6
BAX	member	Q07812	primary	BAX
BCAM	member	P50895	primary	BCAM
BCAP29	member	Q9UHQ4	primary	BCAP29
BCAP31	member	P51572	primary	BCAP31
BCAR1	member	P56945	primary	BCAR1
BCAT2	member	O15382	primary	BCAT2
BCKDHA	member	P12694	primary	BCKDHA
BCKDHB	member	P21953	primary	BCKDHB
BCKDK	member	O14874	primary	BCKDK
BCL2	member	P10415	primary	BCL2
BCL2L13	member	Q9BXK5	primary	BCL2L13
BCLAF1	member	Q9NYF8	primary	BCLAF1
BCO2	member	Q9BYV7	primary	BCO2
BCS1L	member	Q9Y276	primary	BCS1L
BDH1	member	Q02338	primary	BDH1
BICD2	member	Q8TD16	primary	BICD2
BID	member	P55957	primary	BID
BIN1	in_tier1	O00499	primary	BIN1
BIRC6	member	Q9NR09	primary	BIRC6
BLMH	member	Q13867	primary	BLMH
BLOC1S2	member	Q6QNY1	primary	BLOC1S2
BLVRA	member	P53004	primary	BLVRA
BLVRB	member	P30043	primary	BLVRB
BNIP1	member	Q12981	primary	BNIP1
BNIP3	member	Q12983	primary	BNIP3
BOD1L1	member	Q8NFC6	primary	BOD1L1
BOLA1	member	Q9Y3E2	primary	BOLA1
BOLA3	member	Q53S33	primary	BOLA3
BPGM	member	P07738	primary	BPGM
BPHL	member	Q86WA6	primary	BPHL
BPNT1	member	O95861	primary	BPNT1
BRCC3	member	P46736	primary	BRCC3
BROX	member	Q5VW32	primary	BROX
BRP44L	member	Q9Y5U8	synonym	MPC1
BSG	member	P35613	primary	BSG
BST1	member	Q10588	primary	BST1
BTAF1	member	O14981	primary	BTAF1
BTD	member	P43251	primary	BTD
BTF3	ambiguous	O00478;P20290;P78410		
BTF3L4	member	Q96K17	primary	BTF3L4
BTN3A1	member	O00481	primary	BTN3A1
BTN3A2	member	P78410	primary	BTN3A2
BTN3A3	member	O00478	primary	BTN3A3
BYSL	member	Q13895	primary	BYSL
BZW1	member	Q7L1Q6	primary	BZW1
BZW2	member	Q9Y6E2	primary	BZW2
C10orf71	in_tier1	Q711Q0	synonym	CEFIP
C11orf54	member	Q9H0W9	synonym	BKGD
C11orf58	member	O00193	synonym	SMAP
C11orf68	member	Q9H3H3	primary	C11orf68
C11orf73	member	Q53FT3	synonym	HIKESHI
C12orf10	member	Q9HB07	synonym	MYG1
C12orf4	member	Q9NQ89	synonym	FERRY3
C12orf73	member	Q69YU5	synonym	UQCC6
C14orf159	member	Q7Z3D6	synonym	DGLUCY
C14orf166	member	Q9Y224	synonym	RTRAF
C15orf52	member	Q6ZUT6	synonym	CCDC9B
C15orf61	member	A6NNL5	primary	C15orf61
C16orf13	unmapped			
C16orf58	member	Q96GQ5	synonym	RUSF1
C16orf62	member	Q7Z3J2	synonym	VPS35L
C16orf96	member	A6NNT2	primary	C16orf96
C17orf49	member	Q8IXM2	synonym	BACC1
C19orf52	unmapped			
C19orf66	member	Q9NUL5	synonym	SHFL
C19orf70	member	Q5XKP0	synonym	MICOS13
