kind	term_id	term_name	relation_to_parent	depth	n_entries
subtree	GO:0016528	sarcoplasm		0	87
subtree	GO:0016529	sarcoplasmic reticulum	part_of	1	77
subtree	GO:0030314	junctional membrane complex	part_of	1	9
subtree	GO:0014801	longitudinal sarcoplasmic reticulum	part_of	2	2
subtree	GO:0014802	terminal cisterna	part_of	2	4
subtree	GO:0033017	sarcoplasmic reticulum membrane	part_of	2	45
subtree	GO:0033018	sarcoplasmic reticulum lumen	part_of	2	10
subtree	GO:0014803	longitudinal sarcoplasmic reticulum lumen	part_of	3	0
subtree	GO:0014804	terminal cisterna lumen	part_of	3	1
subtree	GO:0014701	junctional sarcoplasmic reticulum membrane	is_a	3	11
subtree	GO:0014702	free sarcoplasmic reticulum membrane	is_a	3	0
subtree	GO:1990425	ryanodine receptor complex	part_of	3	3
subtree	GO:1990629	phospholamban complex	part_of	3	1
