accession	tier	subtree_annotations	evidence_codes
A0A1B0GWK0	1	GO:0005861(IBA:GO_Central)	IBA
A1L4K1	2	GO:0016529(ISS:UniProtKB)	ISS
A2IDD5	2	GO:0016529(IDA:UniProtKB)	IDA
A2RUH7	1	GO:0036379(IDA:UniProtKB);GO:0030017(IEA:UniProtKB-SubCell)	IDA;IEA
A4UGR9	1	GO:0030018(IEA:Ensembl)	IEA
A6NNS2	2	GO:0014801(ISS:UniProtKB);GO:0033017(ISS:UniProtKB)	ISS
A7E2Y1	1	GO:0097512(IEA:Ensembl)	IEA
A8MU46	1	GO:0031674(IEA:UniProtKB-SubCell);GO:0031430(IEA:UniProtKB-SubCell)	IEA
O00151	1	GO:0030018(IDA:UniProtKB)	IDA
O00165	2	GO:0016529(ISS:UniProtKB)	ISS
O00499	1	GO:0031674(ISS:Alzheimers_University_of_Toronto);GO:0030018(ISS:Alzheimers_University_of_Toronto)	ISS
O00631	2	GO:0016529(IDA:UniProtKB);GO:0033017(EXP:UniProtKB)	EXP;IDA
O00757	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
O14950	1	GO:0030016(IBA:GO_Central);GO:0030018(IEA:Ensembl)	IBA;IEA
O14958	1	GO:0030018(ISS:BHF-UCL)	ISS
O14958	2	GO:0030314(IEA:Ensembl);GO:0014701(TAS:BHF-UCL);GO:0016529(ISS:BHF-UCL);GO:0033018(IBA:GO_Central);GO:0033017(TAS:Reactome)	IBA;IEA;ISS;TAS
O14974	1	GO:0031672(ISS:UniProtKB);GO:0030018(ISS:UniProtKB)	ISS
O14983	1	GO:0031673(IDA:UniProtKB);GO:0031674(IDA:UniProtKB)	IDA
O14983	2	GO:0016529(ISS:UniProtKB);GO:0033017(ISS:UniProtKB)	ISS
O15061	1	GO:0043034(IDA:UniProtKB)	IDA
O15273	1	GO:0031674(ISS:BHF-UCL);GO:1990733(IPI:ComplexPortal);GO:0030018(IDA:BHF-UCL)	IDA;IPI;ISS
O43707	1	GO:0030018(IBA:GO_Central)	IBA
O43819	1	GO:0030016(IDA:MGI)	IDA
O43852	2	GO:0033018(IEA:UniProtKB-SubCell)	IEA
O60237	1	GO:0031672(ISS:UniProtKB);GO:0030018(ISS:UniProtKB)	ISS
O60662	1	GO:0031430(ISS:UniProtKB)	ISS
O60662	2	GO:0033017(IDA:UniProtKB)	IDA
O60706	1	GO:0030017(IEA:Ensembl)	IEA
O60936	2	GO:0016529(ISS:UniProtKB)	ISS
O75052	1	GO:0030018(ISS:BHF-UCL)	ISS
O75052	2	GO:0033017(ISS:BHF-UCL)	ISS
O75112	1	GO:0030018(IDA:MGI)	IDA
O75147	1	GO:0031430(TAS:BHF-UCL);GO:0030018(TAS:BHF-UCL)	TAS
O75190	1	GO:0030018(IDA:UniProtKB)	IDA
O75298	1	GO:0030018(ISS:UniProtKB)	ISS
O75298	2	GO:0033017(ISS:UniProtKB);GO:0014802(ISS:UniProtKB)	ISS
O75369	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
O75628	1	GO:0031674(IEA:Ensembl)	IEA
O75880	1	GO:0030016(IDA:MGI)	IDA
O76003	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
O76041	1	GO:0031674(NAS:UniProtKB);GO:0030018(IDA:UniProtKB)	IDA;NAS
O94875	1	GO:0030018(NAS:UniProtKB)	NAS
O95393	1	GO:0030018(IDA:BHF-UCL)	IDA
O95425	1	GO:0043034(IDA:UniProtKB)	IDA
O95479	2	GO:0016529(IEA:Ensembl)	IEA
O95749	1	GO:0030018(IMP:UniProtKB)	IMP
O95817	1	GO:0030018(IEA:Ensembl)	IEA
P02144	2	GO:0016528(IDA:UniProtKB)	IDA
P02511	1	GO:0097512(IEA:Ensembl);GO:0031430(IEA:Ensembl);GO:0030018(IEA:Ensembl)	IEA
P02585	1	GO:0005861(IDA:UniProtKB)	IDA
P02730	1	GO:0030018(ISS:UniProtKB)	ISS
P04075	1	GO:0031674(TAS:BHF-UCL);GO:0031430(IEA:UniProtKB-SubCell)	IEA;TAS
P04792	1	GO:0030018(IEA:Ensembl)	IEA
P05413	2	GO:0016528(IEA:Ensembl)	IEA
P05787	1	GO:0030018(IEA:Ensembl)	IEA
P05976	1	GO:0030016(IDA:BHF-UCL);GO:0030017(NAS:BHF-UCL)	IDA;NAS
P06396	2	GO:0016528(IDA:UniProtKB)	IDA
P06733	1	GO:0031430(IEA:UniProtKB-SubCell)	IEA
P06753	1	GO:0005862(TAS:UniProtKB)	TAS
P07451	1	GO:0030017(IEA:Ensembl)	IEA
P07951	1	GO:0005862(TAS:ProtInc)	TAS
P07996	2	GO:0016529(ISS:UniProtKB)	ISS
P08253	1	GO:0030017(IEA:Ensembl)	IEA
P08590	1	GO:0031672(IDA:BHF-UCL);GO:0031674(IDA:BHF-UCL);GO:0030017(TAS:BHF-UCL)	IDA;TAS
P08727	1	GO:0043034(IDA:UniProtKB);GO:0030018(IEA:Ensembl)	IDA;IEA
