# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:22:20Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
accession	gene	w	w_low	w_high	cumulative_w	match_rule
P68871	HBB	0.2682579554	0.2555590408	0.28095687	0.2682579554	summed:2
P69905	HBA1	0.2276286472	0.2197449648	0.2355123295	0.4958866025	summed:2
P00915	CA1	0.05250479068	0.04672500736	0.05828457399	0.5483913932	summed:4
P02042	HBD	0.04081668691	0.03814799538	0.04348537843	0.5892080801	summed:2
P32119	PRDX2	0.03459605098	0.0322963338	0.03689576817	0.6238041311	single
P02730	SLC4A1	0.03152240535	0.02827801988	0.03476679083	0.6553265364	single
P11277	SPTB	0.02352965618	0.02308179611	0.02397751626	0.6788561926	summed:2
P02549	SPTA1	0.02206437582	0.02159154017	0.02253721147	0.7009205685	summed:2
P04040	CAT	0.01988345131	0.01831781582	0.02144908681	0.7208040198	single
P00918	CA2	0.01725974607	0.01570093402	0.01881855812	0.7380637658	single
P30043	BLVRB	0.01474857252	0.0134702696	0.01602687544	0.7528123384	single
P16157	ANK1	0.01323279281	0.01203538492	0.01443020071	0.7660451312	summed:8
P60709	ACTB	0.006882960763	0.006062838495	0.007703083031	0.7729280919	single
P30041	PRDX6	0.006126189901	0.005002729368	0.007249650434	0.7790542818	single
P69892	HBG2	0.005437438639	0.001730968002	0.009143909277	0.7844917205	summed:2
Q13228	SELENBP1	0.005423654769	0.004437141433	0.006410168106	0.7899153752	single
P04406	GAPDH	0.00480953054	0.004542738642	0.005076322437	0.7947249058	summed:2
P07738	BPGM	0.004671350227	0.004333288258	0.005009412196	0.799396256	single
P16452	EPB42	0.004413784716	0.003221768684	0.005605800749	0.8038100407	single
P07195	LDHB	0.003759204946	0.003088797403	0.004429612489	0.8075692457	single
P37840	SNCA	0.003515192626	0.002883039893	0.00414734536	0.8110844383	single
P61026	RAB10	0.00317209627	0.001573039889	0.004771152651	0.8142565346	single
P04075	ALDOA	0.002965661125	0.002749335159	0.003181987091	0.8172221957	single
P62979	RPS27A	0.002850837625	0.00246142876	0.00324024649	0.8200730333	single
P11171	EPB41	0.002779697471	0.002395181814	0.003164213127	0.8228527308	summed:6
P78417	GSTO1	0.002752381913	0.002264995801	0.003239768024	0.8256051127	single
P13716	ALAD	0.002728583988	0.002415680911	0.003041487065	0.8283336967	summed:3
P27105	STOM	0.002727705265	0.002336338758	0.003119071772	0.831061402	single
P00441	SOD1	0.002648520909	0.002367216787	0.00292982503	0.8337099229	single
Q06830	PRDX1	0.002576286636	0.001931258431	0.003221314841	0.8362862095	single
P26447	S100A4	0.00252268517	0.002086154914	0.002959215427	0.8388088947	single
P00491	PNP	0.002487092632	0.002164354006	0.002809831257	0.8412959873	single
P00558	PGK1	0.002353573298	0.002198275805	0.002508870791	0.8436495606	single
P62937	PPIA	0.001981796199	0.00164545128	0.002318141119	0.8456313568	summed:2
P62258	YWHAE	0.001887459418	0.001396190375	0.002378728461	0.8475188162	single
P55072	VCP	0.001789644912	0.001318769475	0.00226052035	0.8493084611	single
P60174	TPI1	0.001785138094	0.001493757371	0.002076518816	0.8510935992	single
