# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T07:18:36Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# removed_by_rule = D98 contaminants (removed on purpose); completeness_gap = rows no entry answers to and entries build_protein_set excluded (R5), A7
pool	row_index	identity_cell	gene_cell	entry	outcome	kind	share_of_listing
plasma	128	P68871;F8W6P5	HBB	P68871	named_contaminant	removed_by_rule	0.00212899
plasma	127	P69905;G3V1N2	HBA1;HBA2	P69905	named_contaminant	removed_by_rule	0.00120777
plasma	285	A6NJ16	IGHV4OR15-8		no_reviewed_human_entry	completeness_gap	5.543e-05
plasma	227	P13647;CON__P13647;E7EU87	KRT5	P13647	keratin	removed_by_rule	4.019e-05
plasma	224	P04264;CON__P04264	KRT1	P04264	keratin	removed_by_rule	9.93e-06
plasma	44	P00915;E5RHP7;E5RH81;E5RFE7;E5RIF9;E5RG43;H0YBE2	CA1	P00915	named_contaminant	removed_by_rule	5.43e-06
plasma	226	P19013;F5H8K9;CON__P19013;F8VS64	KRT4	P19013	keratin	removed_by_rule	2.38e-06
plasma	129	P02042;E9PFT6;E9PEW8	HBD	P02042	named_contaminant	removed_by_rule	1.7e-06
plasma	228	P48668;E7EQV7;CON__P48668;CON__P04259	KRT6C	P48668	keratin	removed_by_rule	1.29e-06
plasma	222	P08779;CON__P08779	KRT16	P08779	keratin	removed_by_rule	9.4e-07
plasma	225	CON__P35908;P35908	KRT2		contaminant_group	removed_by_rule	9e-07
plasma	223	P35527;CON__P35527	KRT9	P35527	keratin	removed_by_rule	3.9e-07
plasma	221	P13645;CON__P13645	KRT10	P13645	keratin	removed_by_rule	2.3e-07
plasma		P22352		P22352	not_in_accessions_ini (R5 or open flag)	completeness_gap	6.516e-05
plasma		P49908		P49908	not_in_accessions_ini (R5 or open flag)	completeness_gap	4.429e-05
erythrocytes	1202	P04264;CON__P04264	KRT1	P04264	keratin	removed_by_rule	0.0026503
erythrocytes	1206	P08779;CON__P08779;K7ENW6;CON__Q9Z2K1;CON__Q3ZAW8;K7ENV3;CON__Q9D312;Q7Z3Y9;CON__Q7Z3Y9;Q8N1A0;CON__Q8N1A0;Q8N1A0-2	KRT16	P08779	keratin	removed_by_rule	0.0011693
erythrocytes	1203	P13645;CON__P13645;CON__P02535-1;Q7Z3Y7;CON__Q7Z3Y7;CON__Q148H6;Q7Z3Y8;CON__Q7Z3Y8;Q2M2I5;CON__Q2M2I5;Q7Z3Z0;CON__Q7Z3Z0	KRT10	P13645	keratin	removed_by_rule	0.00114208
erythrocytes	1235	P35527;CON__P35527	KRT9	P35527	keratin	removed_by_rule	0.00096019
erythrocytes	1210	P35908	KRT2	P35908	keratin	removed_by_rule	0.00080353
erythrocytes	1215	O76009;CON__O76009;CON__Q6NTB9	KRT33A	O76009	keratin	removed_by_rule	0.0004287
erythrocytes	1205	P02533;CON__P02533;CON__Q61782;Q99456;CON__Q99456	KRT14	P02533	keratin	removed_by_rule	0.00024794
erythrocytes	100	P02768;CON__P02768-1;A0A0C4DGB6;B7WNR0;H0YA55;D6RHD5;C9JKR2;P02768-3;P02768-2;A0A087WWT3;H7C013	ALB	P02768	named_contaminant	removed_by_rule	0.00015586
erythrocytes	1221	P13647;CON__P13647;F8W0C6;H0YI76;H0YIN9;CON__P07744;F8W1U3;F8VV57;CON__H-INV:HIT000016045;F8VP67;F8VU69;F8VRG4;P14136;P14136-2;K7EJU1;P14136-3;P12036;B4DIR1;K7ELP4;K7EKH9;P12036-2;H0YHD9;CON__REFSEQ:XP_092267;F8VS61	KRT5	P13647	keratin	removed_by_rule	0.00013592
erythrocytes	1231	P78386;CON__P78386;F5GYI5	KRT85	P78386	keratin	removed_by_rule	8.484e-05
erythrocytes	1208	Q04695;CON__Q04695;F5GWP8;K7ESE1;K7ELP7;CON__Q99PS0	KRT17	Q04695	keratin	removed_by_rule	6.154e-05
erythrocytes	1222	P02538;CON__P02538;CON__Q8VED5;CON__H-INV:HIT000292931;Q8IWY7	KRT6A	P02538	keratin	removed_by_rule	4.955e-05
erythrocytes	1223	P04259	KRT6B	P04259	keratin	removed_by_rule	8.15e-06
erythrocytes	1213	Q15323;CON__Q9UE12;CON__Q15323;G3V1C2;Q6A163;CON__Q6IFU6	KRT31	Q15323	keratin	removed_by_rule	7.28e-06
erythrocytes	1209	P08727;CON__P08727;C9JM50;K7EMS3	KRT19	P08727	keratin	removed_by_rule	4.47e-06
erythrocytes	1204	P13646;P13646-3;K7ERE3;CON__ENSEMBL:ENSP00000377550;CON__P13646-1;P13646-2;K7EMD9;K7EQH6;K7EMJ2	KRT13	P13646	keratin	removed_by_rule	4.29e-06
erythrocytes	1207	K7EPJ9	KRT17	Q04695	keratin	removed_by_rule	3.64e-06
erythrocytes	1233	A6NCN2	KRT87P	A6NCN2	keratin	removed_by_rule	3.3e-06
erythrocytes	1230	P78385;CON__Q6NT21	KRT83	P78385	keratin	removed_by_rule	3.24e-06
erythrocytes	1229	Q9NSB4;CON__Q9NSB4	KRT82	Q9NSB4	keratin	removed_by_rule	2.57e-06
erythrocytes	1220	P19013;CON__P19013;F8VX05;F8VZR6	KRT4	P19013	keratin	removed_by_rule	2.27e-06
erythrocytes	1226	Q7RTS7;CON__Q7RTS7;F8W1S1	KRT74	Q7RTS7	keratin	removed_by_rule	1.41e-06
erythrocytes	834	A9Z1Z3-3;A9Z1Z3	FER1L4		no_reviewed_human_entry	completeness_gap	1.03e-06
erythrocytes	1225	Q86Y46;CON__Q32MB2;H0YIC5;Q86Y46-2;Q3SY84;CON__Q3SY84;H0YIG3	KRT73;KRT71	Q86Y46	keratin	removed_by_rule	6.5e-07
erythrocytes	1218	Q92764;CON__Q92764;C4AM86	KRT35	Q92764	keratin	removed_by_rule	3.5e-07
erythrocytes	1211	P35900;CON__P35900	KRT20	P35900	keratin	removed_by_rule	2.6e-07
erythrocytes	1224	P08729;CON__Q3KNV1;CON__P08729;P41219;H7C5W5;P41219-2	KRT7	P08729	keratin	removed_by_rule	2.5e-07
erythrocytes	1227	O95678;CON__O95678	KRT75	O95678	keratin	removed_by_rule	2.2e-07
erythrocytes	2639	A6NM71;C9J7Q8;H7C4N7			no_reviewed_human_entry	completeness_gap	2e-07
erythrocytes	1232	O43790;CON__O43790	KRT86	O43790	keratin	removed_by_rule	1.2e-07
