# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T18:34:53Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
row_index	polypeptide	identity_cell	gene	value	why
3	Ig  k-light chain        (Component of IgG, IgA, IgM, IgD, IgE)	CAA75031		2700	not a UniProt accession
4	Ig γ1-heavy chain (Component of IgG1)			4300	no UniProt accession in the cell
5	Ig l-light chain             (Component of IgG, IgA, IgM, IgD, IgE)	P01842	IGLC2	1500	P01842 not in the plasma pool
11	Ig a1-chain         (Component of IgA1           			1455	no UniProt accession in the cell
27	Immunoglobulin g3-chain 			475	no UniProt accession in the cell
32	 Immunoglobulin g4-chain (Component of IgG4)			343	no UniProt accession in the cell
41	Immunoglobulin a2-chain 			205	no UniProt accession in the cell
60	Hemoglobin   a-chain	P69905	HBA1 	32.5	P69905 not in the plasma pool
61	Hemoglobin   b-chain	P68871	HBB	32.5	P68871 not in the plasma pool
63	Apolipoprotein F (lipid transfer inhitor protein)	NP 001629	APOF	60	not a UniProt accession
87	Factor H-related protein 1	NP 002104	CFHR1	40	not a UniProt accession
90	Glutathione peroxidaase 3, plasma glutathione peroxidase	P22352	GPX3	19	P22352 not in the plasma pool
109	 Immunoglobulin d-chain (Component of IgD) 			38	no UniProt accession in the cell
111	 Serum Amyloid A protein, acute phase amyloid A	P02735	SAA	4.5	P02735 not in the plasma pool
115	 Factor XII  Hageman factor  	Q04962	F12	30	Q04962 not in the plasma pool
146	 Apolipoprotein(a) 	P08519	LPA	20.5	P08519 not in the plasma pool
