# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:22:20Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
accession	gene	w	w_low	w_high	cumulative_w	match_rule
P02768	ALB	0.2398429732	0.2255921355	0.2540938109	0.2398429732	single
P02647	APOA1	0.08088481551	0.07539286948	0.08637676154	0.3207277887	single
P01009	SERPINA1	0.07153309225	0.069062769	0.0740034155	0.392260881	single
P01023	A2M	0.07047693348	0.06703261721	0.07392124975	0.4627378144	single
P01857	IGHG1	0.05172339215	0.04812688958	0.05531989472	0.5144612066	single
P02787	TF	0.0408448212	0.03957749557	0.04211214683	0.5553060278	single
P02671	FGA	0.03605263396	0.03362473491	0.03848053302	0.5913586618	single
P01024	C3	0.03391540435	0.0328290704	0.0350017383	0.6252740661	single
P02679	FGG	0.03060462055	0.02935720978	0.03185203131	0.6558786867	single
P00738	HP	0.02676498469	0.02509682961	0.02843313977	0.6826436713	single
P01876	IGHA1	0.02234482714	0.02155393793	0.02313571634	0.7049884985	single
P02675	FGB	0.02233093972	0.02156807428	0.02309380516	0.7273194382	single
P01871	IGHM	0.02146629035	0.02020573488	0.02272684581	0.7487857285	single
P04114	APOB	0.01745769892	0.01676304475	0.01815235309	0.7662434275	single
P01834	IGKC	0.0162527554	0.01474341911	0.01776209168	0.7824961829	single
P01859	IGHG2	0.01527063157	0.0133860879	0.01715517524	0.7977668144	single
P0C0L5	C4B	0.01023757271	0.009783882664	0.01069126276	0.8080043871	single
B9A064	IGLL5	0.009784012508	0.009219213545	0.01034881147	0.8177883997	single
P02652	APOA2	0.009183896892	0.007943044666	0.01042474912	0.8269722965	single
