accession	tier	subtree_annotations	evidence_codes
A0A087WW87	erythrocytes		
A0AVT1	erythrocytes		
A0FGR8	erythrocytes		
A0M8Q6	plasma		
A1A5C7	erythrocytes		
A1IGU5	erythrocytes		
A1KZ92	erythrocytes		
A1L0T0	erythrocytes		
A2RRP1	erythrocytes		
A2RU67	erythrocytes		
A4D1P6	erythrocytes		
A5A3E0	erythrocytes		
A5D8V6	erythrocytes		
A5LHX3	erythrocytes		
A5YM69	erythrocytes		
A6BM72	erythrocytes		
A6NCL7	erythrocytes		
A6ND91	erythrocytes		
A6NDG6	erythrocytes		
A6NEM1	erythrocytes		
A6NFX1	erythrocytes		
A6NKB5	erythrocytes		
A6NLC8	erythrocytes		
A6NNT2	erythrocytes		
A8MVS5	erythrocytes		
B2RUZ4	erythrocytes		
B5MCY1	erythrocytes		
B7ZAQ6	erythrocytes		
B9A064	plasma		
C9J7I0	erythrocytes		
E9PAV3	erythrocytes		
F5H284	erythrocytes		
O00148	erythrocytes		
O00154	erythrocytes		
O00159	erythrocytes		
O00161	erythrocytes		
O00178	erythrocytes		
O00182	erythrocytes		
O00186	erythrocytes		
O00187	plasma		
O00203	erythrocytes		
O00214	erythrocytes		
O00231	erythrocytes		
O00232	erythrocytes		
O00233	erythrocytes		
O00264	erythrocytes		
O00299	erythrocytes		
O00303	erythrocytes		
O00370	erythrocytes		
O00391	plasma		
O00399	erythrocytes		
O00410	erythrocytes		
O00421	erythrocytes		
O00442	erythrocytes		
O00487	erythrocytes		
O00505	erythrocytes		
O00507	erythrocytes		
O00533	plasma		
O00559	erythrocytes		
O00560	erythrocytes		
O00571	erythrocytes		
O00629	erythrocytes		
O00743	erythrocytes		
O00763	erythrocytes		
O00764	erythrocytes		
O14523	erythrocytes		
O14556	erythrocytes		
O14562	erythrocytes		
O14569	erythrocytes		
O14618	erythrocytes		
O14653	erythrocytes		
O14656	erythrocytes		
O14662	erythrocytes		
O14735	erythrocytes		
O14737	erythrocytes		
O14744	erythrocytes		
O14745	erythrocytes		
O14787	erythrocytes		
O14791	plasma		
O14818	erythrocytes		
O14828	erythrocytes		
O14880	erythrocytes		
O14950	erythrocytes		
O14964	erythrocytes		
O14975	erythrocytes		
O14976	erythrocytes		
O14980	erythrocytes		
O14983	erythrocytes		
O15020	erythrocytes		
O15067	erythrocytes		
O15084	erythrocytes		
O15127	erythrocytes		
O15131	erythrocytes		
O15143	erythrocytes		
O15144	erythrocytes		
O15145	erythrocytes		
O15155	erythrocytes		
O15162	erythrocytes		
O15165	erythrocytes		
O15173	erythrocytes		
O15195	erythrocytes		
O15212	erythrocytes		
O15226	erythrocytes		
O15243	erythrocytes		
O15247	erythrocytes		
O15258	erythrocytes		
