accession	pool_a	pool_b
P00738	erythrocytes	plasma
P01008	erythrocytes	plasma
P01009	erythrocytes	plasma
P01011	erythrocytes	plasma
P01023	erythrocytes	plasma
P01024	erythrocytes	plasma
P01031	erythrocytes	plasma
P01040	erythrocytes	plasma
P01766	erythrocytes	plasma
P01834	erythrocytes	plasma
P01857	erythrocytes	plasma
P01859	erythrocytes	plasma
P01871	erythrocytes	plasma
P01876	erythrocytes	plasma
P02647	erythrocytes	plasma
P02649	erythrocytes	plasma
P02671	erythrocytes	plasma
P02675	erythrocytes	plasma
P02679	erythrocytes	plasma
P02749	erythrocytes	plasma
P02760	erythrocytes	plasma
P02763	erythrocytes	plasma
P02765	erythrocytes	plasma
P02774	erythrocytes	plasma
P02786	erythrocytes	plasma
P02787	erythrocytes	plasma
P02790	erythrocytes	plasma
P04004	erythrocytes	plasma
P04114	erythrocytes	plasma
P04439	erythrocytes	plasma
P05109	erythrocytes	plasma
P06396	erythrocytes	plasma
P06702	erythrocytes	plasma
P07195	erythrocytes	plasma
P10909	erythrocytes	plasma
P11021	erythrocytes	plasma
P12955	erythrocytes	plasma
P13796	erythrocytes	plasma
P15924	erythrocytes	plasma
P16070	erythrocytes	plasma
P17066	erythrocytes	plasma
P19827	erythrocytes	plasma
P31327	erythrocytes	plasma
P31944	erythrocytes	plasma
P32119	erythrocytes	plasma
P43251	erythrocytes	plasma
P60709	erythrocytes	plasma
P61626	erythrocytes	plasma
P61769	erythrocytes	plasma
P69892	erythrocytes	plasma
P81605	erythrocytes	plasma
Q01469	erythrocytes	plasma
Q06830	erythrocytes	plasma
Q96CV9	erythrocytes	plasma
Q99969	erythrocytes	plasma
Q9HDC9	erythrocytes	plasma
Q9UHG3	erythrocytes	plasma
Q9UNW1	erythrocytes	plasma
