# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T06:42:33Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
tier	term_id	term_name	n_entries_returned_by_term	n_entries_only_via_branch	sum_w_I_returned	sum_w_IIa_returned	sum_w_IIx_returned	sum_w_I_only_via_branch	sum_w_IIa_only_via_branch	sum_w_IIx_only_via_branch	entries_only_via_branch
1	GO:0030016	myofibril	242	242	1	1	1	1	1	1	A0A1B0GWK0;A2RUH7;A4UGR9;A7E2Y1;A8MU46;O00151;O00499;O00757;O14950;O14958;O14974;O14983;O15061;O15273;O43707;O43819;O60237;O60662;O60706;O75052;O75112;O75147;O75190;O75298;O75369;O75628;O75880;O76003;O76041;O94875;O95393;O95425;O95749;O95817;P02511;P02585;P02730;P04075;P04792;P05787;P05976;P06733;P06753;P07451;P07951;P08253;P08590;P08727;P09493;P0CAP1;P0CAP2;P0DP23;P0DP24;P0DP25;P10916;P11055;P11166;P11532;P12109;P12814;P12829;P12882;P12883;P13533;P13535;P13805;P14923;P15172;P15382;P16157;P16298;P17661;P18206;P19237;P19429;P20807;P20929;P21291;P21333;P21817;P22460;P23327;P23634;P24844;P28289;P29475;P29536;P30626;P31415;P31431;P32418;P35222;P35498;P35609;P45378;P45379;P47756;P48788;P49257;P50461;P50479;P51114;P52179;P54296;P56539;P60900;P61313;P62942;P63261;P63316;P67936;P68032;P68106;P68133;P84077;Q00872;Q01082;Q01449;Q01484;Q01668;Q03001;Q05682;Q07343;Q08043;Q08209;Q09666;Q0VAK6;Q0ZGT2;Q12792;Q12955;Q13049;Q13153;Q13203;Q13418;Q13496;Q13501;Q13643;Q13698;Q13813;Q13936;Q14118;Q14192;Q14315;Q14324;Q14331;Q14524;Q14596;Q14896;Q14BN4;Q15124;Q15139;Q15149;Q15172;Q15327;Q15413;Q15842;Q16527;Q16637;Q2TBA0;Q2TBC4;Q2V2M9;Q53GG5;Q5BKX8;Q5BKY1;Q5JQC9;Q5JVS0;Q5TD97;Q5VST9;Q5VTT5;Q5VU43;Q5VZP5;Q6H8Q1;Q6IBS0;Q6P050;Q6P5Q4;Q711Q0;Q86SG2;Q86TC9;Q86VF2;Q86VF7;Q86VW2;Q86YM7;Q8IUG5;Q8IWX7;Q8N0Z2;Q8N3K9;Q8N3V7;Q8NBH2;Q8NC69;Q8NDY3;Q8NDZ2;Q8NEZ5;Q8NF91;Q8TDC0;Q8WU10;Q8WX93;Q8WXH0;Q8WZ42;Q92736;Q92831;Q92952;Q969P5;Q969Q1;Q96AC1;Q96DD0;Q96HC4;Q96JY6;Q96Q27;Q9BR39;Q9BYV2;Q9C0I1;Q9GZV1;Q9H1R3;Q9H2S1;Q9H7C4;Q9H987;Q9HBI1;Q9HDC5;Q9NNX1;Q9NP98;Q9NPC6;Q9NR12;Q9NVD7;Q9NY72;Q9NYL9;Q9NZQ9;Q9NZR1;Q9UBF9;Q9UDY4;Q9UGI6;Q9UHP9;Q9UJW0;Q9UKP3;Q9UKX2;Q9UKX3;Q9ULV4;Q9UMS6;Q9UNE7;Q9UQD0;Q9Y281;Q9Y2K3;Q9Y623
1	GO:0097512	cardiac myofibril	7	0	0.03162853892	0.006559705198	0.005632576378	0	0	0	
1	GO:0098723	skeletal muscle myofibril	0	0	0	0	0	0	0	0	
1	GO:0030017	sarcomere	221	0	0.9901713378	0.9913457877	0.9923570391	0	0	0	
1	GO:0036379	myofilament	26	0	0.5051256685	0.4833669501	0.4871534146	0	0	0	
1	GO:0043034	costamere	16	0	0.03649566602	0.03360875479	0.0261377078	0	0	0	
1	GO:0005863	striated muscle myosin thick filament	3	0	0.009039509202	0.007760605561	0.006925513676	0	0	0	
1	GO:0005865	striated muscle thin filament	22	0	0.4960861593	0.4756063446	0.4802279009	0	0	0	
1	GO:0031672	A band	42	0	0.402084253	0.3886701931	0.4495218171	0	0	0	
1	GO:0031674	I band	148	0	0.6702144802	0.561590062	0.578183929	0	0	0	
1	GO:0005861	troponin complex	9	0	0.07231106163	0.06596468635	0.06906890392	0	0	0	
1	GO:0005862	muscle thin filament tropomyosin	4	0	0.06248660545	0.06093256581	0.06257132244	0	0	0	
1	GO:0014705	C zone	1	0	1.371075956e-05	5.757484399e-06	9.242686634e-06	0	0	0	
1	GO:0031430	M band	28	0	0.3516431906	0.3592417445	0.3739997503	0	0	0	
1	GO:0031673	H zone	2	0	0.0003675520087	0.01685454197	0.0251850383	0	0	0	
1	GO:0030018	Z disc	132	0	0.6421109305	0.527877485	0.53449405	0	0	0	
1	GO:1990584	cardiac Troponin complex	3	0	0.02155258687	6.927268478e-05	6.943749095e-05	0	0	0	
1	GO:1990733	titin-telethonin complex	2	0	0.28102157	0.2780914333	0.2781819633	0	0	0	
