# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T18:29:13Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# ranking = by largest median value (molar, as published: normalised to the dataset's anchor protein); MW is known only for pool entries, so no v*MW share here
rank	gene	kind	n_rows	v_I	v_IIa	v_IIx	v_share_of_file_I	v_share_of_file_IIa	v_share_of_file_IIx	valid_I	valid_IIa	valid_IIx
1	HBA1	single_name	1	14066.83691	8921.34668	10262.64844	0.01096764148	0.006776616298	0.007456321839	19	29	13
2	KRT1	single_name	1	9738.451172	5379.296875	8005.194336	0.007592882585	0.004086090608	0.005816169746	19	29	13
3	ACAT1	single_name	2	3924.24017	2430.115837	1408.605663	0.003059654386	0.001845905465	0.001023421706	19	29	13
4	HIST1H4A	single_name	1	3040.734863	3178.47998	3122.951416	0.002370802336	0.002414359627	0.002268978713	19	29	13
5	HADH	single_name	1	3089.871582	1618.706055	940.038208	0.002409113288	0.001229562108	0.0006829842669	19	29	13
6	PRH1	single_name	1	50.91317177	78.56301117	2173.713135	3.969601823e-05	5.967612302e-05	0.001579310138	6	7	3
7	AK3	single_name	1	1571.587036	875.574707	1103.915283	0.001225336106	0.0006650827552	0.0008020490699	19	29	13
8	WDR11	single_name	1	76.47412109	733.2280273	1307.172852	5.962539751e-05	0.0005569568338	0.0009497257496	19	29	13
9	GPX3	single_name	1	111.3589249	241.8735428	669.9816895	8.68244063e-05	0.0001837260955	0.000486774845	3	2	4
10	SFN	single_name	1	151.747467	309.8015747	455.4344635	0.0001183145738	0.0002353239343	0.0003308956706	18	25	12
11	CST6	single_name	1	60.68961906	24.62290764	415.381134	4.731852566e-05	1.8703454e-05	0.000301794945	10	9	7
12	DSC1	single_name	1	242.6308746	120.5937576	122.8343353	0.0001891746141	9.160249599e-05	8.92452219e-05	19	27	12
13	PSAP	single_name	1	54.70634842	71.22570038	242.2942505	4.265348492e-05	5.410273352e-05	0.0001760387606	17	29	13
14	TSPO	single_name	1	167.2034302	72.85123825	80.14575958	0.0001303652902	5.533748505e-05	5.822985958e-05	18	24	8
15	Septin 6	single_name	1	24.35742092	147.3677826	15.34035301	1.899101139e-05	0.0001119399294	1.114552543e-05	10	20	10
16	LGALS7	single_name	1	33.22606945	21.45509338	138.0653381	2.590572563e-05	1.629719601e-05	0.000100311299	14	14	7
17	RPL9	single_name	1	45.86648369	81.54941559	136.4277802	3.576121285e-05	6.194458288e-05	9.91215321e-05	18	28	13
18	NACA	single_name	1	81.92916107	99.23825836	135.5052643	6.387858698e-05	7.538095124e-05	9.845127868e-05	19	29	13
19	MT-ND4	single_name	1	81.83365631	114.4381332	63.64168167	6.380412376e-05	8.692671036e-05	4.623883043e-05	18	26	13
20	RPL36	single_name	1	74.56433868	72.98265839	104.4461746	5.813637699e-05	5.543731121e-05	7.588531338e-05	14	18	7
21	MRPS28	single_name	1	27.8295536	17.69027328	104.3099823	2.169816629e-05	1.343745497e-05	7.578636292e-05	17	25	6
22	SLC35A4	single_name	1	97.55202103	17.08498573	20.05040026	7.605942962e-05	1.297768117e-05	1.456760779e-05	18	12	4
23	CAT	single_name	1	94.78456879	43.30708694	61.08124542	7.390170048e-05	3.289587567e-05	4.437854682e-05	19	29	13
24	TRAP1	single_name	1	88.28124237	36.19817734	22.5217762	6.883118228e-05	2.749597873e-05	1.636318468e-05	19	29	13
25	Septin 7	single_name	1	85.24043274	9.018466473	3.340572596	6.646032165e-05	6.850388072e-06	2.427091267e-06	7	14	7
26	DSC3	single_name	1	5.853102446	2.554389	77.77430105	4.563551107e-06	1.940302821e-06	5.650687763e-05	16	19	8
27	MIF	single_name	1	19.92502165	74.77407455	32.90396118	1.553515515e-05	5.679806317e-05	2.390635574e-05	4	10	5
28	EPM2A	single_name	1	13.37983418	46.55767059	71.05169678	1.043199869e-05	3.536500493e-05	5.162257302e-05	16	26	12
29	PPOX	single_name	1	6.379607022	70.63858986	25.71308374	4.974056572e-06	5.365676691e-05	1.868182751e-05	2	2	2
30	Septin 4	single_name	1	64.73700714	25.69979858	30.36159897	5.047419609e-05	1.952145569e-05	2.20592038e-05	11	17	7
31	GPX1	single_name	1	60.47304153	25.26086998	16.19215012	4.714966434e-05	1.918804743e-05	1.176439817e-05	16	23	12
32	POP1	single_name	1	2.525134683	4.258693218	59.50351334	1.968798818e-06	3.234884924e-06	4.32322464e-05	4	5	5
33	RNH1	single_name	1	26.36208916	53.32025528	49.87073898	2.055401256e-05	4.050183497e-05	3.623355925e-05	17	26	11
