# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-18T05:09:41Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# per pool entry: intensity in the slow and fast sheets (joined by accession), slow/fast, the primary dataset's I/IIa, and their quotient; fast pools ~80/20 IIa/IIx per config
accession	gene	tier	intensity_slow	intensity_fast	slow_over_fast	primary_I_over_IIa	primary_over_source
A0AVT1	UBA6	2	42906400	67095000	0.6394872941	0.4683599183	0.7323990993
A0FGR8	ESYT2	2	36817020	34673460	1.061821347	0.5237011921	0.4932102689
A1L0T0	HACL2	2	34070600	43492320	0.7833704893	0.5873474576	0.7497697011
A1L4K1	FSD2	2	169316000	262832000	0.6441985755	0.5923795287	0.9195604449
A2A2Y4	FRMD3	2	1362240	2263340	0.6018715703	0.728141899	1.209796134
A2RRP1	NBAS	2	9258880	10308940	0.898140837	0.4494151538	0.5003838321
A2RTX5	TARS3	2	75352600	45462200	1.657478081	0.2311488414	0.1394581588
A3KMH1	VWA8	2	62620800	37582400	1.666226744	2.920118414	1.752533635
A4UGR9	XIRP2	1	681154000	427792600	1.592252881	0.09109262378	0.05720989727
A5D6W6	FITM1	2	186991600	431264000	0.4335896342	0.9182780907	2.117850655
A5YM72	CARNS1	2	96202600	357984000	0.2687343568	1.591080911	5.920645687
A6NCE7	MAP1LC3B2	2	7991010	8665500	0.9221637528	0.2829541826	0.306837242
A6NDG6	PGP	2	562818000	923456000	0.6094692113	0.3885173588	0.6374683931
A6NHG4	DDTL	2	196390000	337398000	0.5820722115	0.3841986554	0.6600532508
A6NHR9	SMCHD1	2	4550840	0	nan	0.1800849511	nan
A6NHZ5	LRRC14B	2	2889400	9244620	0.312549353	0.8781403968	2.80960555
A6NNL5	C15orf61	2	12931200	14287400	0.9050772009	0.4459140855	0.4926807184
A6NNS2	DHRS7C	2	126672600	221508000	0.5718646731	1.388115248	2.427349184
A7E2Y1	MYH7B	1	1.164988253e+12	2.995956398e+11	3.888535407	0.5240334532	0.1347637088
A8K2U0	A2ML1	2	37571800	24340400	1.543598297	0.3819552775	0.2474447388
A8MU46	SMTNL1	1	2084660000	858588000	2.428009709	0.344964784	0.1420771848
A8MWD9	SNRPGP15	2	160079000	149662000	1.069603507	0	0
A8MXV4	NUDT19	2	48475800	18604360	2.605615028	1.285976039	0.4935403064
A8MZF0	PRR33	2	508320000	1056932000	0.4809391711	0.6060365979	1.260110705
B0YJ81	HACD1	2	36018400	76742000	0.4693440359	0.5594312355	1.191942781
B2RPK0	HMGB1P1	2	354728000	392968000	0.9026892775	2.262397172	2.506285639
B5ME19	EIF3CL	2	66876200	74351500	0.8994599974	0.4665427205	0.5186920173
B9A064	IGLL5	2	42481700	70519300	0.6024123892	0.8096596945	1.344028956
C9J798	RASA4B	2	6710390	13109840	0.5118590311	0.7944620086	1.552110953
E7EW31	PROB1	2	993116000	1014964000	0.9784741134	1.093112129	1.117159988
E9PQ53	NDUFC2-KCTD14	2	543629000	428397000	1.268984143	1.255594752	0.9894487324
O00116	AGPS	2	23658000	12289400	1.925073641	0.711421238	0.369555337
