# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T01:17:13Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# tier 1: 242 entries, ordered by type-I weight; rank_<type> and cumulative_share_<type> follow that fiber type's own order
rank_I	accession	gene	tier	match_rule	w_I	rank_I	cumulative_share_I_in_I_order	w_I_low	w_I_high	valid_I	w_IIa	rank_IIa	cumulative_share_IIa_in_IIa_order	w_IIa_low	w_IIa_high	valid_IIa	w_IIx	rank_IIx	cumulative_share_IIx_in_IIx_order	w_IIx_low	w_IIx_high	valid_IIx
1	Q8WZ42	TTN	1	summed:5	0.2806911147	1	0.2806911147	0.1633837101	0.3979985193	19	0.2777934905	1	0.2777934905	0.173526837	0.3820601439	29	0.2778746176	1	0.2778746176	0.1320639151	0.4236853201	13
2	P12883	MYH7	1	single	0.1786886974	2	0.4593798121	0.1405541676	0.2168232273	19	0.08584118293	3	0.5006837724	0.06338486078	0.1082975051	29	0.08556529566	2	0.3634399133	0.05622075699	0.1149098343	13
3	P68133	ACTA1	1	single	0.07930433534	3	0.5386841474	0.07930433534	0.07930433534	19	0.0698494517	4	0.5705332241	0.0698494517	0.0698494517	29	0.0695295614	3	0.4329694747	0.0695295614	0.0695295614	13
4	P20929	NEB	1	summed:4	0.05258842749	4	0.5912725749	0.03218748291	0.07298937207	19	0.04767699294	5	0.618210217	0.03074315461	0.06461083127	29	0.04762938605	5	0.5496063833	0.02336168016	0.07189709194	13
5	P06753	TPM3	1	summed:4	0.03670338805	5	0.627975963	0.01005270346	0.06335407265	19	0.01378656563	17	0.8355251861	0	0.05624696498	29	0.01338968101	22	0.8864282778	0.0007492158479	0.02603014618	13
6	P35609	ACTN2	1	single	0.03058118071	6	0.6585571437	0.01974548373	0.04141687769	19	0.02105555671	8	0.6847964617	0.01276533902	0.02934577441	29	0.0149038478	17	0.8163585095	0.008309188608	0.02149850698	13
7	P13805	TNNT1	1	single	0.02935406127	7	0.687911205	0.0209142446	0.03779387794	19	0.01090595626	21	0.8823713138	0.001833218372	0.01997869415	29	0.01006204088	24	0.9078443191	0.00163610032	0.01848798144	13
8	Q00872	MYBPC1	1	summed:4	0.02787998674	8	0.7157911917	0.02234283279	0.03341714069	19	0.02043435513	9	0.7052308169	0.01433962226	0.026529088	29	0.01576018444	13	0.7555808221	0.01182310734	0.01969726154	13
9	P08590	MYL3	1	single	0.02571176019	9	0.7415029519	0.004625777195	0.04679774318	19	0.001945400634	38	0.9711345127	0	0.005649849673	29	0.002292888045	38	0.9676230447	0.0006577140372	0.003928062053	13
10	P10916	MYL2	1	single	0.02358036506	10	0.7650833169	0.01681033963	0.03035039048	19	3.755546249e-05	116	0.9993016159	0	0.001141846433	23	0.000190771796	82	0.9960092541	0	0.0006816984357	11
11	P63316	TNNC1	1	single	0.0215418553	11	0.7866251722	0.01317632203	0.02990738857	19	5.892186685e-05	104	0.9987396363	0	0.001080110312	28	5.187630443e-05	107	0.998828439	0	0.0004549164815	13
12	P19237	TNNI1	1	single	0.02090375036	12	0.8075289226	0.01400377528	0.02780372544	19	0.0001478756101	83	0.9967223829	0	0.001086835445	29	0.0001321424002	92	0.9975483991	0	0.0006533147304	13
13	Q14315	FLNC	1	single	0.01987757811	13	0.8274065007	0.009092424109	0.0306627321	19	0.02109886768	7	0.663740905	0.01304340437	0.02915433099	29	0.01379698907	21	0.8730385968	0.008485389707	0.01910858843	13
14	P07951	TPM2	1	summed:4	0.01873917082	14	0.8461456715	0.004230415581	0.03324792606	19	0.01642706419	14	0.7933991354	0	0.06897384921	29	0.01509137116	16	0.8014546617	0	0.03430532931	13
15	P31415	CASQ1	1	single	0.01525859976	15	0.8614042713	0.004621168678	0.02589603083	19	0.01798078989	12	0.7602422701	0.01009385829	0.02586772149	29	0.02620779049	9	0.6769110762	0	0.08528672316	13
16	Q15149	PLEC	1	summed:2	0.01024277842	16	0.8716470497	0.006453529961	0.01403202688	19	0.00694872296	25	0.9160761462	0.002255297989	0.01164214793	29	0.005465157308	28	0.935828432	0.003644424916	0.0072858897	13
17	Q9UKX2	MYH2	1	summed:2	0.01017212804	17	0.8818191777	0	0.02071422242	19	0.137049099	2	0.4148425894	0.1128988194	0.1611993785	29	0.06900752254	4	0.5019769972	0.0475575623	0.09045748279	13
18	P54296	MYOM2	1	summed:2	0.009374683435	18	0.8911938612	0.005357860142	0.01339150673	19	0.01423438056	15	0.8076335159	0.008671903089	0.01979685803	29	0.01521309087	15	0.7863632906	0.007474573619	0.02295160811	13
19	P52179	MYOM1	1	summed:2	0.009023318539	19	0.9002171797	0.005039502228	0.01300713485	19	0.007752684875	24	0.9091274232	0.004215958452	0.0112894113	29	0.006913896641	26	0.9244735481	0.003909973314	0.009917819967	13
20	Q96HC4	PDLIM5	1	summed:4	0.008665976452	20	0.9088831562	0.006479045562	0.01085290734	19	0.006045783278	28	0.9349937703	0.003748758006	0.008342808549	29	0.005889726522	27	0.9303632747	0.003909648783	0.00786980426	13
21	P11055	MYH3	1	single	0.00742755154	21	0.9163107077	0.005328887538	0.009526215543	19	0.006649658054	26	0.9227258042	0.004419489385	0.008879826723	29	0.009715332367	25	0.9175596515	0.007683308946	0.01174735579	13
22	P17661	DES	1	single	0.006571397329	22	0.922882105	0.003900123472	0.009242671186	19	0.004023125978	32	0.9532560766	0.002309587069	0.005736664887	29	0.003138233931	32	0.9515499056	0.001460964317	0.004815503545	13
23	P67936	TPM4	1	summed:3	0.006530528499	23	0.9294126335	0	0.01315150112	19	0.01172558239	20	0.8714653575	0.00226304839	0.0211881164	28	0.02013557333	11	0.7222099672	0.006502027385	0.03376911927	12
24	Q9UKX3	MYH13	1	single	0.006402927923	24	0.9358155615	0.004538937758	0.008266918088	19	0.00556959358	29	0.9405633638	0.003087345406	0.008051841755	29	0.004623256401	29	0.9404516884	0.001787584438	0.007458928364	13
25	Q5VST9	OBSCN	1	summed:2	0.006180390675	25	0.9419959521	0.003182496871	0.00917828448	19	0.004535540625	30	0.9450989045	0.002628518754	0.006442562496	29	0.003427882891	31	0.9484116717	0.001506851547	0.005348914235	13
26	Q5VTT5	MYOM3	1	single	0.00595186915	26	0.9479478213	0.003102209201	0.008801529098	19	0.001299998529	43	0.9784896036	0.0001941721176	0.002405824941	29	0.0004567947579	59	0.9893809338	0.0002199221956	0.0006936673202	13
