accession	tier	subtree_annotations	evidence_codes
A0A075B6S2	2		
A0A096LP55	2		
A0A0A0MRZ7	2		
A0A0B4J1X5	2		
A0A0C4DH42	2		
A0A1B0GWK0	1	GO:0005861(IBA:GO_Central)	IBA
A0A8I5KQE6	2		
A0AVT1	2		
A0FGR8	2		
A0PJW6	2		
A1L0T0	2		
A1L4K1	2		
A2A2Y4	2		
A2RRP1	2		
A2RTX5	2		
A2RUH7	1	GO:0036379(IDA:UniProtKB);GO:0030017(IEA:UniProtKB-SubCell)	IDA;IEA
A3KMH1	2		
A4D126	2		
A4UGR9	1	GO:0030018(IEA:Ensembl)	IEA
A5D6W6	2		
A5D8V6	2		
A5YM72	2		
A6NCE7	2		
A6NDG6	2		
A6NHG4	2		
A6NHR9	2		
A6NHZ5	2		
A6NMY6	2		
A6NMZ7	2		
A6NNL5	2		
A6NNS2	2		
A6NNT2	2		
A7E2Y1	1	GO:0097512(IEA:Ensembl)	IEA
A8K2U0	2		
A8MU46	1	GO:0031674(IEA:UniProtKB-SubCell);GO:0031430(IEA:UniProtKB-SubCell)	IEA
A8MWD9	2		
A8MXV4	2		
A8MZF0	2		
B0YJ81	2		
B1AJZ9	2		
B2RPK0	2		
B5ME19	2		
B9A064	2		
C9J798	2		
E7EW31	2		
E9PQ53	2		
O00115	2		
O00116	2		
O00139	2		
O00151	1	GO:0030018(IDA:UniProtKB)	IDA
O00154	2		
O00161	2		
O00165	2		
O00168	2		
O00178	2		
O00182	2		
O00186	2		
O00192	2		
O00193	2		
O00203	2		
O00204	2		
O00217	2		
O00231	2		
O00232	2		
O00233	2		
O00244	2		
O00264	2		
O00267	2		
O00291	2		
O00299	2		
O00303	2		
O00330	2		
O00391	2		
O00399	2		
O00401	2		
O00410	2		
O00418	2		
O00423	2		
O00425	2		
O00429	2		
O00442	2		
O00461	2		
O00468	2		
O00469	2		
O00471	2		
O00478	2		
O00479	2		
O00481	2		
O00483	2		
O00487	2		
O00499	1	GO:0031674(ISS:Alzheimers_University_of_Toronto);GO:0030018(ISS:Alzheimers_University_of_Toronto)	ISS
O00505	2		
O00541	2		
O00567	2		
O00571	2		
O00629	2		
O00754	2		
O00757	1	GO:0030018(IEA:UniProtKB-SubCell)	IEA
O00763	2		
O00764	2		
O14497	2		
O14521	2		
O14531	2		
O14545	2		
O14548	2		
O14558	2		
O14561	2		
O14562	2		
O14579	2		
O14602	2		
O14617	2		
O14618	2		
O14639	2		
O14647	2		
O14653	2		
O14657	2		
O14672	2		
O14681	2		
O14683	2		
O14732	2		
O14735	2		
O14737	2		
O14744	2		
O14745	2		
O14776	2		
O14791	2		
O14818	2		
O14828	2		
O14832	2		
O14841	2		
O14874	2		
O14879	2		
O14880	2		
O14908	2		
O14925	2		
O14949	2		
O14950	1	GO:0030016(IBA:GO_Central);GO:0030018(IEA:Ensembl)	IBA;IEA
O14958	1	GO:0030018(ISS:BHF-UCL)	ISS
O14964	2		
O14967	2		
O14972	2		
O14974	1	GO:0031672(ISS:UniProtKB);GO:0030018(ISS:UniProtKB)	ISS
O14979	2		
O14980	2		
O14981	2		
O14983	1	GO:0031673(IDA:UniProtKB);GO:0031674(IDA:UniProtKB)	IDA
O15027	2		
O15031	2		
O15042	2		
O15061	1	GO:0043034(IDA:UniProtKB)	IDA
O15067	2		
O15075	2		
O15078	2		
O15083	2		
O15126	2		
O15143	2		
O15144	2		
O15145	2		
O15160	2		
O15173	2		
O15198	2		
O15211	2		
O15212	2		
O15226	2		
O15230	2		
O15239	2		
O15254	2		
O15258	2		
O15260	2		
O15269	2		
O15270	2		
O15273	1	GO:0031674(ISS:BHF-UCL);GO:1990733(IPI:ComplexPortal);GO:0030018(IDA:BHF-UCL)	IDA;IPI;ISS
O15294	2		
O15355	2		
O15357	2		
O15371	2		
O15372	2		
O15382	2		
O15400	2		
O15427	2		
O15439	2		
O15460	2		
O15498	2		
O15511	2		
O15514	2		
O15523	2		
O43143	2		
O43148	2		
O43149	2		
O43169	2		
O43175	2		
O43181	2		
O43237	2		
O43240	2		
O43242	2		
O43264	2		
O43290	2		
O43293	2		
O43294	2		
O43324	2		
O43374	2		
O43390	2		
O43395	2		
O43396	2		
O43399	2		
O43402	2		
O43414	2		
O43447	2		
O43464	2		
O43488	2		
O43491	2		
O43504	2		
