# GENERATED by literature_inventory.py. DO NOT EDIT BY HAND.
# generated  = 2026-09-17T02:11:25Z
# manifest   = data/literature/manifest.ini
# preview    = 6 rows x 40 cells, 60 chars per cell (I4)
source_id	path	member	sheet	row_index	cells
murgia_2021	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		Sheet1	1	Dataset 1  |  |  |  | Human muscle proteins detected by single-fiber proteomics (… |  |  |  |  |  |  |  |  | 
murgia_2021	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		Sheet1	2	 |  |  |  |  |  |  |  |  |  |  |  |  | 
murgia_2021	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		Sheet1	3	Median 1  | Median 2A  | Median 2X  | Standard deviation 1   | Standard deviation 2A  | Standard deviation 2X  | Valid values   1 | Valid values 2A | Valid values 2X | Gene names |  | Median 1 % | Median 2A % | Median 2X %
murgia_2021	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		Sheet1	4	4.42072772979736 | 2.59146189689636 | 2.83173775672913 | 10.6550347223406 | 105.474804284147 | NaN | 3 | 5 | 1 | A1BG |  | 100 | 58.62070806643297 | 64.05591861362909
murgia_2021	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		Sheet1	5	3.52773666381836 | 5.17935419082642 | 10.8059496879578 | 15.3795375140242 | 6.19173143621204 | 50.6578553883046 | 18 | 25 | 10 | A2M |  | 32.64624364991896 | 47.930578434936784 | 100
murgia_2021	data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx		Sheet1	6	1.25700217485428 | 3.2909668982029 | 8.0361909866333 | 2.47891242636132 | 14.6295471546805 | 4.8914496704834 | 10 | 6 | 4 | A2ML1 |  | 15.64176581847131 | 40.95182535702309 | 100
moreno-justicia_2025	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip	supplementary_dataset_1.xlsx	supplementary dataset 1	1	Supplementary dataset 1. Raw UMI counts matrix of 1000 fibe… | 1_1 | 1_10 | 1_11 | 1_12 | 1_13 | 1_14 | 1_16 | 1_17 | 1_18 | 1_19 | 1_2 | 1_20 | 1_21 | 1_22 | 1_23 | 1_24 | 1_25 | 1_3 | 1_4 | 1_5 | 1_6 | 1_7 | 1_76 | 1_77 | 1_78 | 1_79 | 1_8 | 1_80 | 1_81 | 1_82 | 1_83 | 1_84 | 1_85 | 1_86 | 1_87 | 1_88 | 1_89 | 1_9 | 1_90
moreno-justicia_2025	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip	supplementary_dataset_1.xlsx	supplementary dataset 1	2	FO538757.1 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
moreno-justicia_2025	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip	supplementary_dataset_1.xlsx	supplementary dataset 1	3	RP4-669L17.10 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
moreno-justicia_2025	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip	supplementary_dataset_1.xlsx	supplementary dataset 1	4	LINC00115 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
moreno-justicia_2025	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip	supplementary_dataset_1.xlsx	supplementary dataset 1	5	RP11-34P13.14 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
moreno-justicia_2025	data/literature/moreno-justicia_2025/41467_2025_56896_MOESM3_ESM.zip	supplementary_dataset_1.xlsx	supplementary dataset 1	6	FAM87B | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
momenzadeh_2023	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_2.xlsx		Supplementary Table 2	1	Protein | D24 | D1 | E23 | E4 | E12 | K23 | E2 | C13 | K10 | I22 | E8 | K15 | C14 | E7 | K7 | K2 | K11 | E5 | E21 | E17 | K21 | K12 | I18 | K17 | K5 | K24 | B6 | K19 | K9 | E9 | K6 | K14 | C10 | B17 | K4 | D3 | E18 | B22 | E19
momenzadeh_2023	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_2.xlsx		Supplementary Table 2	2	MYH3 | 0.003639199 | 0.001259016 | 0 | 0.005958455 | 0.00596304 | 0 | 0.001190872 | 0 | 0.002914705 | 0 | 0.013674367 | 0 | 0 | 0.018739067 | 0 | 0.000776034 | 0 | 0.002358309 | 0 | 0.000490003 | 0 | 3.49e-05 | 0.000371646 | 0.000198192 | 0 | 0 | 0 | 0 | 0 | 0.00419258 | 0 | 0 | 0.000314423 | 0 | 0.000248389 | 0 | 0.00094405 | 0 | 0.001267834
momenzadeh_2023	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_2.xlsx		Supplementary Table 2	3	MYH1 | 0.021076745 | 0.010390783 | 0.013541874 | 0.00647286 | 0.006442581 | 0.006576808 | 0.004121811 | 0.006999527 | 0.004222661 | 0.005680412 | 0.005358367 | 0.012197472 | 0.007271767 | 0.017308594 | 0.935414391 | 0.005513529 | 0.023650536 | 0.873398502 | 0.858552783 | 0.010958335 | 0.79038534 | 0.139229616 | 0.169838423 | 0.275353828 | 0.615115301 | 0.045661582 | 0.10231581 | 0.413046551 | 0.40751615 | 0.245344617 | 0.410746118 | 0.352539135 | 0.037550678 | 0.101819462 | 0.173453416 | 0.081061186 | 0.075768882 | 0.056170219 | 0.034773779
momenzadeh_2023	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_2.xlsx		Supplementary Table 2	4	MYH7 | 0.924387715 | 0.931430481 | 0.925610465 | 0.936209661 | 0.932225659 | 0.929790403 | 0.937193008 | 0.930722061 | 0.937770246 | 0.933172494 | 0.913588655 | 0.898861312 | 0.907531147 | 0.886331174 | 0.002909383 | 0.912305964 | 0.891684982 | 0.007922129 | 0.001628818 | 0.825512661 | 0.005189227 | 0.546886082 | 0.518636402 | 0.38198191 | 0.013161318 | 0.548341739 | 0.49400469 | 0.021663804 | 0.005671994 | 0.019033454 | 0.007442049 | 0.009593719 | 0.21455691 | 0.026833025 | 0.018597739 | 0.019620955 | 0.008131089 | 0.012025657 | 0.014872014
momenzadeh_2023	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_2.xlsx		Supplementary Table 2	5	MYH6 | 0.029109153 | 0.029077819 | 0.0381117 | 0.025851542 | 0.027502237 | 0.018772357 | 0.030504196 | 0.029071661 | 0.023729611 | 0.024345863 | 0.031942819 | 0.030909635 | 0.024521162 | 0.019546514 | 9.31e-05 | 0.028412735 | 0.022576316 | 0 | 0 | 0.028833197 | 9.32e-05 | 0.011265642 | 0.011847106 | 0.005225808 | 0.000309561 | 0.016752482 | 0.017931364 | 0.000549427 | 0 | 0.000132804 | 0.000281399 | 0 | 0.004450014 | 0.000504348 | 0.00078502 | 0.000461062 | 0 | 0.011512498 | 0.000422791
momenzadeh_2023	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_2.xlsx		Supplementary Table 2	6	MYH8 | 0.00334209 | 0.00355633 | 0.003033869 | 0.005628492 | 0.002358474 | 0.006119487 | 0.004167932 | 0.004190921 | 0.004779034 | 0.003263139 | 0.002258634 | 0.005039618 | 0.004674007 | 0.002444403 | 0.001957874 | 0.002908288 | 0.004994823 | 0.003756688 | 0.00217394 | 0.008518301 | 0.001900645 | 0.007500466 | 0.0028829 | 0.007019724 | 0.007233542 | 0.009194104 | 0.022363526 | 0.005659985 | 0.014346721 | 0.007540488 | 0.001322764 | 0.012449232 | 0.004160378 | 0.0184481 | 0.01647409 | 0.00620052 | 0.005252766 | 0.01029127 | 0.00386887
momenzadeh_2023	data/literature/momenzadeh_2023/NIHMS1992605-supplement-supplementary_table_3.xlsx		Supplementary Table 3	1	Protein | E4 | D24 | K10 | K23 | E2 | D1 | E12 | E23 | I22 | E8 | B6 | C13 | E7 | K15 | C14 | K2 | K11 | E17 | E5 | K7 | I18 | K12 | K24 | K17 | E21 | K21 | C10 | K5 | K9 | K19 | E9 | K6 | K3 | K14 | B17 | B22 | C23 | D3 | I19
