# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-12T22:37:02Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 eab7879e14401408aa6c70f4047db865441ca64fa933e1e751b571bfa7cac220
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 9ecb8ae2215e5755640d0ff4a5dd19bf23d7518a8401d0d7a77c6ad74939cdd4
# rules       = B0-B5, D31 (within-tier), D47 (summed rows), D48 (shared rows)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# ranking = by largest median value (molar, as published: normalised to the dataset's anchor protein); MW is known only for pool entries, so no v*MW share here
rank	gene	kind	n_rows	v_I	v_IIa	v_IIx	v_share_of_file_I	v_share_of_file_IIa	v_share_of_file_IIx	valid_I	valid_IIa	valid_IIx
1	MYLPF	single_name	1	1157.47998	66901.08594	68573.67188	0.0009024648202	0.05081777512	0.04982216533	19	29	13
2	CKM	single_name	1	8165.046387	21119.24023	26811.85352	0.006366129215	0.01604208341	0.01948013811	19	29	13
3	GAPDH	single_name	2	1666.911596	14953.11828	23314.48344	0.001299658827	0.01135832388	0.01693912571	19	29	13
4	DCD	single_name	1	3672.373047	9313.295898	22643.85352	0.002863278447	0.007074339227	0.01645187989	19	29	13
5	SLC25A4	single_name	1	15890.54785	10418.17773	6471.549316	0.01238955373	0.007913602684	0.004701900761	19	29	13
6	HBA1	single_name	1	14066.83691	8921.34668	10262.64844	0.01096764148	0.006776616298	0.007456321839	19	29	13
7	TMEM159	single_name	1	86.87755585	31.08867836	13917.87097	6.773675497e-05	2.361482543e-05	0.01011202185	15	15	6
8	ENO3	single_name	1	2388.025635	12082.85156	13592.15625	0.001861897537	0.009178081714	0.009875373994	19	29	13
9	MT-CO2	single_name	1	13319.3418	11902.70508	5620.014648	0.01038483395	0.009041243225	0.004083218695	19	29	13
10	ATP5A1	single_name	1	13167.00391	8428.019531	6459.949219	0.01026605904	0.006401887133	0.004693472716	19	29	13
11	CKMT2	single_name	1	12074.35352	8818.139648	4117.947754	0.009414140597	0.006698220684	0.00299189278	19	29	13
12	ATP5B	single_name	2	10940.64024	9733.731118	4768.518311	0.008530206217	0.007393699999	0.003464564478	19	29	13
13	RPS27A;UBB;UBA52;UBC	multi_gene_cell	1	8021.5625	9945.772461	10795.05664	0.006254257595	0.007554765685	0.00784314274	19	29	13
14	PYGM	single_name	1	2372.210205	7842.375977	10155.4043	0.001849566552	0.005957034825	0.007378403665	19	29	13
15	FHL1	single_name	1	2409.477783	9905.511719	6845.54541	0.001878623364	0.007524183799	0.004973627427	19	29	13
