# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-13T06:13:33Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
row_index	gene_cell	n_members	members_in_pool	v_I	v_IIa	v_IIx	outcome
11	AARSD1;PTGES3L-AARSD1	2	AARSD1	18.06702995	34.01065826	45.69384766	shared_group:AARSD1
53	ACOT2;ACOT1	2	ACOT2;ACOT1	1223.996582	830.7540283	304.5651245	shared_split I:ACOT2=0.500,ACOT1=0.500 IIa:ACOT2=0.500,ACOT1=0.500 IIx:ACOT2=0.500,ACOT1=0.500
81	ACY1;ABHD14A-ACY1	2	ACY1	2.665253401	14.37755251	10.8300271	shared_group:ACY1
173	AMY1A;AMY2A;AMY2B	3	AMY1A;AMY2A;AMY2B	30.49567127	47.64703369	93.54706955	shared_split I:AMY1A=0.333,AMY2A=0.333,AMY2B=0.333 IIa:AMY1A=0.333,AMY2A=0.333,AMY2B=0.333 IIx:AMY1A=0.333,AMY2A=0.333,AMY2B=0.333
191	ANXA2;ANXA2P2	2	ANXA2;ANXA2P2	122.4686966	109.6439667	167.8239288	shared_split I:ANXA2=0.500,ANXA2P2=0.500 IIa:ANXA2=0.500,ANXA2P2=0.500 IIx:ANXA2=0.500,ANXA2P2=0.500
223	APOC2;APOC4-APOC2	2	APOC2	22.2531147	15.62257004	444.4149017	shared_group:APOC2
238	ARF3;ARF1	2	ARF3;ARF1	16.15226746	33.12281799	53.3625946	shared_split I:ARF3=0.500,ARF1=0.500 IIa:ARF3=0.500,ARF1=0.500 IIx:ARF3=0.500,ARF1=0.500
259	ARL2;ARL2-SNX15	2	ARL2	6.259253979	68.37500572	0	shared_group:ARL2
273	ARPC4;ARPC4-TTLL3	2	ARPC4	23.71903419	14.20933819	10.44876003	shared_group:ARPC4
277	ARRB2;DKFZp686L0365	2	ARRB2	11.93615913	12.49402428	7.008492589	shared_group:ARRB2
298	ATAD3A;ATAD3B	2	ATAD3A;ATAD3B	30.59303093	25.95755005	12.58203316	shared_split I:ATAD3A=0.500,ATAD3B=0.500 IIa:ATAD3A=0.500,ATAD3B=0.500 IIx:ATAD3A=0.500,ATAD3B=0.500
327	ATP5J2;ATP5J2-PTCD1	2	ATP5J2	2067.413635	2406.341553	1224.548706	shared_group:ATP5J2
352	BAG6;BAT3	2	BAG6;BAT3	0.8535413146	2.121448517	5.761820316	shared_split I:BAG6=0.500,BAT3=0.500 IIa:BAG6=0.500,BAT3=0.500 IIx:BAG6=0.500,BAT3=0.500
