# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-12T21:58:23Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 eab7879e14401408aa6c70f4047db865441ca64fa933e1e751b571bfa7cac220
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 9ecb8ae2215e5755640d0ff4a5dd19bf23d7518a8401d0d7a77c6ad74939cdd4
# rules       = B0-B5, D31 (within-tier), D47 (summed rows), D48 (shared rows)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# tier 2: 87 entries, ordered by type-I weight; rank_<type> and cumulative_share_<type> follow that fiber type's own order
rank_I	accession	gene	tier	match_rule	w_I	rank_I	cumulative_share_I_in_I_order	w_I_low	w_I_high	valid_I	w_IIa	rank_IIa	cumulative_share_IIa_in_IIa_order	w_IIa_low	w_IIa_high	valid_IIa	w_IIx	rank_IIx	cumulative_share_IIx_in_IIx_order	w_IIx_low	w_IIx_high	valid_IIx
1	P16615	ATP2A2	2	single	0.2390348491	1	0.2390348491	0.1530825236	0.3249871746	19	0.0896931134	4	0.6227235927	0.05920445383	0.120181773	29	0.1136309136	3	0.5334691268	0.06800331077	0.1592585163	13
2	Q14315	FLNC	1;2	single	0.2127434747	2	0.4517783238	0.0973133592	0.3281735902	19	0.2015131453	1	0.2015131453	0.1245762322	0.2784500584	29	0.1127579966	4	0.6462271233	0.06934814102	0.1561678521	13
3	P31415	CASQ1	1;2	single	0.1633080003	3	0.6150863241	0.0494589168	0.2771570838	19	0.1717327006	2	0.373245846	0.09640541685	0.2470599844	29	0.2141871633	1	0.2141871633	0	0.6970187473	13
4	Q15149	PLEC	1;2	summed:2	0.1096252401	4	0.7247115641	0.06907010404	0.1501803761	19	0.06636654825	6	0.7588392618	0.02154012236	0.1111929741	29	0.04466483129	6	0.7748865562	0.02978461824	0.05954504434	13
5	O60662	KLHL41	1;2	single	0.04707950614	5	0.7717910703	0.03127293103	0.06288608125	19	0.03226332763	9	0.8804274699	0.02023406406	0.0442925912	29	0.0236769523	10	0.9023276078	0.01157600742	0.03577789717	13
6	Q12797	ASPH	2	summed:2	0.04197109785	6	0.8137621681	0.0237742982	0.06016789749	19	0.05635787292	7	0.8151971347	0.02799422784	0.08472151801	29	0.08399460159	5	0.7302217249	0.02986253766	0.1381266655	13
7	O14958	CASQ2	1;2	single	0.02804872214	7	0.8418108903	0	0.06232207664	19	0.002689024486	19	0.9736008327	0.0007178935513	0.004660155421	28	0.0006994279149	34	0.9951456215	0	0.002206123022	13
8	P21817	RYR1	1;2	summed:2	0.02542844426	8	0.8672393345	0.01392971328	0.03692717524	19	0.03296700753	8	0.8481641422	0.01902734639	0.04690666867	29	0.03703928176	8	0.8490996206	0.0258686515	0.04820991201	13
9	P02144	MB	2	summed:2	0.02325551649	9	0.890494851	0	0.09694389611	19	0.06974912084	5	0.6924727135	0	0.2227708776	29	0.03717378266	7	0.8120603389	0	0.1962419298	13
10	Q86TD4	SRL	2	single	0.02231775535	10	0.9128126064	0.01157179075	0.03306371996	19	0.01516095972	12	0.9461271316	0.008706489012	0.02161543042	29	0.01431036989	12	0.9369114051	0.004264571588	0.02435616819	13
11	P35573	AGL	2	single	0.01707131421	11	0.9298839206	0.008898804553	0.02524382387	19	0.02934925072	10	0.9097767206	0.01651760464	0.0421808968	29	0.02955103489	9	0.8786506555	0.02246363896	0.03663843082	13
12	Q13061	TRDN	2	single	0.0103007511	12	0.9401846717	0.005473199206	0.01512830299	19	0.02118945133	11	0.9309661719	0.0123197602	0.03005914246	29	0.02027342737	11	0.9226010352	0.005551710387	0.03499514436	13
13	O75298	RTN2	1;2	single	0.009327579753	13	0.9495122514	0.00524230713	0.01341285237	19	0.007402584513	13	0.9535297161	0.003443241159	0.01136192787	28	0.01111261299	13	0.9480240181	0.0001718607129	0.02205336527	13
14	P16157	ANK1	1;2	summed:2	0.004866970564	14	0.954379222	0	0.01089452154	17	0.00246467634	21	0.9785764741	0.0009141058465	0.004015246834	28	0.004614377247	15	0.9588071564	0.002102897595	0.0071258569	11
15	P23327	HRC	1;2	single	0.004665903764	15	0.9590451258	0.001967987999	0.007363819528	19	0.003288458596	17	0.9676669071	0	0.01190346432	29	0.002513264053	21	0.9778590467	0	0.00778877573	13
16	Q8N3K9	CMYA5	1;2	single	0.003811428232	16	0.962856554	0	0.00962669825	19	0.003550152328	15	0.9608883261	0.001942581866	0.00515772279	29	0.003196901436	18	0.9693416718	0.001834852721	0.00455895015	13
17	Q00765	REEP5	2	single	0.003356638098	17	0.9662131921	0.001683486548	0.005029789648	19	0.002510964976	20	0.9761117977	0.001386292719	0.003635637233	27	0.003329586539	17	0.9661447704	0	0.008335863178	13
18	O14983	ATP2A1	1;2	single	0.003311904748	18	0.9695250968	0	0.01850256012	19	0.1597846333	3	0.5330304793	0.107686173	0.2118830936	29	0.2056510499	2	0.4198382132	0.1226711746	0.2886309252	13
19	Q13586	STIM1	2	summed:2	0.00290692257	19	0.9724320194	0	0.007351578049	19	0.00137311232	27	0.9884433226	0	0.004790867829	28	0.002131763716	22	0.9799908104	0	0.005015062582	13
20	Q9HDC5	JPH1	1;2	single	0.002486766769	20	0.9749187862	0	0.014429357	19	0.003808457597	14	0.9573381737	0	0.008221831046	29	0.004008027434	16	0.9628151839	0.002390646951	0.005625407917	13
21	P54289	CACNA2D1	2	single	0.002396653825	21	0.97731544	0	0.005005273016	19	0.00349012241	16	0.9643784485	0.0003445821814	0.006635662639	29	0.006168761119	14	0.9541927792	0.003575139616	0.008762382623	13
22	P26678	PLN	2	single	0.002309742006	22	0.979625182	0	0.005313280803	19	0.0005430188737	37	0.9959799956	0	0.001744721208	27	0.0001602713205	44	0.9989213688	0.0001126754097	0.0002078672313	4
23	Q9BR39	JPH2	1;2	single	0.002304931627	23	0.9819301136	0.001440357838	0.003169505417	19	0.003244901172	18	0.9709118082	0.001112292109	0.005377510234	29	0.002889299864	20	0.9753457826	0.001841107673	0.003937492055	13
24	O43852	CALU	2	single	0.001859920981	24	0.9837900346	0.0006646998459	0.003055142116	19	0.001575419327	25	0.9856880984	0.0005554521722	0.002595386482	29	0.001673198584	25	0.9853072867	0	0.005234365755	13
