# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T23:10:46Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; primary reference = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 6256ed3e67b2dd48e5b228b8530a3ceb359221f1b8394ec0a3c36c2c6da5ed97
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 117997e6b1b2a0c203f836446d48add4054dce7e7bc4182ff2d114475a7c586f
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 72b632ff1fece7b2572df3e7d72461adb2a4c04d42b17026b0ea61535330f754
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 5402bda41426d17f189ea99d5091f763b37ad99fd6528a65f7f08a1d7065f27f
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.reference.blood = outputs/blood/standard/_calculated_amino_acid_standard.tsv sha256 de970880e11d08ce8878eccce2cfb07e165a0eb7f9b01720f196542b7469daab
# input.reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = outputs/composite/_calculated_amino_acid_standard_composite.tsv sha256 85a2b165e9a85a46b868b603eeae6f30c8a5b2ccd61683fdfa9553abf1579997
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# reference.blood = blood: plasma + erythrocytes at the base split (haemoglobin share as measured), reference male | outputs/blood/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 5.41114, I 2.34354, L 11.308, K 8.29135, M 1.63704, F 6.03455, T 5.04357, W 1.91394, V 8.187
# reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = skeletal muscle protein + non-protein metabolite pools (carnosine) and blood, mixed by protein mass (Layer C), reference male | outputs/composite/_calculated_amino_acid_standard_composite.tsv column composite | scored set fao_2013_indispensable (HILKMFTWV) | values: H 3.32649, I 4.60745, L 9.17611, K 9.13469, M 2.38384, F 4.56337, T 5.0595, W 1.64053, V 6.52979
# every scored food under reference blood, best first; ties by description
rank	source	source_detail	food_id	description	match_rate_percent	limiting_amino_acid	protein_g_per_100g
1	usda	sr_legacy_food 2018-04	173942	Apricots, dried, sulfured, stewed, without added sugar	79.8097	M	1.2
2	usda	sr_legacy_food 2018-04	170555	Seeds, cottonseed flour, partially defatted (glandless)	79.3011	H	40.96
3	usda	sr_legacy_food 2018-04	170596	Seeds, cottonseed kernels, roasted (glandless)	79.2970	H	32.59
4	usda	sr_legacy_food 2018-04	170147	Seeds, cottonseed meal, partially defatted (glandless)	79.2751	H	49.1
5	usda	sr_legacy_food 2018-04	170146	Seeds, cottonseed flour, low fat (glandless)	79.2708	H	49.83
6	usda	sr_legacy_food 2018-04	168874	Quinoa, uncooked	79.1143	V	14.12
7	usda	sr_legacy_food 2018-04	168917	Quinoa, cooked	79.1127	V	4.4
8	usda	sr_legacy_food 2018-04	168272	Pork, fresh, variety meats and by-products, mechanically separated, raw	78.6310	L	15.03
9	usda	sr_legacy_food 2018-04	171320	Spices, cinnamon, ground	77.9298	H	3.99
10	usda	sr_legacy_food 2018-04	173941	Apricots, dried, sulfured, uncooked	77.3815	W	3.39
11	usda	sr_legacy_food 2018-04	171546	Soup, chicken and vegetable, canned, ready-to-serve	77.2638	H	1.97
12	usda	sr_legacy_food 2018-04	170298	Fast foods, submarine sandwich, roast beef on white bread with lettuce and tomato	77.2638	H	12.17
13	usda	sr_legacy_food 2018-04	170713	SUBWAY, roast beef sub on white bread with lettuce and tomato	77.2638	H	12.17
14	usda	sr_legacy_food 2018-04	173331	Chicken pot pie, frozen entree, prepared	76.9466	V	5.11
15	usda	sr_legacy_food 2018-04	170057	Tomato products, canned, sauce, with herbs and cheese	76.7521	H	2.13
16	usda	sr_legacy_food 2018-04	171512	Chicken patty, frozen, uncooked	76.5400	H	14.33
17	usda	sr_legacy_food 2018-04	171515	Chicken breast tenders, breaded, uncooked	76.5307	H	14.73
18	usda	sr_legacy_food 2018-04	171882	Beverages, Clam and tomato juice, canned	76.3548	H	0.6
19	usda	sr_legacy_food 2018-04	168849	Snacks, banana chips	76.2339	V	2.3
20	usda	sr_legacy_food 2018-04	169016	Restaurant, family style, sirloin steak	76.1816	H	29.8
21	usda	sr_legacy_food 2018-04	168224	Pork, fresh, leg (ham), whole, separable lean only, raw	76.1728	F	20.48
22	usda	sr_legacy_food 2018-04	167907	Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw	76.1599	F	21.23
23	usda	sr_legacy_food 2018-04	168303	Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, braised	76.1572	F	27.95
24	usda	sr_legacy_food 2018-04	167902	Pork, fresh, ground, raw	76.1555	F	16.88
25	usda	sr_legacy_food 2018-04	168233	Pork, fresh, loin, whole, separable lean only, cooked, roasted	76.1496	F	28.62
26	usda	sr_legacy_food 2018-04	167852	Pork, fresh, shoulder, blade, boston (roasts), separable lean only, cooked, roasted	76.1458	F	24.21
27	usda	sr_legacy_food 2018-04	168304	Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, broiled	76.1335	F	29.46
28	usda	sr_legacy_food 2018-04	167848	Pork, fresh, shoulder, arm picnic, separable lean only, cooked, roasted	76.1326	F	26.68
29	usda	sr_legacy_food 2018-04	171620	Bratwurst, pork, cooked	76.1317	F	13.72
30	usda	sr_legacy_food 2018-04	167893	Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried	76.1251	F	27.68
31	usda	sr_legacy_food 2018-04	167854	Pork, fresh, spareribs, separable lean and fat, cooked, braised	76.1231	F	29.06
32	usda	sr_legacy_food 2018-04	168225	Pork, fresh, leg (ham), whole, separable lean only, cooked, roasted	76.1225	F	29.41
33	usda	sr_legacy_food 2018-04	167851	Pork, fresh, shoulder, blade, boston (steaks), separable lean and fat, cooked, broiled	76.1225	F	25.58
