# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-18T00:31:55Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; primary reference = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 f1fe894b4ab9a9876bbb4b1fcbad73a45f4c6211ee9718d272dea6f658ca24bf
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 0b87709521d9e1981f81fb860bb25c1b6fb9979429e05b4b8f0d7888b97eb9fd
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 f48850b2561c26f0cbae16c083ddae4b9cbe4423614ed49d3aea788416df734d
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 1a05f217b72d59f38a89b7bac674ce7e2dc7c1aa11e5eaadf4860ccd4af70b5a
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# food x reference pairs the formula could not score, with the reason (M3)
source	source_detail	food_id	description	reference	reason
usda	sr_legacy_food 2018-04	167761	Soursop, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	167761	Soursop, raw	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	167761	Soursop, raw	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	167763	Tamarinds, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	167763	Tamarinds, raw	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	167763	Tamarinds, raw	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	167946	SCHIFF,TIGER'S MILK BAR	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, K, M, F, T, W, V
usda	sr_legacy_food 2018-04	167946	SCHIFF,TIGER'S MILK BAR	skeletal_muscle_protein	food does not report H, I, L, K, M, F, T, W, V
usda	sr_legacy_food 2018-04	167946	SCHIFF,TIGER'S MILK BAR	gorissen_2018_human_muscle	food does not report T, M, F, H, K, V, I, L
usda	sr_legacy_food 2018-04	168037	Corn, white, steamed (Navajo)	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, V
usda	sr_legacy_food 2018-04	168037	Corn, white, steamed (Navajo)	skeletal_muscle_protein	food does not report H, V
usda	sr_legacy_food 2018-04	168037	Corn, white, steamed (Navajo)	gorissen_2018_human_muscle	food does not report H, V
usda	sr_legacy_food 2018-04	168079	DENNY'S, chicken nuggets, star shaped, from kid's menu	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	168079	DENNY'S, chicken nuggets, star shaped, from kid's menu	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	168144	Babyfood, grape juice, no sugar, canned	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report W
usda	sr_legacy_food 2018-04	168144	Babyfood, grape juice, no sugar, canned	skeletal_muscle_protein	food does not report W
usda	sr_legacy_food 2018-04	168155	Limes, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	168155	Limes, raw	skeletal_muscle_protein	food does not report H, I, L, F, T, V
usda	sr_legacy_food 2018-04	168155	Limes, raw	gorissen_2018_human_muscle	food does not report T, F, H, V, I, L
usda	sr_legacy_food 2018-04	168175	Sugar-apples, (sweetsop), raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	food does not report H, I, L, F, T, V
