# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T22:31:35Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; primary reference = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 6256ed3e67b2dd48e5b228b8530a3ceb359221f1b8394ec0a3c36c2c6da5ed97
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 117997e6b1b2a0c203f836446d48add4054dce7e7bc4182ff2d114475a7c586f
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 72b632ff1fece7b2572df3e7d72461adb2a4c04d42b17026b0ea61535330f754
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 5402bda41426d17f189ea99d5091f763b37ad99fd6528a65f7f08a1d7065f27f
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.reference.blood = outputs/blood/standard/_calculated_amino_acid_standard.tsv sha256 de970880e11d08ce8878eccce2cfb07e165a0eb7f9b01720f196542b7469daab
# input.reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = outputs/composite/_calculated_amino_acid_standard_composite.tsv sha256 85a2b165e9a85a46b868b603eeae6f30c8a5b2ccd61683fdfa9553abf1579997
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# reference.blood = blood: plasma + erythrocytes at the base split (haemoglobin share as measured), reference male | outputs/blood/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 5.41114, I 2.34354, L 11.308, K 8.29135, M 1.63704, F 6.03455, T 5.04357, W 1.91394, V 8.187
# reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = skeletal muscle protein + non-protein metabolite pools (carnosine) and blood, mixed by protein mass (Layer C), reference male | outputs/composite/_calculated_amino_acid_standard_composite.tsv column composite | scored set fao_2013_indispensable (HILKMFTWV) | values: H 3.32649, I 4.60745, L 9.17611, K 9.13469, M 2.38384, F 4.56337, T 5.0595, W 1.64053, V 6.52979
# every scored food under reference gorissen_2018_human_muscle, best first; ties by description
rank	source	source_detail	food_id	description	match_rate_percent	limiting_amino_acid	protein_g_per_100g
1	usda	sr_legacy_food 2018-04	170737	KFC, Popcorn Chicken	92.4571	F	17.67
2	usda	sr_legacy_food 2018-04	173486	Babyfood, meat, meat sticks, junior	92.3961	K	13.4
3	usda	sr_legacy_food 2018-04	168629	Beef, variety meats and by-products, lungs, cooked, braised	92.0082	F	20.4
4	usda	sr_legacy_food 2018-04	168628	Beef, variety meats and by-products, lungs, raw	91.9883	F	16.2
5	usda	sr_legacy_food 2018-04	175140	Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone	91.8754	F	20.86
6	usda	sr_legacy_food 2018-04	171632	Sausage, pork and turkey, pre-cooked	91.4025	H	12.05
7	usda	sr_legacy_food 2018-04	168181	Peaches, canned, heavy syrup, drained	91.3793	H	0.52
8	usda	sr_legacy_food 2018-04	170732	TACO BELL, Soft Taco with chicken, cheese and lettuce	91.1350	K	13.3
9	usda	sr_legacy_food 2018-04	167659	Restaurant, Latino, chicken and rice, entree, prepared	90.7079	F	12.02
10	usda	foundation_food 2026-04	325430	Peaches, yellow, raw	90.5090	L	0.91
11	usda	sr_legacy_food 2018-04	170724	WENDY'S, Ultimate Chicken Grill Sandwich	90.4694	F	14.73
12	usda	sr_legacy_food 2018-04	168272	Pork, fresh, variety meats and by-products, mechanically separated, raw	90.3940	F	15.03
13	usda	sr_legacy_food 2018-04	172088	POPEYES, Mild Chicken Strips, analyzed 2006	90.2378	V	19.2
14	usda	foundation_food 2026-04	326698	Mustard, prepared, yellow	90.1466	K	4.25
15	usda	sr_legacy_food 2018-04	172249	Babyfood, meat, chicken sticks, junior	90.0773	H	14.6
16	usda	sr_legacy_food 2018-04	172234	Mustard, prepared, yellow	89.9576	K	3.74
17	usda	sr_legacy_food 2018-04	170057	Tomato products, canned, sauce, with herbs and cheese	89.8396	M	2.13
18	usda	sr_legacy_food 2018-04	170846	Cheese, mozzarella, whole milk, low moisture	89.7704	T	21.6
19	usda	sr_legacy_food 2018-04	170847	Cheese, mozzarella, part skim milk	89.7444	T	24.26
20	usda	sr_legacy_food 2018-04	168278	Pork, cured, breakfast strips, raw or unheated	89.5981	F	11.74
21	usda	sr_legacy_food 2018-04	173339	Rice bowl with chicken, frozen entree, prepared (includes fried, teriyaki, and sweet and sour varieties)	89.3661	K	5.65
22	usda	sr_legacy_food 2018-04	167552	Snacks, popcorn, caramel-coated, without peanuts	89.3166	H	3.8
23	usda	sr_legacy_food 2018-04	171245	Cheese, muenster	89.2255	H	23.41
24	usda	sr_legacy_food 2018-04	172176	Cheese, brick	89.2053	H	23.24
25	usda	sr_legacy_food 2018-04	172175	Cheese, blue	89.0629	T	21.4
26	usda	sr_legacy_food 2018-04	170929	Spices, mustard seed, ground	88.9540	K	26.08
27	usda	sr_legacy_food 2018-04	170334	TACO BELL, BURRITO SUPREME with chicken	88.8791	K	9.84
28	usda	sr_legacy_food 2018-04	169928	Peaches, yellow, raw	88.4972	L	0.91
29	usda	sr_legacy_food 2018-04	173494	Babyfood, dinner, vegetables and beef, strained	88.4662	H	2.21
30	usda	sr_legacy_food 2018-04	171629	Ham and cheese spread	88.4449	F	16.18
31	usda	sr_legacy_food 2018-04	169018	APPLEBEE'S, chili	88.3240	F	12.56
32	usda	sr_legacy_food 2018-04	169028	Restaurant, family style, chili with meat and beans	88.3240	F	12.56
33	usda	sr_legacy_food 2018-04	173338	Turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved	88.1933	H	6.97
34	usda	sr_legacy_food 2018-04	168056	Elk, free range, ground, raw (Shoshone Bannock)	88.0834	F	20.14
35	usda	sr_legacy_food 2018-04	168055	Elk, free range, ground, cooked patties (Shoshone Bannock)	88.0778	F	29.45
36	usda	sr_legacy_food 2018-04	170338	POPEYES, Spicy Chicken Strips, analyzed 2006	88.0741	V	19.61
