# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T23:42:11Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; summary reference (match_rate_per_food.tsv) = skeletal_muscle_with_non_protein_metabolite_pools_and_blood; comparison baseline (the difference_pp_ columns) = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 dc32c3899d5f0e94b959078229918a31ba0b916cf102f4e4afa73484433c83e8
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 117997e6b1b2a0c203f836446d48add4054dce7e7bc4182ff2d114475a7c586f
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 72b632ff1fece7b2572df3e7d72461adb2a4c04d42b17026b0ea61535330f754
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 5402bda41426d17f189ea99d5091f763b37ad99fd6528a65f7f08a1d7065f27f
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.reference.blood = outputs/blood/standard/_calculated_amino_acid_standard.tsv sha256 de970880e11d08ce8878eccce2cfb07e165a0eb7f9b01720f196542b7469daab
# input.reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = outputs/composite/_calculated_amino_acid_standard_composite.tsv sha256 85a2b165e9a85a46b868b603eeae6f30c8a5b2ccd61683fdfa9553abf1579997
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# reference.blood = blood: plasma + erythrocytes at the base split (haemoglobin share as measured), reference male | outputs/blood/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 5.41114, I 2.34354, L 11.308, K 8.29135, M 1.63704, F 6.03455, T 5.04357, W 1.91394, V 8.187
# reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = skeletal muscle protein + non-protein metabolite pools (carnosine) and blood, mixed by protein mass (Layer C), reference male | outputs/composite/_calculated_amino_acid_standard_composite.tsv column composite | scored set fao_2013_indispensable (HILKMFTWV) | values: H 3.32649, I 4.60745, L 9.17611, K 9.13469, M 2.38384, F 4.56337, T 5.0595, W 1.64053, V 6.52979
# THE SUMMARY TABLE: one row per food, scored against skeletal_muscle_with_non_protein_metabolite_pools_and_blood only — the most complete reference built so far, and the one this table follows as categories are added (D127, D128). The reference is named here rather than in a column because it is the same on every row. Every reference side by side, with the differences: match_rate_by_reference.tsv. The spreadsheet's walk per food and reference: match_rate_steps.tsv. A food this reference cannot score is absent here and its reason is in foods_not_scored.tsv. eaa_g_per_100g = the sum of the reference's scored amino acids as published; eaa_percent_of_protein = 100 x eaa_g_per_100g / protein_g_per_100g; ratio_<letter> = food share / reference share (Step 7)
source	source_detail	food_id	description	food_category	match_rate_percent	limiting_amino_acid	eaa_g_per_100g	protein_g_per_100g	eaa_percent_of_protein	ratio_F	ratio_H	ratio_I	ratio_K	ratio_L	ratio_M	ratio_T	ratio_V	ratio_W
usda	foundation_food 2026-04	325430	Peaches, yellow, raw	Fruits and Fruit Juices	85.4114	L	0.1540	0.91	16.92	1.1890	1.0874	1.0468	0.9240	0.8541	1.1381	0.8937	0.9694	1.6537
usda	foundation_food 2026-04	326698	Mustard, prepared, yellow	Spices and Herbs	18.1390	W	1.5600	4.25	36.71	1.1542	1.1629	1.0334	0.9447	1.0377	1.0361	1.0763	0.9433	0.1814
usda	foundation_food 2026-04	327046	Kiwifruit, green, raw	Fruits and Fruit Juices	79.1801	K	0.3530	1.06	33.30	1.1239	0.9488	1.3129	0.7918	0.8456	1.2136	1.1177	1.0473	1.0421
usda	foundation_food 2026-04	327357	Nectarines, raw	Fruits and Fruit Juices	78.2938	L	0.0840	1.06	7.92	1.2110	1.3291	0.9596	0.9075	0.7829	1.1591	0.8738	1.0156	1.6843
usda	foundation_food 2026-04	330137	Yogurt, Greek, plain, nonfat	Dairy and Egg Products	80.0557	T	4.6990	10.3	45.62	1.1106	0.8702	1.1300	0.9009	1.1089	1.2142	0.8006	1.0091	0.8009
usda	foundation_food 2026-04	333476	Fish, pollock, raw	Finfish and Shellfish Products	70.9156	H	5.5100	12.3	44.80	0.9416	0.7092	1.1337	1.1160	0.9732	1.4137	0.9658	0.8645	0.9244
usda	foundation_food 2026-04	334628	Restaurant, Latino, tamale, pork	Restaurant Foods	72.2471	W	2.3500	7.38	31.84	1.0173	1.0392	1.0504	0.9515	1.0764	1.3673	0.9761	0.8471	0.7225
usda	foundation_food 2026-04	334720	Restaurant, Latino, pupusas con frijoles (pupusas, bean)	Restaurant Foods	70.3115	K	2.1900	5.59	39.18	1.3935	1.0833	1.0443	0.7031	1.2544	0.9159	0.9217	0.8667	0.7365
usda	foundation_food 2026-04	746764	Carrots, frozen, unprepared	Vegetables and Vegetable Products	42.9669	W	0.4610	0.81	56.91	0.9268	0.9081	1.1365	0.8268	0.7243	0.6336	2.5276	0.7248	0.4297
usda	foundation_food 2026-04	746765	Cheese, dry white, queso seco	Dairy and Egg Products	82.7769	T	10.5300	24.5	42.98	1.1303	0.8946	1.1099	0.9459	1.1002	0.9894	0.8278	0.9992	0.8330
usda	foundation_food 2026-04	746766	Cheese, ricotta, whole milk	Dairy and Egg Products	70.9831	V	3.2550	7.81	41.68	0.8438	0.7503	1.1298	1.0226	1.2201	1.0171	1.1134	0.7098	0.9997
usda	foundation_food 2026-04	746768	Figs, dried, uncooked	Fruits and Fruit Juices	66.0731	K	0.6230	3.3	18.88	1.1267	0.7616	1.3261	0.6607	0.9420	0.9690	1.1487	1.2895	0.8630
usda	foundation_food 2026-04	746769	Lettuce, cos or romaine, raw	Vegetables and Vegetable Products	68.8459	M	0.3960	1.24	31.94	1.6955	0.7400	1.1449	0.8213	0.9709	0.6885	1.0195	0.9874	0.7860
usda	foundation_food 2026-04	746770	Melons, cantaloupe, raw	Fruits and Fruit Juices	37.9822	W	0.1490	0.82	18.17	1.2972	1.1239	1.1495	0.8186	0.8149	1.3070	0.8621	1.2882	0.3798
usda	foundation_food 2026-04	746771	Oranges, raw, navels	Fruits and Fruit Juices	67.9971	L	0.1860	0.91	20.44	2.7893	0.8253	0.7584	0.8743	0.6800	0.7329	0.7893	0.8409	1.2171
usda	foundation_food 2026-04	746772	Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D	Dairy and Egg Products	79.7841	W	1.5960	3.38	47.22	1.0708	0.8656	1.0984	0.9807	1.0841	1.1225	0.9083	0.9354	0.7978
usda	foundation_food 2026-04	746773	Pears, raw, bartlett	Fruits and Fruit Juices	25.6058	H	0.1090	0.38	28.68	1.2133	0.2561	1.2941	0.9791	1.0675	0.3573	1.0943	1.2392	0.5192
usda	foundation_food 2026-04	746774	Restaurant, Chinese, sweet and sour pork	Restaurant Foods	83.2018	W	3.4690	8.88	39.07	1.0058	1.1546	1.0950	0.9713	1.0310	1.1620	0.9865	0.8402	0.8320
usda	foundation_food 2026-04	746776	Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)	Dairy and Egg Products	83.3790	W	1.6290	3.43	47.49	1.0491	0.8652	1.1257	0.9421	1.0776	1.1117	0.9350	0.9688	0.8338
usda	foundation_food 2026-04	746778	Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D	Dairy and Egg Products	75.7466	W	1.5690	3.36	46.70	1.0568	0.8805	1.1109	0.9490	1.0802	1.1046	0.9473	0.9651	0.7575
