# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-20T06:43:45Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; summary reference (match_rate_per_food.tsv) = skeletal_muscle_with_non_protein_metabolite_pools_and_blood; comparison baseline (the difference_pp_ columns) = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 ee19576542fab2ab053d3643e392af021e9a88a1741d806e3316d5b62ee20541
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 117997e6b1b2a0c203f836446d48add4054dce7e7bc4182ff2d114475a7c586f
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 72b632ff1fece7b2572df3e7d72461adb2a4c04d42b17026b0ea61535330f754
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 5402bda41426d17f189ea99d5091f763b37ad99fd6528a65f7f08a1d7065f27f
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.reference.blood = outputs/blood/standard/_calculated_amino_acid_standard.tsv sha256 de970880e11d08ce8878eccce2cfb07e165a0eb7f9b01720f196542b7469daab
# input.reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = outputs/composite/_calculated_amino_acid_standard_composite.tsv sha256 85a2b165e9a85a46b868b603eeae6f30c8a5b2ccd61683fdfa9553abf1579997
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# reference.blood = blood: plasma + erythrocytes at the base split (haemoglobin share as measured), reference male | outputs/blood/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 5.41114, I 2.34354, L 11.308, K 8.29135, M 1.63704, F 6.03455, T 5.04357, W 1.91394, V 8.187
# reference.skeletal_muscle_with_non_protein_metabolite_pools_and_blood = skeletal muscle protein + non-protein metabolite pools (carnosine) and blood, mixed by protein mass (Layer C), reference male | outputs/composite/_calculated_amino_acid_standard_composite.tsv column composite | scored set fao_2013_indispensable (HILKMFTWV) | values: H 3.32649, I 4.60745, L 9.17611, K 9.13469, M 2.38384, F 4.56337, T 5.0595, W 1.64053, V 6.52979
# Columns follow Base_Match_Rate_Formula.xlsx: <letter>_g_per_100g = rows 12-20 (the food, column G); eaa_g_per_100g = row 22; reference_eaa_total = A22; percent_of_reference_total = row 23 ('% of Human'); step3_scaled_* = rows 30-37; step7_percent_of_reference_* = rows 100-107; step7_min = row 108; step10b_* = rows 145-152; step10b_total_need_to_consume = row 153; percent_wasted = row 155; percent_utilized = row 156 = Match Rate. match_rate_percent is column 6 rather than the last column (D126): it is row 156 x 100, the headline beside the food name; the walk itself still ends at row 156. Steps 8-9 cancel in Step 10b and are not written; a zero score leaves Step 10b blank (division by zero). Reference values (the spreadsheet's column A) are in the reference.* lines above.
source	source_detail	food_id	description	reference	match_rate_percent	protein_g_per_100g	H_g_per_100g	I_g_per_100g	L_g_per_100g	K_g_per_100g	M_g_per_100g	F_g_per_100g	T_g_per_100g	W_g_per_100g	V_g_per_100g	eaa_g_per_100g	reference_eaa_total	percent_of_reference_total	step3_scaled_H	step3_scaled_I	step3_scaled_L	step3_scaled_K	step3_scaled_M	step3_scaled_F	step3_scaled_T	step3_scaled_W	step3_scaled_V	step7_percent_of_reference_H	step7_percent_of_reference_I	step7_percent_of_reference_L	step7_percent_of_reference_K	step7_percent_of_reference_M	step7_percent_of_reference_F	step7_percent_of_reference_T	step7_percent_of_reference_W	step7_percent_of_reference_V	step7_min	limiting_amino_acid	step10b_H	step10b_I	step10b_L	step10b_K	step10b_M	step10b_F	step10b_T	step10b_W	step10b_V	step10b_total_need_to_consume	percent_wasted	percent_utilized
usda	foundation_food 2026-04	325430	Peaches, yellow, raw	skeletal_muscle_protein_with_non_protein_metabolite_pools	86.1858	0.91	0.012	0.016	0.026	0.028	0.009	0.018	0.015	0.009	0.021	0.1540	45.0572	0.0034	3.5110	4.6813	7.6071	8.1922	2.6332	5.2664	4.3887	2.6332	6.1442	1.3674	0.8619	0.9056	0.8677	0.9915	1.3075	0.8664	1.7088	1.0367	0.8619	I	4.0737	5.4316	8.8263	9.5053	3.0553	6.1105	5.0921	3.0553	7.1290	52.2792	0.1381	0.8619
usda	foundation_food 2026-04	325430	Peaches, yellow, raw	skeletal_muscle_protein	85.5190	0.91	0.012	0.016	0.026	0.028	0.009	0.018	0.015	0.009	0.021	0.1540	44.8650	0.0034	3.4960	4.6613	7.5746	8.1573	2.6220	5.2440	4.3700	2.6220	6.1180	1.5700	0.8552	0.8986	0.8609	0.9839	1.2974	0.8597	1.6955	1.0287	0.8552	I	4.0879	5.4506	8.8572	9.5386	3.0660	6.1319	5.1099	3.0660	7.1539	52.4620	0.1448	0.8552
usda	foundation_food 2026-04	325430	Peaches, yellow, raw	gorissen_2018_human_muscle	90.5090	0.91	0.012	0.016	0.026	0.028	0.009	0.018	0.015		0.021	0.1450	31.8000	0.0046	2.6317	3.5090	5.7021	6.1407	1.9738	3.9476	3.2897		4.6055	0.9399	1.0320	0.9051	0.9304	1.1611	1.0388	1.1344		1.0711	0.9051	L	2.9077	3.8769	6.3000	6.7846	2.1808	4.3615	3.6346		5.0885	35.1346	0.0949	0.9051
usda	foundation_food 2026-04	325430	Peaches, yellow, raw	blood	72.2466	0.91	0.012	0.016	0.026	0.028	0.009	0.018	0.015	0.009	0.021	0.1540	50.1702	0.0031	3.9094	5.2125	8.4703	9.1218	2.9320	5.8640	4.8867	2.9320	6.8414	0.7225	2.2242	0.7490	1.1002	1.7911	0.9717	0.9689	1.5319	0.8356	0.7225	H	5.4111	7.2148	11.7241	12.6260	4.0584	8.1167	6.7639	4.0584	9.4695	69.4429	0.2775	0.7225
usda	foundation_food 2026-04	325430	Peaches, yellow, raw	skeletal_muscle_with_non_protein_metabolite_pools_and_blood	85.4114	0.91	0.012	0.016	0.026	0.028	0.009	0.018	0.015	0.009	0.021	0.1540	46.4218	0.0033	3.6173	4.8230	7.8374	8.4403	2.7130	5.4259	4.5216	2.7130	6.3302	1.0874	1.0468	0.8541	0.9240	1.1381	1.1890	0.8937	1.6537	0.9694	0.8541	L	4.2351	5.6468	9.1761	9.8820	3.1763	6.3527	5.2939	3.1763	7.4115	54.3508	0.1459	0.8541
usda	foundation_food 2026-04	326698	Mustard, prepared, yellow	skeletal_muscle_protein_with_non_protein_metabolite_pools	18.7429	4.25	0.13	0.16	0.32	0.29	0.083	0.177	0.183	0.01	0.207	1.5600	45.0572	0.0346	3.7548	4.6213	9.2425	8.3760	2.3973	5.1123	5.2856	0.2888	5.9787	1.4624	0.8508	1.1003	0.8871	0.9027	1.2692	1.0435	0.1874	1.0088	0.1874	W	20.0330	24.6560	49.3120	44.6890	12.7903	27.2757	28.2003	1.5410	31.8987	240.3960	0.8126	0.1874
usda	foundation_food 2026-04	326698	Mustard, prepared, yellow	skeletal_muscle_protein	18.5978	4.25	0.13	0.16	0.32	0.29	0.083	0.177	0.183	0.01	0.207	1.5600	44.8650	0.0348	3.7388	4.6015	9.2031	8.3403	2.3870	5.0905	5.2630	0.2876	5.9532	1.6791	0.8442	1.0918	0.8803	0.8957	1.2594	1.0354	0.1860	1.0010	0.1860	W	20.1032	24.7424	49.4848	44.8456	12.8351	27.3713	28.2991	1.5464	32.0105	241.2384	0.8140	0.1860
usda	foundation_food 2026-04	326698	Mustard, prepared, yellow	gorissen_2018_human_muscle	90.1466	4.25	0.13	0.16	0.32	0.29	0.083	0.177	0.183		0.207	1.5500	31.8000	0.0487	2.6671	3.2826	6.5652	5.9497	1.7028	3.6314	3.7545		4.2468	0.9525	0.9655	1.0421	0.9015	1.0017	0.9556	1.2946		0.9876	0.9015	K	2.9586	3.6414	7.2828	6.6000	1.8890	4.0283	4.1648		4.7110	35.2759	0.0985	0.9015
usda	foundation_food 2026-04	326698	Mustard, prepared, yellow	blood	16.8032	4.25	0.13	0.16	0.32	0.29	0.083	0.177	0.183	0.01	0.207	1.5600	50.1702	0.0311	4.1808	5.1457	10.2913	9.3265	2.6693	5.6924	5.8853	0.3216	6.6572	0.7726	2.1957	0.9101	1.1248	1.6306	0.9433	1.1669	0.1680	0.8131	0.1680	W	24.8813	30.6231	61.2462	55.5044	15.8857	33.8768	35.0252	1.9139	39.6186	298.5753	0.8320	0.1680
usda	foundation_food 2026-04	326698	Mustard, prepared, yellow	skeletal_muscle_with_non_protein_metabolite_pools_and_blood	18.1390	4.25	0.13	0.16	0.32	0.29	0.083	0.177	0.183	0.01	0.207	1.5600	46.4218	0.0336	3.8685	4.7612	9.5224	8.6297	2.4699	5.2671	5.4456	0.2976	6.1598	1.1629	1.0334	1.0377	0.9447	1.0361	1.1542	1.0763	0.1814	0.9433	0.1814	W	21.3269	26.2485	52.4970	47.5754	13.6164	29.0374	30.0217	1.6405	33.9590	255.9231	0.8186	0.1814
