# GENERATED by match.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T01:21:41Z
# Match Rate version = 1.0
# formula = M1 (D87), docs/formula.md 'Match Rate'; primary reference = skeletal_muscle_protein_with_non_protein_metabolite_pools
# input.config = config/match_rate.ini sha256 f1fe894b4ab9a9876bbb4b1fcbad73a45f4c6211ee9718d272dea6f658ca24bf
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.usda_foods = outputs/usda/amino_acids_per_food.tsv sha256 c99df4b9f16a1ee722461b25563658e2665aaa45acadc37a971f7f46d5b49579
# input.other_sources = config/food_amino_acids_other_sources.csv sha256 c75262d6098376c55d0f4bf38e176c5793357d28d24958ab394813c26ddb6696
# input.reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv sha256 550dece6515abc11e21096616e7446fdf4c836134beaf5b2bbba516136e90db7
# input.reference.skeletal_muscle_protein = outputs/standard/_calculated_amino_acid_standard.tsv sha256 a378ac611584c370ed4fdb18d705ab6e94f0d05943bc9b9b3dbe5fa4567a3b87
# input.reference.gorissen_2018_human_muscle = config/gorissen_2018_comparison.ini sha256 8fe77d578b408361750c0a2e67c2a657c5af42e934c3f731b09659908074a701
# input.scored_set.fao_2013_indispensable = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# reference.skeletal_muscle_protein_with_non_protein_metabolite_pools = skeletal muscle protein + non-protein metabolite pools (carnosine), fiber-type mix | outputs/standard/_calculated_amino_acid_standard_with_non_protein_metabolite_pools.tsv column standard_with_non_protein_metabolite_pools | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.5676, I 5.4316, L 8.4, K 9.4417, M 2.6557, F 4.0278, T 5.0653, W 1.541, V 5.9265
# reference.skeletal_muscle_protein = skeletal muscle protein (protein only), fiber-type mix | outputs/standard/_calculated_amino_acid_standard.tsv column standard | scored set fao_2013_indispensable (HILKMFTWV) | values: H 2.2267, I 5.4506, L 8.4293, K 9.4748, M 2.6649, F 4.0419, T 5.0831, W 1.5464, V 5.9473
# reference.gorissen_2018_human_muscle = Gorissen et al. 2018, Table 1, human muscle, g per 100 g raw material (the original Match Rate reference) | config/gorissen_2018_comparison.ini [values.human_muscle] | scored set gorissen_2018_essential (TMFHKVIL) | values: T 2.9, M 1.7, F 3.8, H 2.8, K 6.6, V 4.3, I 3.4, L 6.3
# every scored food under reference skeletal_muscle_protein, best first; ties by description
rank	source	source_detail	food_id	description	match_rate_percent	limiting_amino_acid	protein_g_per_100g
1	usda	sr_legacy_food 2018-04	174347	Game meat, rabbit, wild, raw	92.2050	W	21.79
2	usda	sr_legacy_food 2018-04	172521	Game meat, rabbit, domesticated, composite of cuts, raw	92.2045	V	20.05
3	usda	sr_legacy_food 2018-04	172522	Game meat, rabbit, domesticated, composite of cuts, cooked, roasted	92.2024	W	29.06
4	usda	sr_legacy_food 2018-04	174348	Game meat, rabbit, wild, cooked, stewed	92.1369	W	33.02
5	usda	sr_legacy_food 2018-04	174346	Game meat, rabbit, domesticated, composite of cuts, cooked, stewed	92.1070	W	30.38
6	usda	foundation_food 2026-04	333476	Fish, pollock, raw	91.7299	V	12.3
7	usda	sr_legacy_food 2018-04	175130	Fish, pollock, Alaska, raw (may contain additives to retain moisture)	91.7044	V	12.19
8	usda	sr_legacy_food 2018-04	174221	Mollusks, scallop, mixed species, cooked, breaded and fried	91.5566	K	18.07
9	usda	sr_legacy_food 2018-04	168045	Fish, salmon, sockeye (red), raw (Alaska Native)	91.0407	I	21.94
10	usda	sr_legacy_food 2018-04	174213	Mollusks, abalone, mixed species, cooked, fried	91.0034	V	19.63
11	usda	sr_legacy_food 2018-04	172408	Duck, domesticated, meat and skin, raw	90.9670	T	11.49
12	usda	sr_legacy_food 2018-04	173880	Sausage, chicken or turkey, Italian style,  lower sodium	90.4554	W	21.43
13	usda	sr_legacy_food 2018-04	172409	Duck, domesticated, meat and skin, cooked, roasted	90.2872	W	18.99
14	usda	sr_legacy_food 2018-04	174475	Squab, (pigeon), meat and skin, raw	90.1076	K	18.47
15	usda	sr_legacy_food 2018-04	172418	Quail, meat and skin, raw	90.0508	K	19.63
16	usda	sr_legacy_food 2018-04	174470	Goose, domesticated, meat and skin, raw	90.0108	V	15.86
17	usda	sr_legacy_food 2018-04	175172	Mollusks, oyster, eastern, farmed, raw	89.9969	W	5.22
18	usda	sr_legacy_food 2018-04	172412	Goose, domesticated, meat and skin, cooked, roasted	89.9701	V	25.16
19	usda	sr_legacy_food 2018-04	171982	Mollusks, squid, mixed species, cooked, fried	89.9545	W	17.94
20	usda	sr_legacy_food 2018-04	171974	Mollusks, clam, mixed species, cooked, breaded and fried	89.9007	K	14.24
21	usda	sr_legacy_food 2018-04	171966	Crustaceans, crab, blue, canned	89.6663	V	17.88
22	usda	sr_legacy_food 2018-04	174205	Crustaceans, crab, blue, cooked, moist heat	89.6663	V	17.88
23	usda	sr_legacy_food 2018-04	167642	Fish, salmon, red, canned, bones removed (Alaska Native)	89.6613	I	27.31
24	usda	sr_legacy_food 2018-04	168083	Restaurant, Chinese, chicken chow mein	89.4676	K	6.76
25	usda	sr_legacy_food 2018-04	174212	Mollusks, abalone, mixed species, raw	89.4414	W	17.1
