# GENERATED by aggregate.py. DO NOT EDIT BY HAND.
# generated = 2026-09-13T08:14:04Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 3274a7a94a20bf9607082bce02e0585df99ba749fc0325e4580fa104a9aa9e31
# input.composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.eaa = config/aggregation_decisions.ini sha256 8012a5e1d1bc92a04dc1d0ea2f0f49eca6d18c8580c25e687e4bb46c7c5a421c
# input.mhc_actin = outputs/mass_fractions/classical_check_carroll_2004.tsv sha256 8a71ea4931439e75cc4c29aa441aaa07b4cfaa19170a01f40b5c9245b8b7236c
# input.band_families = outputs/mass_fractions/band_families.tsv sha256 8e563e7736ce33dc60ab4c87411f51c46b8bd91627c225f3c11eb96dba4c7226
# input.family_bounds = outputs/mass_fractions/family_bounds.tsv sha256 a3fb14b864e67813727f36d8bbc03ebb5d2322bee90c05b268ec1ed1f334bb25
# input.isoform_deltas = outputs/isoform_deltas.tsv sha256 82447372ff27437c32aec6d040b3b49e95b4ff3e7105812ad1bf2eb67e9c918a
# input.processing_deltas = outputs/composition/processing_mass_deltas.tsv sha256 540dc1bda5d339720737aecec76b6037dc24c36675234288d11c1635db395b5f
# input.ptm_deltas = outputs/composition/ptm_mass_deltas.tsv sha256 62864538f5dcc0830b284d312e20e5b864b67d768adf39cb64dcdfac9714a74d
# input.outside_pool = outputs/mass_fractions/dataset_rows_outside_pool.tsv sha256 651ebbaeee358c4390c9e3716a661784aab7c83474efb3fd87e3998c9e7137d9
# A1: profile = molar mixture n_a = sum_i (w_i / MW_i) count_{i,a}; p_a = n_a m_a / sum (m = residue mass or free mass). A1c: fraction mixture sum_i w_i f_{i,a}, renormalised, written as a check.
# A2: combined = every weighted entry (D58); contractile = tier 1 (within-tier weights, D31).
# A7: the genes the primary dataset quantified that map to no pool entry, ranked by their median value per fiber type; molar_share = their share of all quantified signal if included;
# mass_share assumes each has the pool's molar-mean molecular weight (sum v*MW / sum v) — an assumption, stated, under which the mass share equals the molar share; bound_on_any_fraction = mass_share: a share of unknown composition can move no amino acid's fraction by more than itself
fiber_type	n_top_genes	scope	sum_v	molar_share_if_included	assumed_mw_g_per_mol	mass_share_if_included	bound_on_any_fraction
I	1	top	14066.83691	0.01117963684	59268.0	0.01117963684	0.01117963684
I	5	top	33860.1347	0.02649362137	59268.0	0.02649362137	0.02649362137
I	10	top	36104.66243	0.02820031031	59268.0	0.02820031031	0.02820031031
I	30	top	37379.93409	0.02916733528	59268.0	0.02916733528	0.02916733528
I	121	all	38231.71349	0.02981215926	59268.0	0.02981215926	0.02981215926
IIa	1	top	8921.34668	0.006866470066	63872.2	0.006866470066	0.006866470066
IIa	5	top	21527.94543	0.01641013297	63872.2	0.01641013297	0.01641013297
IIa	10	top	23835.79106	0.0181374298	63872.2	0.0181374298	0.0181374298
IIa	30	top	25120.461	0.01909630946	63872.2	0.01909630946	0.01909630946
IIa	121	all	25979.76952	0.01973665402	63872.2	0.01973665402	0.01973665402
IIx	1	top	10262.64844	0.00758053908	62695.3	0.00758053908	0.00758053908
IIx	5	top	24973.11299	0.01824818859	62695.3	0.01824818859	0.01824818859
IIx	10	top	29449.65549	0.02144909674	62695.3	0.02144909674	0.02144909674
IIx	30	top	31553.8415	0.02294647414	62695.3	0.02294647414	0.02294647414
IIx	121	all	32640.41892	0.02371790982	62695.3	0.02371790982	0.02371790982
