# GENERATED by aggregate.py. DO NOT EDIT BY HAND.
# generated = 2026-09-18T07:19:18Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 b749cc5e5bf629c1915129358361efc1aa878172745f26c4d0096727ae111265
# input.composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.eaa = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# input.fiber_type_mix = config/fiber_type_mix.ini sha256 522504713b45103d7110b7d14f03f9b6196f9b5b18707d262c4865cc2f74d4f8
# input.mhc_actin = outputs/intermediate/mass_fractions/classical_check_carroll_2004.tsv sha256 0b6e602857ecf49118ffadbcc8313d82395ef641f6d5042e6fa643fd1671071d
# input.band_families = outputs/intermediate/mass_fractions/band_families.tsv sha256 3c1644b6d60ae279cc9a8b196e23f7ee6b9911a2171b5bac85d4241e4d3097c6
# input.family_bounds = outputs/intermediate/mass_fractions/family_bounds.tsv sha256 26f0ac9d71d55f1173ea09d018ca0eb9f0503e51649951fc65d2ca09491b1cbc
# input.isoform_deltas = outputs/intermediate/protein_set/isoform_deltas.tsv sha256 82447372ff27437c32aec6d040b3b49e95b4ff3e7105812ad1bf2eb67e9c918a
# input.processing_deltas = outputs/intermediate/composition/processing_mass_deltas.tsv sha256 540dc1bda5d339720737aecec76b6037dc24c36675234288d11c1635db395b5f
# input.ptm_deltas = outputs/intermediate/composition/ptm_mass_deltas.tsv sha256 62864538f5dcc0830b284d312e20e5b864b67d768adf39cb64dcdfac9714a74d
# input.outside_pool = outputs/intermediate/mass_fractions/dataset_rows_outside_pool.tsv sha256 185af20197f6f86a894be30e12aafba5dea96b4ebf6d68178a44b6bb5ef7a876
# A1: profile = molar mixture n_a = sum_i (w_i / MW_i) count_{i,a}; p_a = n_a m_a / sum (m = residue mass or free mass). A1c: fraction mixture sum_i w_i f_{i,a}, renormalised, written as a check.
# A2: total = every weighted entry under one denominator (D58); contractile and builders = the two tiers under their within-tier weights (D31); tiers are named, never numbered (D66).
# D62: headings and groupings as transcribed by the author from the FAO 2013 report (Table 5, p. 29); as_reported: His Ile Leu Lys SAA AAA Thr Trp Val
# mg_free_amino_acid_per_g_protein: free amino acid mass per gram of protein (residue-mass basis) — the unit of the report's scoring patterns; fraction_of_free_mass: share of the free-convention profile
profile	fiber_type	heading	kind	letters	mg_free_amino_acid_per_g_protein	fraction_of_free_mass
total	I	His	single	H	25.59	0.02206207585
total	I	Ile	single	I	62.79	0.05413022461
total	I	Leu	single	L	98.39	0.08482530556
total	I	Lys	single	K	108.85	0.09383887786
total	I	SAA	group	M;C	45.35	0.03909450894
total	I	AAA	group	F;Y	92.09	0.07939120986
total	I	Thr	single	T	59.03	0.0508869861
total	I	Trp	single	W	17.99	0.0155067887
total	I	Val	single	V	69.08	0.05955714406
total	I	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	579.16	0.4992931215
total	IIa	His	single	H	26.10	0.02250044706
total	IIa	Ile	single	I	63.81	0.05500526134
total	IIa	Leu	single	L	97.22	0.0838063564
total	IIa	Lys	single	K	111.28	0.09593062753
total	IIa	SAA	group	M;C	44.06	0.0379827912
total	IIa	AAA	group	F;Y	90.43	0.07795534825
total	IIa	Thr	single	T	59.01	0.05086811335
total	IIa	Trp	single	W	17.78	0.01532419219
total	IIa	Val	single	V	68.68	0.05920935286
total	IIa	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	578.36	0.4985824902
total	IIx	His	single	H	25.86	0.02229298355
total	IIx	Ile	single	I	63.00	0.05430526938
total	IIx	Leu	single	L	97.20	0.08379165614
total	IIx	Lys	single	K	109.45	0.09434982258
total	IIx	SAA	group	M;C	44.53	0.03838581085
total	IIx	AAA	group	F;Y	90.97	0.07841843801
total	IIx	Thr	single	T	58.54	0.05046033087
total	IIx	Trp	single	W	18.31	0.01578064484
total	IIx	Val	single	V	69.67	0.06005779729
total	IIx	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	577.51	0.4978427535
contractile	I	His	single	H	23.53	0.02029782099
contractile	I	Ile	single	I	61.95	0.0534457187
contractile	I	Leu	single	L	94.16	0.08123911525
contractile	I	Lys	single	K	115.20	0.09939225688
contractile	I	SAA	group	M;C	44.13	0.03807669049
contractile	I	AAA	group	F;Y	87.57	0.07555161738
contractile	I	Thr	single	T	59.07	0.05096461457
contractile	I	Trp	single	W	17.24	0.01487563916
contractile	I	Val	single	V	66.50	0.05737649131
contractile	I	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	569.37	0.4912199647
contractile	IIa	His	single	H	23.99	0.02069320229
contractile	IIa	Ile	single	I	63.64	0.05489484222
contractile	IIa	Leu	single	L	94.60	0.08159573244
contractile	IIa	Lys	single	K	115.58	0.09969846586
contractile	IIa	SAA	group	M;C	42.48	0.03663917778
contractile	IIa	AAA	group	F;Y	85.68	0.07390424586
contractile	IIa	Thr	single	T	59.36	0.0512001431
contractile	IIa	Trp	single	W	17.13	0.01477171672
contractile	IIa	Val	single	V	66.45	0.05731782484
contractile	IIa	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	568.89	0.4907153511
contractile	IIx	His	single	H	23.69	0.02043615267
