# GENERATED by non_protein_metabolite_pools.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T05:33:59Z
# input.pools = config/non_protein_metabolite_pools.ini sha256 834e0a4227e06cfc557dc8a8637ae1c28b081d6d8728fedee0baf098a19a3e86
# input.g100_free = outputs/standard/amino_acid_g_per_100g_protein_free.tsv sha256 159cb9f404fb9c10d6fce4caecf8d60f8619c3e79a7162c45cae8462d2be0c45
# input.standard = outputs/standard/_calculated_amino_acid_standard.tsv sha256 deaa307b88a9112e92e6b4b2dc78c8bd149e8ea2c473d55305581a4dce2136fc
# input.fiber_type_mix = config/fiber_type_mix.ini sha256 522504713b45103d7110b7d14f03f9b6196f9b5b18707d262c4865cc2f74d4f8
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.manifest = data/literature/manifest.ini sections [file.baguet_2009.file.1, file.harris_1998.file.1, file.mingrone_2001.file.1, file.yamaguchi_2021.file.1] sha256 0f000f07e96de1e60f406cecc120039bc3bfc7f4f9c4d8ae5d8c56a1f2450ccb
# version label: ref = skeletal muscle protein + non-protein metabolite pools (carnosine) (D73, D74, D75, D76, D77, D78, D79, D82)
# green light: baguet_2009 -> hashed file in manifest (turnover.carnosine.baguet_2009)
# green light: harris_1998 -> hashed file in manifest (carnosine.single_fiber.type_I, carnosine.single_fiber.type_II)
# green light: mingrone_2001 -> hashed file in manifest (protein_content, water_content)
# green light: yamaguchi_2021 -> hashed file in manifest (turnover.carnosine.yamaguchi_2021)
# A10: on the pool's mass basis, F_a = P x g100_a / 100 = free mass of amino acid a from protein per kg muscle; C = c x n x m / 1000 = mass of the pool's amino acid per kg; that amino acid becomes F + C, every other stays F, all renormalised to 100. Contractile and builders are protein-only by definition and copied; the final column mixes the adjusted totals by the fiber-type shares.
# D62 headings as transcribed from FAO 2013 (Table 5, p. 29); share of the free-convention profile, protein-only and with the pool folded in; no mg-per-g-protein column here because the adjusted profile is per kg muscle, not per g protein
column	heading	kind	letters	fraction_protein_only	fraction_with_non_protein_metabolite_pools	difference
total_I	His	single	H	0.02206200569	0.02415754192	0.002095536223
total_I	Ile	single	I	0.05413040817	0.05401441694	-0.0001159912303
total_I	Leu	single	L	0.08482548506	0.08464372008	-0.0001817649765
total_I	Lys	single	K	0.09383874244	0.09363766375	-0.0002010786829
total_I	SAA	group	M;C	0.03909451894	0.03901074678	-8.377216248e-05
total_I	AAA	group	F;Y	0.07939166763	0.0792215463	-0.0001701213331
total_I	Thr	single	T	0.05088718729	0.05077814567	-0.0001090416211
total_I	Trp	single	W	0.01550659593	0.01547336823	-3.322770324e-05
total_I	Val	single	V	0.0595573288	0.0594297087	-0.0001276200951
total_I	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	0.49929394	0.5003668584	0.001072918418
total_IIa	His	single	H	0.02250070689	0.02711660506	0.004615898169
total_IIa	Ile	single	I	0.05500565513	0.05474591019	-0.0002597449477
total_IIa	Leu	single	L	0.08380631858	0.08341057258	-0.0003957459971
total_IIa	Lys	single	K	0.09593037289	0.0954773753	-0.0004529975987
total_IIa	SAA	group	M;C	0.03798335874	0.03780399562	-0.0001793631129
total_IIa	AAA	group	F;Y	0.07795549686	0.07758737932	-0.00036811754
total_IIa	Thr	single	T	0.05086775264	0.05062754748	-0.0002402051519
total_IIa	Trp	single	W	0.01532403225	0.01525166987	-7.236237702e-05
total_IIa	Val	single	V	0.05920907442	0.0589294803	-0.0002795941236
total_IIa	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	0.4985827684	0.5009505357	0.002367767319
total_IIx	His	single	H	0.02229333131	0.02691010971	0.004616778398
total_IIx	Ile	single	I	0.05430535166	0.05404891915	-0.0002564325093
total_IIx	Leu	single	L	0.08379158179	0.08339591387	-0.0003956679208
total_IIx	Lys	single	K	0.09434990211	0.09390437729	-0.0004455248224
total_IIx	SAA	group	M;C	0.03838597695	0.0382047165	-0.0001812604484
total_IIx	AAA	group	F;Y	0.07841845879	0.07804816301	-0.0003702957729
total_IIx	Thr	single	T	0.05046063345	0.05022235588	-0.0002382775631
total_IIx	Trp	single	W	0.01578058555	0.01570606886	-7.451669179e-05
total_IIx	Val	single	V	0.06005777422	0.05977417849	-0.0002835957282
total_IIx	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	0.4978435958	0.5002148028	0.002371206941
standard	His	single	H	0.022267	0.02567567334	0.003408673344
standard	Ile	single	I	0.054506	0.05431606794	-0.0001899320574
standard	Leu	single	L	0.084293	0.08399957914	-0.0002934208584
standard	Lys	single	K	0.094748	0.09441683169	-0.0003311683052
standard	SAA	group	M;C	0.038561	0.03842771161	-0.0001332883942
standard	AAA	group	F;Y	0.078696	0.07842267464	-0.000273325358
standard	Thr	single	T	0.050831	0.05065349217	-0.0001775078254
standard	Trp	single	W	0.015464	0.01540966487	-5.43351325e-05
standard	Val	single	V	0.059473	0.0592653853	-0.0002076147018
standard	sum_of_headings	sum	C;F;H;I;K;L;M;T;V;W;Y	0.498839	0.5005870807	0.001748080711
