# GENERATED by uncertainty.py. DO NOT EDIT BY HAND.
# generated = 2026-09-17T15:58:30Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 10ce73fbdaef5bec4f693b10d85844f9a7c6f79cc3fc11f018656cb1039595be
# input.composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.settings = config/uncertainty_settings.ini sha256 4a31125eb8b11bf2791bfa97e77f448e05f49e1d625c995804e27539b2d2e0a9
# input.profiles = outputs/standard/amino_acid_profiles.tsv sha256 b5795b99994da892f7713e089a48bc128c40612acbd100147bf2020a506a0c67
# input.mhc_actin = outputs/standard/sensitivity_mhc_actin_spread.tsv sha256 cba0a06f95eee2b57fc9f29dfc6dffcaa6725c10afc0f75f9f2aeda73fb2e324
# input.bounds = outputs/standard/bounds_after_weighting.tsv sha256 4ecef650a8677ba4e97130d31b5b5bceefa10b93b5ea27e697fba5fe577f3702
# input.completeness = outputs/standard/completeness_sensitivity.tsv sha256 7604fff5d7534c88f3ae6fc7bc803a77261176f83a18303c1e479901a63c2f8d
# A3: Monte Carlo in log space, 10000 draws, seed 20260913, independent per entry, the whole profile recomputed per draw (D63).
# Assumption: the between-fiber distribution of each entry's value is log-normal, fitted exactly to the published median and SD.
# between_fiber_spread = a random pure fiber of the type (the D45 reading), NOT the uncertainty of the standard;
# median_uncertainty = the sampling uncertainty of the fiber type's median profile from n fibers (sigma/sqrt(n) in log space): the interval to state beside the standard.
# The dataset's anchor protein has SD 0 by construction; its fiber-to-fiber variation is inside every other entry's SD.
# per entry and fiber type with a value: the published median m and SD s, s/m, the fitted log-normal sigma, n = valid values;
# spread_factor = e^sigma (one-sigma multiplicative spread between fibers); median_factor = e^(sigma/sqrt(n)) (one-sigma multiplicative uncertainty of the median)
accession	gene	tier	fiber_type	median	sd	sd_over_median	sigma_log	n_valid	spread_factor	median_factor	w_combined
A0A075B6S2	IGKV2D-29	2	I	6.362358809	0	0	0	0	1	1	9.485038916e-07
A0A075B6S2	IGKV2D-29	2	IIa	18.36116982	0	0	0	0	1	1	2.449123862e-06
A0A075B6S2	IGKV2D-29	2	IIx	11.2732029	0	0	0	0	1	1	1.471245277e-06
A0A096LP55	UQCRHL	2	I	824.4960327	0	0	0	0	1	1	0.0001035249144
A0A096LP55	UQCRHL	2	IIa	640.0879517	0	0	0	0	1	1	7.190935698e-05
A0A096LP55	UQCRHL	2	IIx	331.6764526	0	0	0	0	1	1	3.645757252e-05
A0A0A0MRZ7	IGKV2D-26	2	I	6.362358809	0	0	0	0	1	1	9.630024458e-07
A0A0A0MRZ7	IGKV2D-26	2	IIa	18.36116982	0	0	0	0	1	1	2.486560456e-06
A0A0A0MRZ7	IGKV2D-26	2	IIx	11.2732029	0	0	0	0	1	1	1.493734304e-06
A0A0B4J1X5	IGHV3-74	2	IIa	4.343203545	0	0	0	0	1	1	5.647559929e-07
A0A0C4DH42	IGHV3-66	2	IIa	4.343203545	0	0	0	0	1	1	5.573205795e-07
A0A8I5KQE6	RPSA2	2	I	145.9352417	0	0	0	0	1	1	6.486761849e-05
A0A8I5KQE6	RPSA2	2	IIa	128.1670341	0	0	0	0	1	1	5.09722201e-05
A0A8I5KQE6	RPSA2	2	IIx	180.6101532	0	0	0	0	1	1	7.027918749e-05
A0AVT1	UBA6	2	I	3.156462669	14.06956271	4.457382895	1.267478332	7	3.551884588	1.61455888	5.04963271e-06
A0AVT1	UBA6	2	IIa	6.73939538	10.68518716	1.585481569	0.8782046912	20	2.40657528	1.216980193	9.646494298e-06
A0AVT1	UBA6	2	IIx	2.612887859	2.182752152	0.8353791934	0.6226515452	9	1.863863614	1.230659882	3.659288938e-06
A0FGR8	ESYT2	2	I	2.75772047	10.70323232	3.881188263	1.218447447	13	3.381933025	1.402051497	3.827866094e-06
A0FGR8	ESYT2	2	IIa	5.265828133	3.554658108	0.6750425609	0.5410233277	23	1.717763798	1.119420524	6.539772149e-06
