# GENERATED by aggregate.py. DO NOT EDIT BY HAND.
# generated = 2026-09-19T21:15:38Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 99bdd53442cb2d12888043e198b6e88884b4650e1f99ee7c291d933f210fb4fc
# input.composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.eaa = config/fao_2013_indispensable_amino_acids.ini sha256 ab2eccf9d1dbc559e0fa37a8d214b388ed65e04a062c85d2a7167d1b8e113644
# input.fiber_type_mix = config/fiber_type_mix.ini sha256 522504713b45103d7110b7d14f03f9b6196f9b5b18707d262c4865cc2f74d4f8
# input.mhc_actin = outputs/intermediate/mass_fractions/classical_check_carroll_2004.tsv sha256 9355fb8006f4f0d6c73268862ee2d6bc61d7f2730c6c219109735b5c272d9126
# input.band_families = outputs/intermediate/mass_fractions/band_families.tsv sha256 e73a183710c2889f8e8e479d9f986abdf1fde90ede5a6fc9c4529e59467583c5
# input.family_bounds = outputs/intermediate/mass_fractions/family_bounds.tsv sha256 be819de73655758cbc7f7f69cc3e2f051f44178cd252c88f5f23d4972cdeb915
# input.isoform_deltas = outputs/intermediate/protein_set/isoform_deltas.tsv sha256 82447372ff27437c32aec6d040b3b49e95b4ff3e7105812ad1bf2eb67e9c918a
# input.processing_deltas = outputs/intermediate/composition/processing_mass_deltas.tsv sha256 540dc1bda5d339720737aecec76b6037dc24c36675234288d11c1635db395b5f
# input.ptm_deltas = outputs/intermediate/composition/ptm_mass_deltas.tsv sha256 331d162b76449c05a1eaa0294be95c946d6a0b913ec8797eaa9ae6e7710a27ba
# input.outside_pool = outputs/intermediate/mass_fractions/dataset_rows_outside_pool.tsv sha256 924ee0471eaab0ac076fac1eef4db1c9de3be1c2e437fcac29ff4e6d02f3c4e9
# A1: profile = molar mixture n_a = sum_i (w_i / MW_i) count_{i,a}; p_a = n_a m_a / sum (m = residue mass or free mass). A1c: fraction mixture sum_i w_i f_{i,a}, renormalised, written as a check.
# A2: total = every weighted entry under one denominator (D58); contractile and builders = the two tiers under their within-tier weights (D31); tiers are named, never numbered (D66).
# A7: the genes the primary dataset quantified that map to no pool entry, ranked by their median value per fiber type; molar_share = their share of all quantified signal if included;
# mass_share assumes each has the pool's molar-mean molecular weight (sum v*MW / sum v) — an assumption, stated, under which the mass share equals the molar share; bound_on_any_fraction = mass_share: a share of unknown composition can move no amino acid's fraction by more than itself
fiber_type	n_top_genes	scope	sum_v	molar_share_if_included	assumed_mw_g_per_mol	mass_share_if_included	bound_on_any_fraction
I	1	top	14066.83691	0.01117963684	59268.0	0.01117963684	0.01117963684
I	5	top	33860.1347	0.02649362137	59268.0	0.02649362137	0.02649362137
I	10	top	36104.66243	0.02820031031	59268.0	0.02820031031	0.02820031031
I	30	top	37379.93409	0.02916733528	59268.0	0.02916733528	0.02916733528
I	121	all	38231.71349	0.02981215926	59268.0	0.02981215926	0.02981215926
IIa	1	top	8921.34668	0.006866470066	63872.2	0.006866470066	0.006866470066
IIa	5	top	21527.94543	0.01641013297	63872.2	0.01641013297	0.01641013297
IIa	10	top	23835.79106	0.0181374298	63872.2	0.0181374298	0.0181374298
IIa	30	top	25120.461	0.01909630946	63872.2	0.01909630946	0.01909630946
IIa	121	all	25979.76952	0.01973665402	63872.2	0.01973665402	0.01973665402
IIx	1	top	10262.64844	0.00758053908	62695.3	0.00758053908	0.00758053908
IIx	5	top	24973.11299	0.01824818859	62695.3	0.01824818859	0.01824818859
IIx	10	top	29449.65549	0.02144909674	62695.3	0.02144909674	0.02144909674
IIx	30	top	31553.8415	0.02294647414	62695.3	0.02294647414	0.02294647414
IIx	121	all	32640.41892	0.02371790982	62695.3	0.02371790982	0.02371790982
