# GENERATED by usda.py. DO NOT EDIT BY HAND.
# generated = 2026-09-18T05:11:46Z
# input.usda_config = config/usda_food_data.ini sha256 e0b9497fed9ca76be94d0c947ef3ee1bc64c56bfd1e30788f02b57c16705281d
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# archive.foundation_food = FoodData_Central_foundation_food_csv_2026-04-30.zip sha256 70457ee9d9342f43bda2010318c85f04210c689fdeb9cd2da4c513b0e8dbc655 (FoodData Central, Foundation Foods, April 2026 release, release 2026-04, obtained manual, 3825741 bytes)
# archive.sr_legacy_food = FoodData_Central_sr_legacy_food_csv_2018-04.zip sha256 b80817294b8850530aaedf2e515c02593b1824f763a0ff356e5c2081643e6fd0 (FoodData Central, SR Legacy, April 2018 release (final), release 2018-04, obtained manual, 6074592 bytes)
# USDA FoodData Central, one row per food: the amino acids the archive reports, in grams per 100 g of FOOD (not per 100 g protein), as published. Nothing converted, scaled or filled in (U4).
# U5: USDA reports no asparagine (N) and no glutamine (Q) — acid hydrolysis converts them — so no food carries all twenty; amino_acids_absent lists the letters this food does not carry. Which amino acids a score requires is the match step's decision.
# U6: a food measured in two archives appears twice, with its data_type named; no food is dropped or preferred here. cystine and cysteine: USDA reports one or the other per food, never both; whether a cystine value converts to cysteine is an open decision (see config/usda_food_data.ini).
# min_data_points: the smallest sample count USDA gives among this food's amino acid rows, where it gives any.
fdc_id	data_type	release	description	food_category	publication_date	protein_g_per_100g	nitrogen_g_per_100g	A_g_per_100g	C_g_per_100g	D_g_per_100g	E_g_per_100g	F_g_per_100g	G_g_per_100g	H_g_per_100g	I_g_per_100g	K_g_per_100g	L_g_per_100g	M_g_per_100g	N_g_per_100g	P_g_per_100g	Q_g_per_100g	R_g_per_100g	S_g_per_100g	T_g_per_100g	V_g_per_100g	W_g_per_100g	Y_g_per_100g	cystine_g_per_100g	hydroxyproline_g_per_100g	amino_acids_present	amino_acids_absent	min_data_points
325430	foundation_food	2026-04	Peaches, yellow, raw	Fruits and Fruit Juices	2019-04-01	0.91	0.15	0.027		0.415	0.054	0.018	0.02	0.012	0.016	0.028	0.026	0.009		0.017		0.017	0.031	0.015	0.021	0.009	0.014	0.011		17	CNQ	2
326698	foundation_food	2026-04	Mustard, prepared, yellow	Spices and Herbs	2019-04-01	4.25	0.68	0.18		0.427	0.793	0.177	0.25	0.13	0.16	0.29	0.32	0.083		0.393		0.277	0.223	0.183	0.207	0.01	0.147	0.08	0.0	17	CNQ	3
327046	foundation_food	2026-04	Kiwifruit, green, raw	Fruits and Fruit Juices	2019-04-01	1.06	0.17	0.048		0.113	0.165	0.039	0.054	0.024	0.046	0.055	0.059	0.022		0.04		0.073	0.047	0.043	0.052	0.013	0.03	0.028		17	CNQ	4
327357	foundation_food	2026-04	Nectarines, raw	Fruits and Fruit Juices	2019-04-01	1.06	0.17	0.015		0.566	0.032	0.01	0.01	0.008	0.008	0.015	0.013	0.005		0.009		0.008	0.016	0.008	0.012	0.005	0.006	0.005		17	CNQ	4
330137	foundation_food	2026-04	Yogurt, Greek, plain, nonfat	Dairy and Egg Products	2019-04-01	10.3	1.61	0.35		0.737	2.19	0.513	0.19	0.293	0.527	0.833	1.03	0.293		1.17		0.363	0.533	0.41	0.667	0.133	0.51	0.083	0.0	17	CNQ	3
333476	foundation_food	2026-04	Fish, pollock, raw	Finfish and Shellfish Products	2019-04-01	12.3	1.97	0.75		1.31	2.08	0.51	0.59	0.28	0.62	1.21	1.06	0.4		0.5		0.93	0.54	0.58	0.67	0.18	0.49	0.14		17	CNQ	1
334628	foundation_food	2026-04	Restaurant, Latino, tamale, pork	Restaurant Foods	2019-04-01	7.38	1.18	0.35		0.555	1.03	0.235	0.275	0.175	0.245	0.44	0.5	0.165		0.3		0.355	0.245	0.25	0.28	0.06	0.17	0.075		17	CNQ	2
334720	foundation_food	2026-04	Restaurant, Latino, pupusas con frijoles (pupusas, bean)	Restaurant Foods	2019-04-01	5.59	0.9	0.3		0.563	1.0	0.3	0.217	0.17	0.227	0.303	0.543	0.103		0.31		0.303	0.32	0.22	0.267	0.057	0.143	0.08		17	CNQ	3
746764	foundation_food	2026-04	Carrots, frozen, unprepared	Vegetables and Vegetable Products	2019-12-16	0.81	0.13	0.075		0.112	0.196	0.042	0.031	0.03	0.052	0.075	0.066	0.015		0.034		0.06	0.033	0.127	0.047	0.007	0.031	0.048		17	CNQ	5
746765	foundation_food	2026-04	Cheese, dry white, queso seco	Dairy and Egg Products	2019-12-16	24.5	3.84	0.75		1.82	5.32	1.17	0.435	0.675	1.16	1.96	2.29	0.535		2.38		0.91	1.37	0.95	1.48	0.31	1.27	0.15		17	CNQ	2
746766	foundation_food	2026-04	Cheese, ricotta, whole milk	Dairy and Egg Products	2019-12-16	7.81	1.22	0.325	0.18	0.735	1.3	0.27	0.135	0.175	0.365	0.655	0.785	0.17		0.565		0.21	0.365	0.395	0.325	0.115	0.25		0.0	18	NQ	2
746768	foundation_food	2026-04	Figs, dried, uncooked	Fruits and Fruit Juices	2019-12-16	3.3	0.53	0.123		0.618	0.271	0.069	0.098	0.034	0.082	0.081	0.116	0.031		0.556		0.07	0.119	0.078	0.113	0.019	0.037	0.033		17	CNQ	3
746769	foundation_food	2026-04	Lettuce, cos or romaine, raw	Vegetables and Vegetable Products	2019-12-16	1.24	0.2	0.056		0.14	0.179	0.066	0.049	0.021	0.045	0.064	0.076	0.014		0.045		0.054	0.05	0.044	0.055	0.011	0.024	0.006		17	CNQ	4
746770	foundation_food	2026-04	Melons, cantaloupe, raw	Fruits and Fruit Juices	2019-12-16	0.82	0.13	0.077		0.113	0.174	0.019	0.021	0.012	0.017	0.024	0.024	0.01		0.016		0.024	0.034	0.014	0.027	0.002	0.012	0.002		17	CNQ	2
746771	foundation_food	2026-04	Oranges, raw, navels	Fruits and Fruit Juices	2019-12-16	0.91	0.14	0.028		0.12	0.242	0.051	0.02	0.011	0.014	0.032	0.025	0.007		0.153		0.099	0.032	0.016	0.022	0.008	0.011	0.009		17	CNQ	3
746772	foundation_food	2026-04	Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D	Dairy and Egg Products	2019-12-16	3.38	0.53	0.111	0.036	0.286	0.809	0.168	0.069	0.099	0.174	0.308	0.342	0.092		0.349		0.128	0.194	0.158	0.21	0.045	0.167		0.0	18	NQ	12
746773	foundation_food	2026-04	Pears, raw, bartlett	Fruits and Fruit Juices	2019-12-16	0.38	0.06	0.016		0.104	0.036	0.013	0.015	0.002	0.014	0.021	0.023	0.002		0.017		0.012	0.016	0.013	0.019	0.002	0.002	0.002		17	CNQ	2
746774	foundation_food	2026-04	Restaurant, Chinese, sweet and sour pork	Restaurant Foods	2019-12-16	8.88	1.42	0.473		0.767	1.87	0.343	0.4	0.287	0.377	0.663	0.707	0.207		0.447		0.54	0.38	0.373	0.41	0.102	0.253	0.11		17	CNQ	3
746776	foundation_food	2026-04	Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)	Dairy and Egg Products	2019-12-16	3.43	0.54	0.118	0.038	0.299	0.832	0.168	0.071	0.101	0.182	0.302	0.347	0.093		0.348		0.131	0.202	0.166	0.222	0.048	0.168		0.0	18	NQ	12
