accession	gene	tier	non_standard_letters	length	uniprot_mol_weight_da	protein_name
O60613	SELENOF	erythrocytes	U	165	18092	Selenoprotein F
P07203	GPX1	erythrocytes	U	203	22088	Glutathione peroxidase 1
P22352	GPX3	plasma	U	226	25552	Glutathione peroxidase 3
P36969	GPX4	erythrocytes	U	197	22175	Phospholipid hydroperoxide glutathione peroxidase GPX4
P49908	SELENOP	plasma	U	381	43174	Selenoprotein P
P62341	SELENOT	erythrocytes	U	195	22324	Thioredoxin reductase-like selenoprotein T
Q16881	TXNRD1	erythrocytes	U	649	70906	Thioredoxin reductase 1, cytoplasmic
Q9BVL4	SELENOO	erythrocytes	U	669	73489	Protein adenylyltransferase SelO, mitochondrial
Q9C0D9	SELENOI	erythrocytes	U	397	45229	Ethanolaminephosphotransferase 1
