term_id	depth	relation_to_parent	parent_id	name	namespace	definition	obsolete
GO:0016528	0			sarcoplasm	cellular_component	"The cytoplasm of a muscle cell; includes the sarcoplasmic reticulum." [ISBN:0198547684]	false
GO:0016529	1	part_of	GO:0016528	sarcoplasmic reticulum	cellular_component	"A fine reticular network of membrane-limited elements that pervades the sarcoplasm of a muscle cell; continuous over large portions of the cell and with the nuclear envelope; that part of the endoplasmic reticulum specialized for calcium release, uptake and storage." [GOC:mtg_muscle, ISBN:0124325653, ISBN:0198547684]	false
GO:0030314	1	part_of	GO:0016528	junctional membrane complex	cellular_component	"Complex formed in muscle cells between the membrane of the sarcoplasmic reticulum and invaginations of the plasma membrane (T-tubules)." [PMID:11535622]	false
GO:0014801	2	part_of	GO:0016529	longitudinal sarcoplasmic reticulum	cellular_component	"The portion of the free sarcoplasmic reticulum consisting of longitudinal tubules that connect terminal cisternae." [GOC:mtg_muscle]	false
GO:0014802	2	part_of	GO:0016529	terminal cisterna	cellular_component	"The portion of sarcoplasmic reticulum devoted to calcium ion storage and calcium ion release." [GOC:mtg_muscle]	false
GO:0033017	2	part_of	GO:0016529	sarcoplasmic reticulum membrane	cellular_component	"The lipid bilayer surrounding the sarcoplasmic reticulum." [GOC:rph]	false
GO:0033018	2	part_of	GO:0016529	sarcoplasmic reticulum lumen	cellular_component	"The volume enclosed by the membranes of the sarcoplasmic reticulum." [GOC:rph]	false
GO:0014803	3	part_of	GO:0014801	longitudinal sarcoplasmic reticulum lumen	cellular_component	"The region between the inner and outer lipid bilayers of the longitudinal sarcoplasmic reticulum envelope. The longitudinal sarcoplasmic reticulum lumen is continuous with the lumen contained within the terminal cisternae." [GOC:mtg_muscle]	false
GO:0014804	3	part_of	GO:0014802	terminal cisterna lumen	cellular_component	"The region between the inner and outer lipid bilayers of the terminal cisterna envelope. This space is enriched in calsequestrin." [GOC:mtg_muscle]	false
GO:0014701	3	is_a	GO:0033017	junctional sarcoplasmic reticulum membrane	cellular_component	"The part of the sarcoplasmic reticulum membrane that contains calcium release channels, is devoted to calcium release and is juxtaposed to transverse tubule membrane. The junctional sarcoplasmic reticulum membrane consists of the junctional region of the terminal cisterna membrane." [GOC:mtg_muscle]	false
GO:0014702	3	is_a	GO:0033017	free sarcoplasmic reticulum membrane	cellular_component	"The part of the sarcoplasmic reticulum membrane that contains calcium pumps and is devoted to calcium uptake. The free sarcoplasmic reticulum membrane consists of the longitudinal sarcoplasmic reticulum membrane and the non-junctional region of the terminal cisterna membrane." [GOC:mtg_muscle]	false
GO:1990425	3	part_of	GO:0033017	ryanodine receptor complex	cellular_component	"A voltage-gated calcium-release channel complex of the sarcoplasmic or endoplasmic reticulum. It plays an important role in the excitation-contraction (E-C) coupling of muscle cells. RyR comprises a family of ryanodine receptors, widely expressed throughout the animal kingdom." [GOC:ame, PMID:22822064]	false
GO:1990629	3	part_of	GO:0033017	phospholamban complex	cellular_component	"A protein complex found as a homopentamer of the phospholamban (PLN) protein in the sarcoplasmic reticulum (SR) membrane of cardiomyocytes. Cardiac PLN is a main determinant of muscle contraction and relaxation, by regulating intracellular calcium levels." [GOC:ame, PMID:16043693]	false
