accession	gene	tier	n_chain_features	chain_features_as_recorded	master_ranges_resolved	length
A0M8Q6	IGLC7	plasma	1	PRO_0000393470 1(OUTSIDE)-106	1-106	106
O00533	CHL1	plasma	2	PRO_0000247896 25-1208; PRO_0000314777 25-(UNKNOWN)	25-1208	1208
O00763	ACACB	erythrocytes	1	PRO_0000146767 (UNKNOWN)-2458	1-2458	2458
P01834	IGKC	erythrocytes;plasma	1	PRO_0000153596 1(OUTSIDE)-107	1-107	107
P01857	IGHG1	erythrocytes;plasma	1	PRO_0000153578 1(OUTSIDE)-399	1-399	399
P01859	IGHG2	erythrocytes;plasma	1	PRO_0000153579 1(OUTSIDE)-395	1-395	395
P01860	IGHG3	plasma	1	PRO_0000153580 1(OUTSIDE)-446	1-446	446
P01861	IGHG4	plasma	1	PRO_0000153581 1(OUTSIDE)-396	1-396	396
P01871	IGHM	erythrocytes;plasma	1	PRO_0000153619 1(OUTSIDE)-474	1-474	474
P01876	IGHA1	erythrocytes;plasma	1	PRO_0000153566 1(OUTSIDE)-398	1-398	398
P01877	IGHA2	plasma	1	PRO_0000153567 1(OUTSIDE)-391	1-391	391
P01880	IGHD	plasma	1	PRO_0000153570 1(OUTSIDE)-430	1-430	430
P02751	FN1	plasma	5	PRO_0000019235 32-2477; PRO_0000390479 627-702; PRO_0000300249 723-911; PRO_0000300250 723-903; PRO_0000300251 723-(UNKNOWN)	32-2477	2477
P0C7P3	SLFN14	erythrocytes	2	PRO_0000342339 1-912; PRO_0000436153 1-(UNKNOWN)	1-912	912
P0CF51	TRGC1	erythrocytes	1	PRO_0000393472 1(OUTSIDE)-173	1-173	173
P13747	HLA-E	erythrocytes	2	PRO_0000018882 22-358; PRO_0000445757 22-(UNKNOWN)	22-358	358
P19320	VCAM1	plasma	2	PRO_0000014997 25-739; PRO_0000457762 25-(UNKNOWN)	25-739	739
P35670	ATP7B	erythrocytes	2	PRO_0000046314 1-1465; PRO_0000296199 (UNKNOWN)-1465	1-1465	1465
Q12860	CNTN1	plasma	1	PRO_0000014685 21-993(UNSURE)	21-993	1018
Q12912	IRAG2	erythrocytes	2	PRO_0000084483 1-555; PRO_0000296244 1-(UNKNOWN)	1-555	555
Q53R41	FASTKD1	erythrocytes	1	PRO_0000284710 (UNKNOWN)-847	1-847	847
Q99497	PARK7	erythrocytes	1	PRO_0000157849 2-(UNKNOWN)	2-189	189
