accession	gene_primary	protein_name	length	reviewed	organism_id	subtree_terms_returning_entry	in_term_level_query
A0A1B0GWK0	PVALEF	Parvalbumin-like EF-hand-containing protein	134	reviewed	9606	GO:0030016;GO:0030017;GO:0036379;GO:0005865;GO:0005861	true
A2RUH7	MYBPHL	Myosin-binding protein H-like	354	reviewed	9606	GO:0030016;GO:0030017;GO:0036379	true
A4UGR9	XIRP2	Xin actin-binding repeat-containing protein 2 (Beta-xin) (Cardiomyopathy-associated protein 3) (Xeplin)	3374	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
A7E2Y1	MYH7B	Myosin-7B (Antigen MLAA-21) (Myosin cardiac muscle beta chain) (Myosin heavy chain 7B, cardiac muscle beta isoform) (Slow A MYH14)	1983	reviewed	9606	GO:0030016;GO:0097512	true
A8MU46	SMTNL1	Smoothelin-like protein 1	494	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674;GO:0031430	true
O00151	PDLIM1	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	329	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O00499	BIN1	Myc box-dependent-interacting protein 1 (Amphiphysin II) (Amphiphysin-like protein) (Box-dependent myc-interacting protein 1) (Bridging integrator 1)	593	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O00757	FBP2	Fructose-1,6-bisphosphatase isozyme 2 (FBPase 2) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 2) (Muscle FBPase)	339	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O14950	MYL12B	Myosin regulatory light chain 12B (MLC-2A) (MLC-2) (Myosin regulatory light chain 2-B, smooth muscle isoform) (Myosin regulatory light chain 20 kDa) (MLC20) (Myosin regulatory light chain MRLC2) (SHUJUN-1)	172	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O14958	CASQ2	Calsequestrin-2 (Calsequestrin, cardiac muscle isoform)	399	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O14974	PPP1R12A	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	1030	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674;GO:0030018	true
O14983	ATP2A1	Sarcoplasmic/endoplasmic reticulum calcium ATPase 1 (SERCA1) (SR Ca(2+)-ATPase 1) (EC 7.2.2.10) (Calcium pump 1) (Calcium-transporting ATPase sarcoplasmic reticulum type, fast twitch skeletal muscle isoform) (Endoplasmic reticulum class 1/2 Ca(2+) ATPase)	1001	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674;GO:0031673	true
O15061	SYNM	Synemin (Desmuslin)	1565	reviewed	9606	GO:0030016;GO:0043034	true
O15273	TCAP	Telethonin (Titin cap protein)	167	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018;GO:1990733	true
O43707	ACTN4	Alpha-actinin-4 (Non-muscle alpha-actinin 4)	911	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O43819	SCO2	Cytochrome c oxidase assembly factor SCO2	266	reviewed	9606	GO:0030016	true
O60237	PPP1R12B	Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2)	982	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674;GO:0030018	true
O60662	KLHL41	Kelch-like protein 41 (Kel-like protein 23) (Kelch repeat and BTB domain-containing protein 10) (Kelch-related protein 1) (Sarcosin)	606	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031430	true
O60706	ABCC9	ATP-binding cassette sub-family C member 9 (Sulfonylurea receptor 2)	1549	reviewed	9606	GO:0030016;GO:0030017	true
O75052	NOS1AP	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein (C-terminal PDZ ligand of neuronal nitric oxide synthase protein) (Nitric oxide synthase 1 adaptor protein)	506	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O75112	LDB3	LIM domain-binding protein 3 (Protein cypher) (Z-band alternatively spliced PDZ-motif protein)	727	reviewed	9606	GO:0030016;GO:0030017;GO:0031674;GO:0030018	true
O75147	OBSL1	Obscurin-like protein 1	1896	reviewed	9606	GO:0030016;GO:0030017;GO:0031672;GO:0031674;GO:0031430;GO:0030018	true
