# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-12T21:07:06Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff
A0A1B0GWK0	PVALEF	1	134	15275.1	7	0.458262	7	7	0
A1L4K1	FSD2	2	749	85384.2	36	0.421624	36	34	0.0555556
A2IDD5	CCDC78	2	438	48520.3	32	0.659517	32	31	0.03125
A2RUH7	MYBPHL	1	354	38732.8	16	0.413087	16	14	0.125
A4UGR9	XIRP2	1	3374	382294	231	0.604246	231	222	0.038961
A6NNS2	DHRS7C	2	312	34877.6	23	0.65945	23	23	0
A7E2Y1	MYH7B	1	1983	225841	128	0.56677	128	127	0.0078125
A8MU46	SMTNL1	1	494	52986.1	25	0.471821	25	26	-0.04
O00151	PDLIM1	1	329	36071.3	19	0.526735	19	19	0
O00165	HAX1	2	279	31620	19	0.600885	19	18	0.0526316
O00499	BIN1	1	593	64698.4	30	0.46369	30	30	0
O00631	SLN	2	31	3761.53	2	0.531699	2	2	0
O00757	FBP2	1	339	36742.7	17	0.462676	17	15	0.117647
O14950	MYL12B	1	172	19778.9	11	0.556148	11	11	0
O14958	CASQ2	1;2	399	46435.1	19	0.409173	19	18	0.0526316
O14974	PPP1R12A	1	1030	115279	54	0.468429	54	53	0.0185185
O14983	ATP2A1	1;2	1001	110251	52	0.47165	52	51	0.0192308
O15061	SYNM	1	1565	172865	93	0.537992	93	95	-0.0215054
O15273	TCAP	1	167	19051.3	13	0.682366	13	12	0.0769231
O43707	ACTN4	1	911	104852	60	0.572234	60	61	-0.0166667
O43819	SCO2	1	266	29809.4	18	0.603836	18	19	-0.0555556
O43852	CALU	2	315	37106.3	17	0.458144	17	17	0
O60237	PPP1R12B	1	982	110402	59	0.53441	59	54	0.0847458
O60662	KLHL41	1;2	606	68036.3	39	0.573223	39	39	0
O60706	ABCC9	1	1549	174221	74	0.424748	74	74	0
O60936	NOL3	2	208	22629.1	9	0.397718	9	8	0.111111
O75052	NOS1AP	1;2	506	56148.8	33	0.587724	33	30	0.0909091
O75112	LDB3	1	727	77133.7	35	0.453758	35	31	0.114286
O75147	OBSL1	1	1896	206944	102	0.492887	102	94	0.0784314
O75190	DNAJB6	1	326	36086.6	15	0.415667	15	14	0.0666667
O75298	RTN2	1;2	545	59262.8	29	0.489346	29	29	0
O75369	FLNB	1	2602	278161	157	0.564421	157	146	0.0700637
O75628	REM1	1	298	32946.5	19	0.576693	19	17	0.105263
O75880	SCO1	1	301	33813.5	18	0.532331	18	15	0.166667
O76003	GLRX3	1	335	37431.5	19	0.507594	19	19	0
O76041	NEBL	1	1014	116452	71	0.609694	71	68	0.0422535
O94875	SORBS2	1	1100	124106	63	0.507632	63	60	0.047619
O95393	BMP10	1	424	48046.7	23	0.478701	23	23	0
O95425	SVIL	1	2214	247743	136	0.548956	136	128	0.0588235
O95479	H6PD	2	791	88891.1	44	0.494988	44	42	0.0454545
O95749	GGPS1	1	300	34870.4	20	0.573553	20	19	0.05
O95817	BAG3	1	575	61593.7	38	0.616947	38	32	0.157895
P02144	MB	2	154	17183.6	13	0.756537	13	12	0.0769231
P02511	CRYAB	1	175	20158.6	13	0.644887	13	11	0.153846
P02585	TNNC2	1	160	18121.8	11	0.607002	11	11	0
P02730	SLC4A1	1	911	101791	39	0.383139	39	33	0.153846
P04075	ALDOA	1	364	39419.5	24	0.608836	24	23	0.0416667
P04792	HSPB1	1	205	22782.1	14	0.614517	14	12	0.142857
P05413	FABP3	2	133	14857.9	14	0.942262	14	13	0.0714286
P05787	KRT8	1	483	53703.5	32	0.595865	32	32	0
P05976	MYL1	1	194	21144.8	12	0.567514	12	12	0
P06396	GSN	2	782	85696.3	39	0.455095	39	36	0.0769231
P06733	ENO1	1	434	47168.4	29	0.614818	29	29	0
P06753	TPM3	1	285	32949.4	24	0.728388	24	24	0
P07451	CA3	1	260	29557	16	0.541327	16	15	0.0625
P07951	TPM2	1	284	32850.3	23	0.700147	23	23	0
P07996	THBS1	2	1170	129381	66	0.51012	66	67	-0.0151515
P08253	MMP2	1	660	73881.4	36	0.487267	36	36	0
P08590	MYL3	1	195	21931.8	13	0.592746	13	14	-0.0769231
P08727	KRT19	1	400	44105.3	33	0.74821	33	33	0
P09493	TPM1	1	284	32708	23	0.703191	23	23	0
P0CAP1	MYZAP	1	466	54204.7	33	0.608803	33	33	0
P0CAP2	POLR2M	1	368	41738.9	25	0.598962	25	24	0.04
P0DMT0	MRLN	2	46	5194.2	3	0.577567	3	3	0
P0DN84	STRIT1	2	35	3835.71	0	0	0	0	nan
P0DP23	CALM1	1	149	16837.4	9	0.534524	9	9	0
P0DP24	CALM2	1	149	16837.4	9	0.534524	9	9	0
P0DP25	CALM3	1	149	16837.4	9	0.534524	9	9	0
P10916	MYL2	1	166	18789.1	11	0.585446	11	11	0
P11055	MYH3	1	1940	223901	127	0.567214	127	126	0.00787402
P11166	SLC2A1	1	492	54083.1	15	0.277351	15	15	0
P11532	DMD	1	3685	426770	231	0.541275	231	229	0.00865801
P12109	COL6A1	1;2	1028	108528	62	0.57128	62	57	0.0806452
P12814	ACTN1	1	892	103056	58	0.562802	58	60	-0.0344828
P12829	MYL4	1	197	21564.4	13	0.602847	13	13	0
P12882	MYH1	1	1939	223142	127	0.569144	127	126	0.00787402
P12883	MYH7	1	1935	223094	124	0.55582	124	123	0.00806452
P13533	MYH6	1	1939	223731	125	0.558706	125	124	0.008
P13535	MYH8	1	1937	222759	126	0.565633	126	124	0.015873
P13805	TNNT1	1	278	32947.7	14	0.424916	14	13	0.0714286
P14625	HSP90B1	2	803	92467.7	49	0.529915	49	49	0
P14672	SLC2A4	2	509	54786.5	10	0.182527	10	9	0.1
P14923	JUP	1	745	81743.5	47	0.574969	47	44	0.0638298
P15172	MYOD1	1	320	34500.8	17	0.492742	17	16	0.0588235
P15382	KCNE1	1	129	14674.6	7	0.477016	7	7	0
P16157	ANK1	1;2	1881	206262	95	0.46058	95	99	-0.0421053
P16298	PPP3CB	1	524	59023.5	27	0.457445	27	27	0
P16615	ATP2A2	2	1042	114755	52	0.453137	52	52	0
P17661	DES	1	470	53534.9	36	0.672458	36	35	0.0277778
P18206	VCL	1	1134	123797	86	0.694684	86	84	0.0232558
P19237	TNNI1	1	187	21692.1	14	0.645397	14	14	0
P19429	TNNI3	1	210	24007.1	11	0.458197	11	11	0
P20807	CAPN3	1	821	94252.4	50	0.530491	50	51	-0.02
P20929	NEB	1	8525	986650	468	0.474332	468	467	0.00213675
P21291	CSRP1	1	193	20567.3	15	0.729312	15	14	0.0666667
P21333	FLNA	1	2647	280736	151	0.537871	151	144	0.0463576
P21817	RYR1	1;2	5038	565168	274	0.484812	274	266	0.0291971
P22460	KCNA5	1	613	67226.9	27	0.401625	27	24	0.111111
P23297	S100A1	2	94	10545.7	3	0.284476	3	3	0
P23327	HRC	1;2	699	80242.4	30	0.373867	30	29	0.0333333
P23634	ATP2B4	1	1241	137918	65	0.471293	65	64	0.0153846
P24844	MYL9	1	172	19826.9	11	0.554801	11	11	0
P26678	PLN	2	52	6108.48	3	0.491121	3	3	0
P27797	CALR	2	417	48140.9	27	0.560854	27	24	0.111111
P28161	GSTM2	2	218	25744.3	18	0.699185	18	19	-0.0555556
P28289	TMOD1	1	359	40568.6	21	0.517641	21	19	0.0952381
P29475	NOS1	1;2	1434	160968	87	0.54048	87	86	0.0114943
P29536	LMOD1	1	600	67029.4	34	0.50724	34	34	0
P30626	SRI	1;2	198	21676.1	13	0.599738	13	12	0.0769231
P31415	CASQ1	1;2	396	45159.5	16	0.3543	16	14	0.125
P31431	SDC4	1	198	21641.3	9	0.415872	9	9	0
P32418	SLC8A1	1	973	108546	37	0.34087	37	35	0.0540541
P35222	CTNNB1	1	781	85495.2	43	0.502952	43	42	0.0232558
P35443	THBS4	2	961	105868	43	0.406166	43	41	0.0465116
