# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-12T19:12:43Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
family_id	n_members	accessions	n_shared_peptides
F001	12	A7E2Y1;P11055;P12882;P12883;P13533;P13535;Q09666;Q96Q27;Q9UKX2;Q9UKX3;Q9Y2K3;Q9Y623	190
F002	8	O43707;P06753;P07951;P09493;P12814;P35609;P67936;Q08043	51
F003	4	P02585;P0DP23;P0DP24;P0DP25	9
F004	4	P28289;Q9NYL9;Q9NZQ9;Q9NZR1	4
F005	4	Q8WXH2;Q96JJ6;Q9BR39;Q9HDC5	4
F006	3	O14950;P10916;P24844	7
F007	3	O14983;P16615;Q93084	24
F008	3	O75112;P50479;Q53GG5	2
F009	3	O75369;P21333;Q14315	22
F010	3	P05976;P08590;P12829	3
F011	3	P13805;P45378;P45379	2
F012	3	P16157;Q01484;Q12955	15
F013	3	P19237;P19429;P48788	2
F014	3	P21817;Q15413;Q92736	41
F015	3	P35498;Q14524;Q9UQD0	13
F016	3	P63261;P68032;P68133	21
F017	3	Q00872;Q14324;Q14896	2
F018	3	Q01668;Q13698;Q13936	18
F019	3	Q13554;Q13555;Q13557	15
F020	3	Q14571;Q14573;Q14643	28
F021	3	Q8NF91;Q8WXH0;Q8WZ42	8
F022	3	Q92952;Q9H2S1;Q9UGI6	14
F023	2	O14974;O60237	2
F024	2	O76041;P20929	1
F025	2	P05787;P17661	1
F026	2	P14923;P35222	5
F027	2	P16298;Q08209	10
F028	2	P32418;P57103	2
F029	2	Q12792;Q6IBS0	4
F030	2	Q5VST9;Q86VF2	1
F031	2	Q86TC9;Q8WX93	1
F032	2	Q969Q1;Q9BYV2	3
F033	2	Q9H987;Q9UMS6	2
F034	2	Q9HBI1;Q9NVD7	3
