accession	gene	tier	n_chain_features	chain_features	master_ranges_union	length
O00468	AGRN	2	5	PRO_0000007471 'Agrin' 30-2068 | PRO_0000421613 'Agrin N-terminal 110 kDa subunit' 30-1102 | PRO_0000421614 'Agrin C-terminal 110 kDa subunit' 1103-2068 | PRO_0000421615 'Agrin C-terminal 90 kDa fragment' 1103-1863 | PRO_0000421616 'Agrin C-terminal 22 kDa fragment' 1864-2068	30-2068	2068
O00754	MAN2B1	2	6	PRO_0000012069 'Lysosomal alpha-mannosidase' 50-1011 | PRO_0000012070 'Lysosomal alpha-mannosidase A peptide' 50-345 | PRO_0000012071 'Lysosomal alpha-mannosidase B peptide' 346-429 | PRO_0000012072 'Lysosomal alpha-mannosidase C peptide' 430-601 | PRO_0000012073 'Lysosomal alpha-mannosidase D peptide' 602-882 | PRO_0000012074 'Lysosomal alpha-mannosidase E peptide' 883-1011	50-1011	1011
O14744	PRMT5	2	2	PRO_0000212342 'Protein arginine N-methyltransferase 5' 1-637 | PRO_0000417602 'Protein arginine N-methyltransferase 5, N-terminally processed' 2-637	1-637	637
O60313	OPA1	2	2	PRO_0000007397 'Dynamin-like GTPase OPA1, long form' 88-960 | PRO_0000253479 'Dynamin-like GTPase OPA1, short form' 195-960	88-960	960
O75531	BANF1	2	2	PRO_0000423190 'Barrier-to-autointegration factor' 1-89 | PRO_0000221026 'Barrier-to-autointegration factor, N-terminally processed' 2-89	1-89	89
O75787	ATP6AP2	2	3	PRO_0000022203 'Renin receptor' 17-350 | PRO_0000447864 'Renin receptor N-terminal fragment' 17-275 | PRO_0000447865 'Renin receptor C-terminal fragment' 278-350	17-350	350
O94925	GLS	2	2	PRO_0000011622 'Glutaminase kidney isoform, mitochondrial 68 kDa chain' 55-669 | PRO_0000447412 'Glutaminase kidney isoform, mitochondrial 65 kDa chain' 73-669	55-669	669
P00734	F2	2	3	PRO_0000028160 'Prothrombin' 44-622 | PRO_0000028163 'Thrombin light chain' 315-363 | PRO_0000028164 'Thrombin heavy chain' 364-622	44-622	622
P00738	HP	2	3	PRO_0000028456 'Haptoglobin' 19-406 | PRO_0000028457 'Haptoglobin alpha chain' 19-160 | PRO_0000028458 'Haptoglobin beta chain' 162-406	19-406	406
P00747	PLG	2	5	PRO_0000028053 'Plasminogen' 20-810 | PRO_0000028057 'Angiostatin' 79-466 | PRO_0000463834 'Plasmin' 97-810 | PRO_0000028054 'Plasmin heavy chain A' 97-580 | PRO_0000028058 'Plasmin light chain B' 581-810	20-810	810
P00748	F12	2	3	PRO_0000027833 'Coagulation factor XIIa heavy chain' 20-372 | PRO_0000027834 'Beta-factor XIIa part 1' 354-362 | PRO_0000027835 'Coagulation factor XIIa light chain' 373-615	20-615	615
P00750	PLAT	2	3	PRO_0000028350 'Tissue-type plasminogen activator' 36-562 | PRO_0000028351 'Tissue-type plasminogen activator chain A' 36-310 | PRO_0000028352 'Tissue-type plasminogen activator chain B' 311-562	36-562	562
P00751	CFB	2	3	PRO_0000027545 'Complement factor B' 26-764 | PRO_0000027546 'Complement factor B Ba' 26-259 | PRO_0000027547 'Complement factor B Bb' 260-764	26-764	764
P01011	SERPINA3	2	2	PRO_0000032411 'Alpha-1-antichymotrypsin' 24-423 | PRO_0000032412 'Alpha-1-antichymotrypsin His-Pro-less' 26-423	24-423	423
P01024	C3	2	12	PRO_0000005907 'Complement C3' 23-1663 | PRO_0000005908 'Complement C3 beta chain' 23-667 | PRO_0000430430 'C3-beta-c' 569-667 | PRO_0000005909 'Complement C3 alpha chain' 672-1663 | PRO_0000005910 'C3a anaphylatoxin' 672-748 | PRO_0000419935 'Acylation stimulating protein' 672-747 | PRO_0000005911 'Complement C3b' 749-1663 | PRO_0000005912 'Complement C3c alpha' chain fragment 1' 749-954 | PRO_0000005913 'Complement C3dg fragment' 955-1303 | PRO_0000005914 'Complement C3g fragment' 955-1001 | PRO_0000005915 'Complement C3d fragment' 1002-1303 | PRO_0000273948 'Complement C3c alpha' chain fragment 2' 1321-1663	23-1663	1663
P01031	C5	2	4	PRO_0000005985 'Complement C5 beta chain' 19-673 | PRO_0000005987 'Complement C5 alpha chain' 678-1676 | PRO_0000005988 'C5a anaphylatoxin' 678-751 | PRO_0000005989 'Complement C5b' 752-1676	19-673,678-1676	1676
P01040	CSTA	2	2	PRO_0000423202 'Cystatin-A' 1-98 | PRO_0000207128 'Cystatin-A, N-terminally processed' 2-98	1-98	98
P01042	KNG1	2	3	PRO_0000006685 'Kininogen-1' 19-644 | PRO_0000006686 'Kininogen-1 heavy chain' 19-380 | PRO_0000006689 'Kininogen-1 light chain' 390-644	19-644	644
P01116	KRAS	2	2	PRO_0000082641 'GTPase KRas' 1-186 | PRO_0000326480 'GTPase KRas, N-terminally processed' 2-186	1-186	189
P01833	PIGR	2	2	PRO_0000014900 'Polymeric immunoglobulin receptor' 19-764 | PRO_0000014901 'Secretory component' 19-603	19-764	764
P02458	COL2A1	2	2	PRO_0000005730 'Collagen alpha-1(II) chain' 182-1241 | PRO_0000005731 'Chondrocalcin' 1242-1487	182-1487	1487
P02462	COL4A1	2	2	PRO_0000005749 'Collagen alpha-1(IV) chain' 173-1669 | PRO_0000390482 'Arresten' 1445-1669	173-1669	1669
P02545	LMNA	2	2	PRO_0000398835 'Prelamin-A/C' 1-661 | PRO_0000063810 'Lamin-A/C' 1-646	1-661	664
P02647	APOA1	2	3	PRO_0000425323 'Proapolipoprotein A-I' 19-267 | PRO_0000001939 'Apolipoprotein A-I' 25-267 | PRO_0000001940 'Truncated apolipoprotein A-I' 25-266	19-267	267
P02652	APOA2	2	3	PRO_0000425351 'Proapolipoprotein A-II' 19-100 | PRO_0000002003 'Apolipoprotein A-II' 24-100 | PRO_0000002004 'Truncated apolipoprotein A-II' 24-99	19-100	100
P02654	APOC1	2	2	PRO_0000002014 'Apolipoprotein C-I' 27-83 | PRO_0000391843 'Truncated apolipoprotein C-I' 29-83	27-83	83
P02655	APOC2	2	2	PRO_0000002024 'Proapolipoprotein C-II' 23-101 | PRO_0000430839 'Apolipoprotein C-II' 29-101	23-101	101
P02743	APCS	2	2	PRO_0000023540 'Serum amyloid P-component' 20-223 | PRO_0000023541 'Serum amyloid P-component(1-203)' 20-222	20-223	223
P02748	C9	2	3	PRO_0000023602 'Complement component C9' 22-559 | PRO_0000023603 'Complement component C9a' 22-265 | PRO_0000023604 'Complement component C9b' 266-559	22-559	559
P02760	AMBP	2	3	PRO_0000017886 'Alpha-1-microglobulin' 20-203 | PRO_0000017887 'Inter-alpha-trypsin inhibitor light chain' 206-352 | PRO_0000318926 'Trypstatin' 284-344	20-203,206-352	352
P02765	AHSG	2	2	PRO_0000008887 'Alpha-2-HS-glycoprotein chain A' 19-300 | PRO_0000008889 'Alpha-2-HS-glycoprotein chain B' 341-367	19-300,341-367	367
P02786	TFRC	2	2	PRO_0000174132 'Transferrin receptor protein 1' 1-760 | PRO_0000292265 'Transferrin receptor protein 1, serum form' 101-760	1-760	760
P02794	FTH1	2	2	PRO_0000201048 'Ferritin heavy chain' 1-183 | PRO_0000424472 'Ferritin heavy chain, N-terminally processed' 2-183	1-183	183
P03952	KLKB1	2	2	PRO_0000028021 'Plasma kallikrein heavy chain' 20-390 | PRO_0000028022 'Plasma kallikrein light chain' 391-638	20-638	638
P04004	VTN	2	3	PRO_0000036394 'Vitronectin' 20-478 | PRO_0000036395 'Vitronectin V65 subunit' 20-398 | PRO_0000036397 'Vitronectin V10 subunit' 399-478	20-478	478
P04114	APOB	2	2	PRO_0000020750 'Apolipoprotein B-100' 28-4563 | PRO_0000020751 'Apolipoprotein B-48' 28-2179	28-4563	4563
P04181	OAT	2	2	PRO_0000001262 'Ornithine aminotransferase, hepatic form' 26-439 | PRO_0000001263 'Ornithine aminotransferase, renal form' 36-439	26-439	439
P04275	VWF	2	2	PRO_0000022682 'von Willebrand antigen 2' 23-763 | PRO_0000022683 'von Willebrand factor' 764-2813	23-2813	2813
P04280	PRB1	2	4	PRO_0000022129 'Basic salivary proline-rich protein 1' 17-392 | PRO_0000372441 'Proline-rich peptide II-2' 17-91 | PRO_0000022130 'Basic peptide IB-6' 275-392 | PRO_0000022131 'Peptide P-H' 337-392	17-392	392
P05141	SLC25A5	2	2	PRO_0000423220 'ADP/ATP translocase 2' 1-298 | PRO_0000090579 'ADP/ATP translocase 2, N-terminally processed' 2-298	1-298	298
P06756	ITGAV	2	3	PRO_0000016301 'Integrin alpha-V' 31-1048 | PRO_0000016302 'Integrin alpha-V heavy chain' 31-889 | PRO_0000016303 'Integrin alpha-V light chain' 891-1048	31-1048	1048
P07305	H1-0	2	2	PRO_0000423207 'Histone H1.0' 1-194 | PRO_0000195904 'Histone H1.0, N-terminally processed' 2-194	1-194	194
P07339	CTSD	2	3	PRO_0000025950 'Cathepsin D' 65-412 | PRO_0000025951 'Cathepsin D light chain' 65-162 | PRO_0000025952 'Cathepsin D heavy chain' 169-412	65-412	412
P07686	HEXB	2	3	PRO_0000012003 'Beta-hexosaminidase subunit beta' 122-556 | PRO_0000012004 'Beta-hexosaminidase subunit beta chain B' 122-311 | PRO_0000012005 'Beta-hexosaminidase subunit beta chain A' 315-556	122-556	556
P07858	CTSB	2	3	PRO_0000026144 'Cathepsin B' 80-333 | PRO_0000026145 'Cathepsin B light chain' 80-126 | PRO_0000026146 'Cathepsin B heavy chain' 129-333	80-333	339
P08253	MMP2	1	2	PRO_0000028715 '72 kDa type IV collagenase' 110-660 | PRO_0000391626 'PEX' 445-660	110-660	660
P08311	CTSG	2	2	PRO_0000027513 'Cathepsin G' 21-244 | PRO_0000454551 'Cathepsin G, C-terminal truncated form' 21-243	21-244	255
P08572	COL4A2	2	2	PRO_0000005825 'Collagen alpha-2(IV) chain' 184-1712 | PRO_0000283775 'Canstatin' 1486-1712	184-1712	1712
P09601	HMOX1	2	2	PRO_0000209687 'Heme oxygenase 1' 1-288 | PRO_0000455621 'Heme oxygenase 1 soluble form' 1-265	1-288	288
