accession	gene	tier	n_sites_total	n_sites_in_master	n_sites_with_mass	n_sites_count_only	n_modified_residue	n_lipidation	n_glycosylation	n_cross_link	n_disulfide_bond	sum_mass_delta_g_per_mol	mw_master	ptm_mass_delta_fraction_of_mw
A0A1B0GWK0	PVALEF	1	0	0	0	0	0	0	0	0	0	0	15275.0950	0
A1L4K1	FSD2	2	0	0	0	0	0	0	0	0	0	0	85384.2300	0
A2IDD5	CCDC78	2	0	0	0	0	0	0	0	0	0	0	48520.3250	0
A2RUH7	MYBPHL	1	3	3	3	0	2	0	0	0	1	91.994	38732.7550	0.002375095704
A4UGR9	XIRP2	1	11	11	11	0	11	0	0	0	0	879.78	382294.4150	0.002301315336
A6NNS2	DHRS7C	2	0	0	0	0	0	0	0	0	0	0	33035.1250	0
A7E2Y1	MYH7B	1	0	0	0	0	0	0	0	0	0	0	225841.1500	0
A8MU46	SMTNL1	1	1	1	1	0	1	0	0	0	0	79.98	52986.1450	0.001509451197
O00151	PDLIM1	1	6	6	6	0	6	0	0	0	0	441.94	35940.0950	0.01229657295
O00165	HAX1	2	3	3	3	0	3	0	0	0	0	202	31488.8250	0.006414974201
O00499	BIN1	1	7	7	7	0	7	0	0	0	0	521.92	64567.2250	0.008083358081
O00631	SLN	2	0	0	0	0	0	0	0	0	0	0	3761.5300	0
O00757	FBP2	1	2	2	2	0	2	0	0	0	0	159.96	36742.7400	0.004353513102
O14950	MYL12B	1	2	2	2	0	2	0	0	0	0	159.96	19778.9150	0.008087400143
O14958	CASQ2	1;2	4	4	3	1	3	0	1	0	0	239.94	44210.4050	0.005427229178
O14974	PPP1R12A	1	27	27	27	0	27	0	0	0	0	1967.52	115279.0150	0.0170674602
O14983	ATP2A1	1;2	4	4	4	0	3	0	0	0	1	237.924	110251.1500	0.002158018306
O15061	SYNM	1	13	13	13	0	13	0	0	0	0	973.79	172865.1500	0.005633234923
O15273	TCAP	1	1	1	1	0	1	0	0	0	0	79.98	19051.3500	0.004198127692
O43707	ACTN4	1	10	10	10	0	10	0	0	0	0	572.16	104852.2300	0.005456822425
O43819	SCO2	1	1	1	1	0	0	0	0	0	1	-2.016	25137.9400	-8.019750226e-05
O43852	CALU	2	9	9	8	1	8	0	1	0	0	601.9	34960.6550	0.01721649666
O60237	PPP1R12B	1	6	6	6	0	6	0	0	0	0	479.88	110402.1150	0.004346655859
O60662	KLHL41	1;2	1	1	1	0	1	0	0	0	0	79.98	68036.2950	0.001175549021
O60706	ABCC9	1	5	5	0	5	0	0	5	0	0	0	174220.8200	0
O60936	NOL3	2	2	2	2	0	1	1	0	0	0	290.34	22497.9100	0.01290519875
O75052	NOS1AP	1;2	8	8	8	0	8	0	0	0	0	639.84	56148.8250	0.01139542991
O75112	LDB3	1	8	8	8	0	8	0	0	0	0	441.99	77133.6800	0.005730181679
O75147	OBSL1	1	13	13	13	0	1	0	0	0	12	55.788	206944.0350	0.0002695801307
O75190	DNAJB6	1	2	2	2	0	2	0	0	0	0	94.01	35955.3900	0.00261462885
O75298	RTN2	1;2	3	3	3	0	3	0	0	0	0	239.94	59262.8000	0.004048745587
O75369	FLNB	1	27	27	27	0	26	0	0	1	0	1987.82	278161.3150	0.007146284881
O75628	REM1	1	1	1	1	0	1	0	0	0	0	79.98	32946.4850	0.002427573078
O75880	SCO1	1	1	1	1	0	0	0	0	0	1	-2.016	26305.6750	-7.663745561e-05
O76003	GLRX3	1	3	3	3	0	3	0	0	0	0	202	37300.3250	0.005415502412
O76041	NEBL	1	2	2	2	0	2	0	0	0	0	28.06	116451.8350	0.0002409579892
O94875	SORBS2	1	64	64	64	0	64	0	0	0	0	5037.76	124105.5850	0.04059253256
O95393	BMP10	1	6	4	3	1	0	0	2	0	4	-6.048	12160.0550	-0.0004973661715
O95425	SVIL	1	32	32	32	0	32	0	0	0	0	2493.41	247742.8650	0.01006450781
O95479	H6PD	2	5	5	2	3	2	0	3	0	0	83.04	86814.4250	0.0009565230663
O95749	GGPS1	1	1	1	1	0	1	0	0	0	0	42.04	34870.3750	0.001205607912
O95817	BAG3	1	19	19	19	0	17	0	0	2	0	1153.78	61462.4650	0.0187721075
P02144	MB	2	2	2	2	0	2	0	0	0	0	159.96	17052.3600	0.009380519764
P02511	CRYAB	1	8	8	8	0	6	0	2	0	0	772.44	20158.5700	0.0383181942
P02585	TNNC2	1	1	1	1	0	1	0	0	0	0	42.04	17990.6500	0.002336769377
P02730	SLC4A1	1	10	10	9	1	8	1	1	0	0	840.31	101790.6500	0.008255276884
P04075	ALDOA	1	17	17	17	0	15	0	0	2	0	1036.26	39288.2700	0.02637581141
