# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-17T02:11:26Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# families from outputs/digest/shared_pairs.tsv at n_shared_peptides >= cutoff, anchored per config/carroll_classical_fractionation.ini (D52)
cutoff	band	accession	gene	tier	role	match_rule	v_I	v_IIa	v_IIx	w_I_tier1	w_IIa_tier1	w_IIx_tier1
1	myosin_heavy_chain	Q8WZ42	TTN	1	family	summed:5	3888.112424	4368.84002	4390.221848	0.2806911147	0.2777934905	0.2778746176
1	myosin_heavy_chain	P12883	MYH7	1	anchor	single	42337.60547	23091.85547	23123.53906	0.1786886974	0.08584118293	0.08556529566
1	myosin_heavy_chain	Q9UKX2	MYH2	1	anchor	summed:2	2410.703857	36875.86002	18653.31055	0.01017212804	0.137049099	0.06900752254
1	myosin_heavy_chain	P11055	MYH3	1	family	single	1753.500977	1782.352417	2616.046387	0.00742755154	0.006649658054	0.009715332367
1	myosin_heavy_chain	Q9UKX3	MYH13	1	family	single	1513.63501	1494.858154	1246.57373	0.006402927923	0.00556959358	0.004623256401
1	myosin_heavy_chain	P21817	RYR1	1	family	summed:2	222.2115936	366.5294924	483.466814	0.002375893727	0.003451717894	0.004532100437
1	myosin_heavy_chain	Q01082	SPTBN1	1	family	single	47.34880829	39.26795578	31.78616524	0.000245862355	0.0001795921499	0.0001447083799
1	myosin_heavy_chain	Q13698	CACNA1S	1	family	single	53.85476303	103.0792084	96.79273987	0.000216348467	0.0003647261054	0.0003409141649
1	myosin_heavy_chain	Q09666	AHNAK	1	family	single	17.67440033	23.21390343	25.88326454	0.0002103510537	0.0002433404177	0.0002700794966
1	myosin_heavy_chain	P12882	MYH1	1	anchor	single	34.63661957	2651.998779	12758.84668	0.0001462177418	0.009860614135	0.04722245394
