accession	gene	tier	n_sites_total	n_sites_in_master	n_sites_with_mass	n_sites_count_only	n_modified_residue	n_lipidation	n_glycosylation	n_cross_link	n_disulfide_bond	sum_mass_delta_g_per_mol	mw_master	ptm_mass_delta_fraction_of_mw
A0A075B6S2	IGKV2D-29	2	1	1	1	0	0	0	0	0	1	-2.016	10993.2750	-0.0001833848421
A0A096LP55	UQCRHL	2	3	3	3	0	2	0	0	0	1	82.064	9258.9650	0.008863193672
A0A0A0MRZ7	IGKV2D-26	2	1	1	1	0	0	0	0	0	1	-2.016	11161.3150	-0.0001806238781
A0A0B4J1X5	IGHV3-74	2	1	1	1	0	0	0	0	0	1	-2.016	10716.8550	-0.00018811489
A0A0C4DH42	IGHV3-66	2	1	1	1	0	0	0	0	0	1	-2.016	10575.7600	-0.0001906245981
A0A1B0GWK0	PVALEF	1	0	0	0	0	0	0	0	0	0	0	15275.0950	0
A0A8I5KQE6	RPSA2	2	1	1	1	0	1	0	0	0	0	42.04	32777.3550	0.001282592814
A0AVT1	UBA6	2	6	6	6	0	6	0	0	0	0	366.06	117968.2850	0.003103037397
A0FGR8	ESYT2	2	11	11	11	0	11	0	0	0	0	879.78	102355.8400	0.008595308289
A0PJW6	TMEM223	2	0	0	0	0	0	0	0	0	0	0	22048.6850	0
A1L0T0	HACL2	2	0	0	0	0	0	0	0	0	0	0	67866.7650	0
A1L4K1	FSD2	2	0	0	0	0	0	0	0	0	0	0	85384.2300	0
A2A2Y4	FRMD3	2	0	0	0	0	0	0	0	0	0	0	68771.0000	0
A2RRP1	NBAS	2	3	3	3	0	3	0	0	0	0	202	268566.9700	0.0007521401459
A2RTX5	TARS3	2	2	2	2	0	2	0	0	0	0	122.02	92513.0300	0.001318949342
A2RUH7	MYBPHL	1	3	3	3	0	2	0	0	0	1	91.994	38732.7550	0.002375095704
A3KMH1	VWA8	2	5	5	0	5	0	0	5	0	0	0	211796.6200	0
A4D126	CRPPA	2	0	0	0	0	0	0	0	0	0	0	49871.8900	0
A4UGR9	XIRP2	1	11	11	11	0	11	0	0	0	0	879.78	382294.4150	0.002301315336
A5D6W6	FITM1	2	0	0	0	0	0	0	0	0	0	0	32206.3850	0
A5D8V6	VPS37C	2	1	1	1	0	1	0	0	0	0	79.98	38658.3500	0.002068893266
A5YM72	CARNS1	2	0	0	0	0	0	0	0	0	0	0	88483.1100	0
A6NCE7	MAP1LC3B2	2	2	2	1	1	0	2	0	0	0	699.99	14069.0750	0.049753804
A6NDG6	PGP	2	1	1	1	0	0	0	0	0	1	-2.016	34005.6300	-5.928430086e-05
A6NHG4	DDTL	2	0	0	0	0	0	0	0	0	0	0	14195.0950	0
A6NHR9	SMCHD1	2	7	7	7	0	5	0	0	2	0	308.07	226239.2950	0.001361699788
A6NHZ5	LRRC14B	2	0	0	0	0	0	0	0	0	0	0	56756.5750	0
A6NMY6	ANXA2P2	2	6	6	6	0	6	0	0	0	0	328.12	38527.2650	0.008516566125
A6NMZ7	COL6A6	2	8	8	0	8	0	0	8	0	0	0	245000.5950	0
A6NNL5	C15orf61	2	0	0	0	0	0	0	0	0	0	0	15147.1900	0
A6NNS2	DHRS7C	2	0	0	0	0	0	0	0	0	0	0	33035.1250	0
A6NNT2	C16orf96	2	0	0	0	0	0	0	0	0	0	0	125039.2500	0
A7E2Y1	MYH7B	1	0	0	0	0	0	0	0	0	0	0	225841.1500	0
A8K2U0	A2ML1	2	16	16	11	5	0	0	5	1	10	-37.19	159323.1600	-0.0002334249459
A8MU46	SMTNL1	1	1	1	1	0	1	0	0	0	0	79.98	52986.1450	0.001509451197
A8MWD9	SNRPGP15	2	0	0	0	0	0	0	0	0	0	0	8543.9650	0
A8MXV4	NUDT19	2	0	0	0	0	0	0	0	0	0	0	42232.5600	0
A8MZF0	PRR33	2	0	0	0	0	0	0	0	0	0	0	35186.3600	0
