# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-13T04:25:20Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
rank	accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff	robust_z
1	P00395	MT-CO1	2	513	57040.5	5	0.087657	5	5	0	-4.84076
2	P00414	MT-CO3	2	261	29950.2	3	0.100166	3	2	0.333333	-4.70188
3	P0CG48	UBC	2	685	77037.4	8	0.103846	8	8	0	-4.66103
4	Q9Y6A9	SPCS1	2	169	18297.9	2	0.109302	2	2	0	-4.60046
5	P23490	LORICRIN	2	312	25760.9	3	0.116456	3	3	0	-4.52104
6	P00846	MT-ATP6	2	226	24816.7	3	0.120886	3	3	0	-4.47185
7	Q9P003	CNIH4	2	139	16093.1	2	0.124277	2	2	0	-4.43421
8	P00156	MT-CYB	2	380	42716.8	7	0.16387	7	5	0.285714	-3.99465
9	P03886	MT-ND1	2	318	35659.9	6	0.168256	6	6	0	-3.94596
10	Q99735	MGST2	2	147	16620.3	3	0.180502	3	3	0	-3.81001
11	P14672	SLC2A4	2	509	54786.5	10	0.182527	10	9	0.1	-3.78753
12	Q9H1C7	CYSTM1	2	97	10631	2	0.18813	2	2	0	-3.72533
13	P55061	TMBIM6	2	237	26537.3	5	0.188414	5	5	0	-3.72217
14	P15502	ELN	2	786	68397.2	13	0.190066	13	8	0.384615	-3.70383
15	P0DJ93	SMIM13	2	91	10350.6	2	0.193225	2	2	0	-3.66877
16	P03915	MT-ND5	2	603	67025.3	13	0.193957	13	13	0	-3.66064
17	P03891	MT-ND2	2	347	38960.2	8	0.205338	8	6	0.25	-3.53429
18	P40337	VHL	2	213	24152.5	5	0.207018	5	6	-0.2	-3.51563
19	Q9UMX0	UBQLN1	2	589	62517.8	13	0.207941	13	13	0	-3.50539
20	Q9UGM3	DMBT1	2	2413	260732	56	0.21478	56	48	0.142857	-3.42946
21	P03923	MT-ND6	2	174	18622	4	0.2148	4	3	0.25	-3.42924
22	P03897	MT-ND3	2	115	13185.8	3	0.227517	3	3	0	-3.28805
