# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:13:58Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
accession	gene	tier	mw_master	match_rule	n_rows	rows	v_I	sd_I	valid_I	minor_row_share_I	shared_row_value_I	v_IIa	sd_IIa	valid_IIa	minor_row_share_IIa	shared_row_value_IIa	v_IIx	sd_IIx	valid_IIx	minor_row_share_IIx	shared_row_value_IIx	w_I_tier1	w_I_tier1_low	w_I_tier1_high	w_IIa_tier1	w_IIa_tier1_low	w_IIa_tier1_high	w_IIx_tier1	w_IIx_tier1_low	w_IIx_tier1_high	w_I_tier2	w_I_tier2_low	w_I_tier2_high	w_IIa_tier2	w_IIa_tier2_low	w_IIa_tier2_high	w_IIx_tier2	w_IIx_tier2_low	w_IIx_tier2_high	w_I_combined	w_I_combined_low	w_I_combined_high	w_IIa_combined	w_IIa_combined_low	w_IIa_combined_high	w_IIx_combined	w_IIx_combined_low	w_IIx_combined_high
A0A075B6S2	IGKV2D-29	2	10993.2750	shared_split	0	1572	6.362358809	0	0	0	12.72471762	18.36116982	0	0	0	36.72233963	11.2732029	0	0	0	22.54640579										3.349488944e-06	3.349488944e-06	6.698977887e-06	9.009846119e-06	9.009846119e-06	1.801969224e-05	5.175698515e-06	5.175698515e-06	1.035139703e-05	9.485038916e-07	9.485038916e-07	1.897007783e-06	2.449123862e-06	2.449123862e-06	4.898247723e-06	1.471245277e-06	1.471245277e-06	2.942490554e-06
A0A096LP55	UQCRHL	2	9258.9650	shared_split	0	3724	824.4960327	0	0	0	1648.992065	640.0879517	0	0	0	1280.175903	331.6764526	0	0	0	663.3529053										0.000365581585	0.000365581585	0.00073116317	0.0002645404143	0.0002645404143	0.0005290808285	0.0001282542122	0.0001282542122	0.0002565084244	0.0001035249144	0.0001035249144	0.0002070498287	7.190935698e-05	7.190935698e-05	0.000143818714	3.645757252e-05	3.645757252e-05	7.291514504e-05
A0A0A0MRZ7	IGKV2D-26	2	11161.3150	shared_split	0	1572	6.362358809	0	0	0	12.72471762	18.36116982	0	0	0	36.72233963	11.2732029	0	0	0	22.54640579										3.400688256e-06	3.400688256e-06	6.801376512e-06	9.147568003e-06	9.147568003e-06	1.829513601e-05	5.254812735e-06	5.254812735e-06	1.050962547e-05	9.630024458e-07	9.630024458e-07	1.926004892e-06	2.486560456e-06	2.486560456e-06	4.973120912e-06	1.493734304e-06	1.493734304e-06	2.987468608e-06
A0A0B4J1X5	IGHV3-74	2	10716.8550	shared_split	0	1567	0	0	0	0	0	4.343203545	0	0	0	26.05922127	0	0	0	0	0										0	0	0	2.077626481e-06	2.077626481e-06	1.246575889e-05	0	0	0	0	0	0	5.647559929e-07	5.647559929e-07	3.388535957e-06	0	0	0
A0A0C4DH42	IGHV3-66	2	10575.7600	shared_split	0	1567	0	0	0	0	0	4.343203545	0	0	0	26.05922127	0	0	0	0	0										0	0	0	2.050273054e-06	2.050273054e-06	1.230163833e-05	0	0	0	0	0	0	5.573205795e-07	5.573205795e-07	3.343923477e-06	0	0	0
A0A1B0GWK0	PVALEF	1	15275.0950	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0
A0A8I5KQE6	RPSA2	2	32777.3550	shared_group	0	2957	145.9352417	0	0	0	145.9352417	128.1670341	0	0	0	128.1670341	180.6101532	0	0	0	180.6101532										0.0002290695619	0.0002290695619	0.0002290695619	0.000187516796	0.000187516796	0.000187516796	0.0002472353808	0.0002472353808	0.0002472353808	6.486761849e-05	6.486761849e-05	6.486761849e-05	5.09722201e-05	5.09722201e-05	5.09722201e-05	7.027918749e-05	7.027918749e-05	7.027918749e-05
A0AVT1	UBA6	2	117968.2850	single	1	3670	3.156462669	14.06956271	7	0	0	6.73939538	10.68518716	20	0	0	2.612887859	2.182752152	9	0	0										1.783196577e-05	0	9.731586498e-05	3.548755968e-05	0	9.17524315e-05	1.287302438e-05	2.119167659e-06	2.36268811e-05	5.04963271e-06	0	2.755777917e-05	9.646494298e-06	0	2.494083322e-05	3.659288938e-06	6.02395097e-07	6.716182778e-06
A0FGR8	ESYT2	2	102355.8400	single	1	1102	2.75772047	10.70323232	13	0	0	5.265828133	3.554658108	23	0	0	6.921114445	10.63889443	11	0	0										1.351749347e-05	0	6.598143046e-05	2.40585385e-05	7.818001057e-06	4.029907594e-05	2.958579287e-05	0	7.506403621e-05	3.827866094e-06	0	1.868453505e-05	6.539772149e-06	2.125147609e-06	1.095439669e-05	8.410064438e-06	0	2.133772058e-05
A0PJW6	TMEM223	2	22048.6850	single	1	3504	2.708354473	0	1	0	0	5.812503815	2.472903766	4	0	0	6.010018826	0	1	0	0										2.859706723e-06	2.859706723e-06	2.859706723e-06	5.720524872e-06	3.286753136e-06	8.154296607e-06	5.534177449e-06	5.534177449e-06	5.534177449e-06	8.09808004e-07	8.09808004e-07	8.09808004e-07	1.554995921e-06	8.934298573e-07	2.216561985e-06	1.573146583e-06	1.573146583e-06	1.573146583e-06
