accession	gene	tier	n_chain_features	chain_features	master_ranges_union	length
O00187	MASP2	plasma	3	PRO_0000027598 'Mannan-binding lectin serine protease 2' 16-686 | PRO_0000027599 'Mannan-binding lectin serine protease 2 A chain' 16-444 | PRO_0000027600 'Mannan-binding lectin serine protease 2 B chain' 445-686	16-686	686
O00743	PPP6C	erythrocytes	2	PRO_0000424504 'Serine/threonine-protein phosphatase 6 catalytic subunit' 1-305 | PRO_0000058877 'Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed' 2-305	1-305	305
O14744	PRMT5	erythrocytes	2	PRO_0000212342 'Protein arginine N-methyltransferase 5' 1-637 | PRO_0000417602 'Protein arginine N-methyltransferase 5, N-terminally processed' 2-637	1-637	637
O15431	SLC31A1	erythrocytes	2	PRO_0000195040 'High affinity copper uptake protein 1' 1-190 | PRO_0000458008 'Truncated CTR1 form' 43-190	1-190	190
O75531	BANF1	erythrocytes	2	PRO_0000423190 'Barrier-to-autointegration factor' 1-89 | PRO_0000221026 'Barrier-to-autointegration factor, N-terminally processed' 2-89	1-89	89
P00734	F2	plasma	3	PRO_0000028160 'Prothrombin' 44-622 | PRO_0000028163 'Thrombin light chain' 315-363 | PRO_0000028164 'Thrombin heavy chain' 364-622	44-622	622
P00736	C1R	plasma	3	PRO_0000027577 'Complement C1r subcomponent' 18-705 | PRO_0000027578 'Complement C1r subcomponent heavy chain' 18-463 | PRO_0000027579 'Complement C1r subcomponent light chain' 464-705	18-705	705
P00738	HP	erythrocytes;plasma	3	PRO_0000028456 'Haptoglobin' 19-406 | PRO_0000028457 'Haptoglobin alpha chain' 19-160 | PRO_0000028458 'Haptoglobin beta chain' 162-406	19-406	406
P00740	F9	plasma	3	PRO_0000027756 'Coagulation factor IX' 47-461 | PRO_0000027757 'Coagulation factor IXa light chain' 47-191 | PRO_0000027759 'Coagulation factor IXa heavy chain' 227-461	47-461	461
P00742	F10	plasma	4	PRO_0000027787 'Coagulation factor X' 41-488 | PRO_0000027788 'Factor X light chain' 41-179 | PRO_0000027789 'Factor X heavy chain' 183-488 | PRO_0000027791 'Activated factor Xa heavy chain' 235-488	41-488	488
P00747	PLG	plasma	5	PRO_0000028053 'Plasminogen' 20-810 | PRO_0000028057 'Angiostatin' 79-466 | PRO_0000463834 'Plasmin' 97-810 | PRO_0000028054 'Plasmin heavy chain A' 97-580 | PRO_0000028058 'Plasmin light chain B' 581-810	20-810	810
P00748	F12	plasma	3	PRO_0000027833 'Coagulation factor XIIa heavy chain' 20-372 | PRO_0000027834 'Beta-factor XIIa part 1' 354-362 | PRO_0000027835 'Coagulation factor XIIa light chain' 373-615	20-615	615
P00751	CFB	plasma	3	PRO_0000027545 'Complement factor B' 26-764 | PRO_0000027546 'Complement factor B Ba' 26-259 | PRO_0000027547 'Complement factor B Bb' 260-764	26-764	764
P01011	SERPINA3	erythrocytes;plasma	2	PRO_0000032411 'Alpha-1-antichymotrypsin' 24-423 | PRO_0000032412 'Alpha-1-antichymotrypsin His-Pro-less' 26-423	24-423	423
P01024	C3	erythrocytes;plasma	12	PRO_0000005907 'Complement C3' 23-1663 | PRO_0000005908 'Complement C3 beta chain' 23-667 | PRO_0000430430 'C3-beta-c' 569-667 | PRO_0000005909 'Complement C3 alpha chain' 672-1663 | PRO_0000005910 'C3a anaphylatoxin' 672-748 | PRO_0000419935 'Acylation stimulating protein' 672-747 | PRO_0000005911 'Complement C3b' 749-1663 | PRO_0000005912 'Complement C3c alpha' chain fragment 1' 749-954 | PRO_0000005913 'Complement C3dg fragment' 955-1303 | PRO_0000005914 'Complement C3g fragment' 955-1001 | PRO_0000005915 'Complement C3d fragment' 1002-1303 | PRO_0000273948 'Complement C3c alpha' chain fragment 2' 1321-1663	23-1663	1663
P01031	C5	erythrocytes;plasma	4	PRO_0000005985 'Complement C5 beta chain' 19-673 | PRO_0000005987 'Complement C5 alpha chain' 678-1676 | PRO_0000005988 'C5a anaphylatoxin' 678-751 | PRO_0000005989 'Complement C5b' 752-1676	19-673,678-1676	1676
P01040	CSTA	erythrocytes;plasma	2	PRO_0000423202 'Cystatin-A' 1-98 | PRO_0000207128 'Cystatin-A, N-terminally processed' 2-98	1-98	98
P01042	KNG1	plasma	3	PRO_0000006685 'Kininogen-1' 19-644 | PRO_0000006686 'Kininogen-1 heavy chain' 19-380 | PRO_0000006689 'Kininogen-1 light chain' 390-644	19-644	644
P01112	HRAS	erythrocytes	2	PRO_0000042996 'GTPase HRas' 1-186 | PRO_0000326476 'GTPase HRas, N-terminally processed' 2-186	1-186	189
P01116	KRAS	erythrocytes	2	PRO_0000082641 'GTPase KRas' 1-186 | PRO_0000326480 'GTPase KRas, N-terminally processed' 2-186	1-186	189
P02647	APOA1	erythrocytes;plasma	3	PRO_0000425323 'Proapolipoprotein A-I' 19-267 | PRO_0000001939 'Apolipoprotein A-I' 25-267 | PRO_0000001940 'Truncated apolipoprotein A-I' 25-266	19-267	267
