accession	gene_primary	protein_name	length	reviewed	organism_id	dataset_rows	identity_cell
A0A087WW87	IGKV2-40	Immunoglobulin kappa variable 2-40	121	reviewed	9606	1109	A0A0A0MTQ6;A0A087X0P6;A0A087X0Q4;A0A087WW87;A0A075B6R1;A0A0A0MRZ7;A0A075B6S6;A0A075B6S3;A0A075B6S2;A0A075B6P5;P01617;P01614;P06309;P06310
A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6 (Ubiquitin-activating enzyme 6) (EC 6.2.1.45) (Monocyte protein 4) (MOP-4) (Ubiquitin-activating enzyme E1-like protein 2) (E1-L2)	1052	reviewed	9606	2447;2448	A0AVT1;H0Y8S8;A0AVT1-4;A0AVT1-3
A0FGR8	ESYT2	Extended synaptotagmin-2 (E-Syt2) (Chr2Syt)	921	reviewed	9606	786	H7BXI1;A0FGR8-6;A0FGR8-2;A0FGR8;A0A087WXU3;A0FGR8-4;A0FGR8-5
A1A5C7	SLC22A23	Solute carrier family 22 member 23	686	reviewed	9606	2131	A1A5C7;C9J4Z0;A1A5C7-2;A1A5C7-3;H7C4T9;C9IZW5;A1A5C7-4
A1IGU5	ARHGEF37	Rho guanine nucleotide exchange factor 37	675	reviewed	9606	196	A1IGU5
A1KZ92	PXDNL	Probable oxidoreductase PXDNL (EC 1.-.-.-) (Cardiac peroxidase) (Inactive peroxidasin-like protein) (Polysomal ribonuclease 1) (PRM1) (Vascular peroxidase 2)	1463	reviewed	9606	1824	A1KZ92;A1KZ92-2
A1L0T0	HACL2	2-hydroxyacyl-CoA lyase 2 (EC 4.1.2.-) (Acetolactate synthase-like protein) (IlvB-like protein)	632	reviewed	9606	1115	A1L0T0;E9PJS0;M0R026;M0R1B5;E9PL44;M0QZX5
A2RRP1	NBAS	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	2371	reviewed	9606	1440	A2RRP1;A2RRP1-2;H0Y5G7;H7C007;H7BZR3;H7C1Y9;C9JCM7;H7BZU5;H7C1U4
A2RU67	FAM234B	Protein FAM234B	622	reviewed	9606	1181	A2RU67;Q69YM1
A4D1P6	WDR91	WD repeat-containing protein 91	747	reviewed	9606	2575	A4D1P6;C9J1X0;A4D1P6-2;A4D1P6-3
A5A3E0	POTEF	POTE ankyrin domain family member F (ANKRD26-like family C member 1B) (Chimeric POTE-actin protein)	1075	reviewed	9606	1665	A5A3E0
A5D8V6	VPS37C	Vacuolar protein sorting-associated protein 37C (hVps37C) (ESCRT-I complex subunit VPS37C)	355	reviewed	9606	2545	A5D8V6;F5H4Q5
A5LHX3	PSMB11	Proteasome subunit beta type-11 (EC 3.4.25.1) (Proteasome subunit beta-5t)	300	reviewed	9606	1765	A5LHX3
A5YM69	ARHGEF35	Rho guanine nucleotide exchange factor 35 (Rho guanine nucleotide exchange factor 5-like protein)	484	reviewed	9606	195	A5YM69
A6BM72	MEGF11	Multiple epidermal growth factor-like domains protein 11 (Multiple EGF-like domains protein 11)	1044	reviewed	9606	2636	A6BM72-4
A6NCL7	ANKRD33B	Ankyrin repeat domain-containing protein 33B	494	reviewed	9606	138	A6NCL7
A6ND91	ASPDH	Aspartate dehydrogenase domain-containing protein	283	reviewed	9606	221	A6ND91
A6NDG6	PGP	Phosphoglycolate phosphatase (EC 3.1.3.18) (Aspartate-based ubiquitous Mg(2+)-dependent phosphatase) (AUM) (EC 3.1.3.48) (Glycerol-3-phosphate phosphatase) (G3PP) (EC 3.1.3.21)	321	reviewed	9606	1603	A6NDG6;H3BV17
A6NEM1	GOLGA6L9	Golgin subfamily A member 6-like protein 9	432	reviewed	9606	943	A6NEM1;A6NEF3;D6RB28;H0YKK7;A6NEY3;J3KQ80;A0A0G2JNH6;A0A0G2JM30;A0A087X0T7;A0A087WVD5;A6NEM1-2
A6NFX1	MFSD2B	Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (hMfsd2b)	504	reviewed	9606	1351	A6NFX1;J3KNU6
A6NKB5	PCNX2	Pecanex-like protein 2 (Pecanex homolog protein 2)	2137	reviewed	9606	2637	A6NKB5-2
A6NLC8	TAF11L2	TATA-box binding protein associated factor 11 like protein 2	198	reviewed	9606	2638	A6NLC8
A6NNT2	C16orf96	Uncharacterized protein C16orf96	1141	reviewed	9606	324	A6NNT2
A8MVS5	HIDE1	Protein HIDE1	230	reviewed	9606	1028	A8MVS5
B2RUZ4	SMIM1	Small integral membrane protein 1 (Vel blood group antigen)	78	reviewed	9606	2173	B2RUZ4;H3BS66
B5MCY1	TDRD15	Tudor domain-containing protein 15	1934	reviewed	9606	2302	B5MCY1
B7ZAQ6	GPHRA	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)	455	reviewed	9606	955	B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08;A6NKF9;U3KPV2;E9PKY3;A0A087WW78;A0A087WW82
C9J7I0	UMAD1	UBAP1-MVB12-associated (UMA)-domain containing protein 1 (RPA3 antisense RNA 1) (RPA3 opposite strand)	137	reviewed	9606	2483	C9J7I0
E9PAV3	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form (Alpha-NAC, muscle-specific form) (skNAC)	2078	reviewed	9606	1423	E9PAV3;H0YHX9;Q13765;E9PAV3-2;F8VZJ2;F8W0W4;F8VNW4;F8W1N5;Q9H009;F8VZ58;Q9BZK3
F5H284	PPIAL4D	Peptidyl-prolyl cis-trans isomerase A-like 4D (PPIase A-like 4D) (EC 5.2.1.8)	164	reviewed	9606	1674	F5H284;A0A075B759;Q9Y536;A0A0B4J2A2;A0A075B767;A2BFH1
O00148	DDX39A	ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)	427	reviewed	9606	607	O00148
O00154	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	380	reviewed	9606	35	O00154;O00154-6;O00154-4;O00154-7;O00154-5;K7EKP8;O00154-2;O00154-3;Q6ZUV0
O00159	MYO1C	Unconventional myosin-Ic (Myosin I beta) (MMI-beta) (MMIb)	1063	reviewed	9606	1417	O00159;O00159-3;F5H6E2;O00159-2;I3L204;I3L3Y6;I3L4D4;I3L501;I3L168;I3L3F5
O00161	SNAP23	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	211	reviewed	9606	2181	O00161;O00161-2;H3BM38;H3BR18;H3BNE1;H3BPJ0;H3BP15;H3BQY9;H3BNG6;H3BU94;H3BR99
O00178	GTPBP1	GTP-binding protein 1 (G protein 1) (GP-1) (GP1) (EC 3.6.5.3)	669	reviewed	9606	979	O00178;B0QY59;F5H716;F5H257
O00182	LGALS9	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	355	reviewed	9606	1268	O00182;O00182-2;Q6DKI2;Q3B8N2;J3KSY2;Q3B8N2-2;F8W9W4;J3KS82;J3QSH0;J3KT17;J3QR96;J3QS92;J3QRN8;J3KSV0;K7EPS0;J3KSA0
O00186	STXBP3	Syntaxin-binding protein 3 (Platelet Sec1 protein) (PSP) (Protein unc-18 homolog 3) (Unc18-3) (Protein unc-18 homolog C) (Unc-18C)	592	reviewed	9606	2256	O00186;REV__H7C070;REV__H0Y781;REV__Q2LD37-6;REV__Q2LD37-7;REV__Q2LD37-4;REV__Q2LD37
O00203	AP3B1	AP-3 complex subunit beta-1 (Adaptor protein complex AP-3 subunit beta-1) (Adaptor-related protein complex 3 subunit beta-1) (Beta-3A-adaptin) (Clathrin assembly protein complex 3 beta-1 large chain)	1094	reviewed	9606	165	O00203;O00203-3;Q13367;Q13367-4;H0YBD0
