raised	stage	subject	rule	detail
2026-09-13T03:54:37Z	build_protein_set	O00763	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000146767 'Acetyl-CoA carboxylase 2' (UNKNOWN)-2458
2026-09-13T03:54:37Z	build_protein_set	O43615	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000034314 'Mitochondrial import inner membrane translocase subunit TIM44' (UNKNOWN)-452
2026-09-13T03:54:37Z	build_protein_set	O75339	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000014672 'Cartilage intermediate layer protein 1 C1' 22-724(UNSURE); PRO_0000014673 'Cartilage intermediate layer protein 1 C2' 725(UNSURE)-1184
2026-09-13T03:54:37Z	build_protein_set	O75487	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000333847 'Secreted glypican-4' 19-(UNKNOWN)
2026-09-13T03:54:37Z	build_protein_set	P01857	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000153578 'Immunoglobulin heavy constant gamma 1' 1(OUTSIDE)-399
2026-09-13T03:54:37Z	build_protein_set	P01859	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000153579 'Immunoglobulin heavy constant gamma 2' 1(OUTSIDE)-395
2026-09-13T03:54:37Z	build_protein_set	P01860	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000153580 'Immunoglobulin heavy constant gamma 3' 1(OUTSIDE)-446
2026-09-13T03:54:37Z	build_protein_set	P01861	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000153581 'Immunoglobulin heavy constant gamma 4' 1(OUTSIDE)-396
2026-09-13T03:54:37Z	build_protein_set	P01871	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000153619 'Immunoglobulin heavy constant mu' 1(OUTSIDE)-474
2026-09-13T03:54:37Z	build_protein_set	P01876	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000153566 'Immunoglobulin heavy constant alpha 1' 1(OUTSIDE)-398
2026-09-13T03:54:37Z	build_protein_set	P01877	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000153567 'Immunoglobulin heavy constant alpha 2' 1(OUTSIDE)-391
2026-09-13T03:54:37Z	build_protein_set	P02751	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000300251 'Ugl-Y3' 723-(UNKNOWN)
2026-09-13T03:54:38Z	build_protein_set	P0CF74	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000393469 'Immunoglobulin lambda constant 6' 1(OUTSIDE)-106
2026-09-13T03:54:38Z	build_protein_set	P0CG04	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000153607 'Immunoglobulin lambda constant 1' 1(OUTSIDE)-106
2026-09-13T03:54:38Z	build_protein_set	P0DOY2	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000394665 'Immunoglobulin lambda constant 2' 1(OUTSIDE)-106
2026-09-13T03:54:38Z	build_protein_set	P0DOY3	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000394666 'Immunoglobulin lambda constant 3' 1(OUTSIDE)-106
2026-09-13T03:54:38Z	build_protein_set	P13747	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000445757 'Soluble HLA class I histocompatibility antigen, alpha chain E' 22-(UNKNOWN)
2026-09-13T03:54:38Z	build_protein_set	P17693	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000445908 'Soluble HLA class I histocompatibility antigen, alpha chain G' (UNKNOWN)-338
2026-09-13T03:54:38Z	build_protein_set	P19320	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000457762 'Soluble Vascular Cell Adhesion Molecule-1' 25-(UNKNOWN)
2026-09-13T03:54:38Z	build_protein_set	P35052	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000333837 'Secreted glypican-1' 24-(UNKNOWN)
2026-09-13T03:54:38Z	build_protein_set	P39060	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000441861 'Non-collagenous domain 1' (UNKNOWN)-1754
2026-09-13T03:54:38Z	build_protein_set	P49406	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000030473 'Large ribosomal subunit protein bL19m' (UNKNOWN)-292
2026-09-13T03:54:38Z	build_protein_set	P49753	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000202147 'Acyl-coenzyme A thioesterase 2, mitochondrial' (UNKNOWN)-483
2026-09-13T03:54:38Z	build_protein_set	P82933	chain_position_uncertain	Chain feature(s) with non-exact position: PRO_0000030655 'Small ribosomal subunit protein uS9m' (UNKNOWN)-396
