# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-12T19:22:30Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession_a	gene_a	accession_b	gene_b	n_shared_peptides	frac_of_a	frac_of_b
P12882	MYH1	Q9UKX2	MYH2	80	0.629921	0.629921
P12883	MYH7	P13533	MYH6	79	0.637097	0.632
P12882	MYH1	Q9Y623	MYH4	73	0.574803	0.574803
P13535	MYH8	Q9UKX2	MYH2	67	0.531746	0.527559
P12882	MYH1	P13535	MYH8	62	0.488189	0.492063
Q9UKX2	MYH2	Q9Y623	MYH4	57	0.448819	0.448819
P13535	MYH8	Q9Y623	MYH4	54	0.428571	0.425197
P11055	MYH3	P13535	MYH8	45	0.354331	0.357143
P11055	MYH3	P12882	MYH1	44	0.346457	0.346457
P11055	MYH3	Q9UKX2	MYH2	42	0.330709	0.330709
P11055	MYH3	Q9Y623	MYH4	41	0.322835	0.322835
P12882	MYH1	Q9UKX3	MYH13	39	0.307087	0.312
Q9UKX3	MYH13	Q9Y623	MYH4	37	0.296	0.291339
P13535	MYH8	Q9UKX3	MYH13	36	0.285714	0.288
Q9UKX2	MYH2	Q9UKX3	MYH13	36	0.283465	0.288
P11055	MYH3	Q9UKX3	MYH13	33	0.259843	0.264
P12882	MYH1	P12883	MYH7	33	0.259843	0.266129
P12883	MYH7	Q9UKX2	MYH2	32	0.258065	0.251969
P12882	MYH1	P13533	MYH6	31	0.244094	0.248
P12883	MYH7	Q9Y623	MYH4	30	0.241935	0.23622
P12883	MYH7	P13535	MYH8	29	0.233871	0.230159
P13533	MYH6	Q9UKX2	MYH2	29	0.232	0.228346
P13533	MYH6	P13535	MYH8	28	0.224	0.222222
P13533	MYH6	Q9Y623	MYH4	28	0.224	0.220472
P11055	MYH3	P12883	MYH7	26	0.204724	0.209677
P11055	MYH3	P13533	MYH6	25	0.19685	0.2
P13533	MYH6	Q9UKX3	MYH13	25	0.2	0.2
P12883	MYH7	Q9UKX3	MYH13	24	0.193548	0.192
Q15413	RYR3	Q92736	RYR2	23	0.0851852	0.0769231
O43707	ACTN4	P12814	ACTN1	21	0.35	0.362069
Q14571	ITPR2	Q14643	ITPR1	21	0.139073	0.13125
P21817	RYR1	Q92736	RYR2	20	0.0729927	0.0668896
P68032	ACTC1	P68133	ACTA1	20	0.869565	0.869565
O14983	ATP2A1	P16615	ATP2A2	19	0.365385	0.365385
P21817	RYR1	Q15413	RYR3	18	0.0656934	0.0666667
Q01668	CACNA1D	Q13936	CACNA1C	18	0.183673	0.181818
P35609	ACTN2	Q08043	ACTN3	15	0.241935	0.241935
P12814	ACTN1	P35609	ACTN2	14	0.241379	0.225806
P21333	FLNA	Q14315	FLNC	14	0.0927152	0.0833333
P06753	TPM3	P09493	TPM1	13	0.541667	0.565217
P12814	ACTN1	Q08043	ACTN3	13	0.224138	0.209677
