accession	gene_primary	protein_name	length	reviewed	organism_id	dataset_rows	identity_cell
A0M8Q6	IGLC7	Immunoglobulin lambda constant 7 (Ig lambda-7 chain C region)	106	reviewed	9606	205	A0M8Q6
B9A064	IGLL5	Immunoglobulin lambda-like polypeptide 5 (G lambda-1) (Germline immunoglobulin lambda 1)	214	reviewed	9606	210	B9A064;P0CG04
O00187	MASP2	Mannan-binding lectin serine protease 2 (EC 3.4.21.104) (MBL-associated serine protease 2) (Mannose-binding protein-associated serine protease 2) (MASP-2) [Cleaved into: Mannan-binding lectin serine protease 2 A chain; Mannan-binding lectin serine protease 2 B chain]	686	reviewed	9606	242	O00187;O00187-2
O00391	QSOX1	Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6)	747	reviewed	9606	302	O00391;O00391-2
O00533	CHL1	Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein]	1208	reviewed	9606	252	O00533;O00533-2
O14791	APOL1	Apolipoprotein L1 (Apolipoprotein L) (Apo-L) (ApoL) (Apolipoprotein L-I) (ApoL-I)	398	reviewed	9606	32	O14791;O14791-2;E9PF24;G8JL88
O43866	CD5L	CD5 antigen-like (Apoptosis inhibitor expressed by macrophages) (hAIM) (CT-2) (IgM-associated peptide) (SP-alpha)	347	reviewed	9606	55	O43866
O75636	FCN3	Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (H-ficolin) (Hakata antigen)	299	reviewed	9606	119	O75636;O75636-2
O75882	ATRN	Attractin (DPPT-L) (Mahogany homolog)	1429	reviewed	9606	34	O75882;H7BXY8;O75882-3;O75882-2
O95445	APOM	Apolipoprotein M (Apo-M) (ApoM) (Protein G3a)	188	reviewed	9606	33	O95445
O95497	VNN1	Pantetheinase (EC 3.5.1.92) (Pantetheine hydrolase) (Tiff66) (Vascular non-inflammatory molecule 1) (Vanin-1)	513	reviewed	9606	255	O95497
P00450	CP	Ceruloplasmin (Cuproxidase ceruloplasmin) (EC 1.16.3.4) (Ferroxidase ceruloplasmin) (EC 1.16.3.1) (Glutathione peroxidase ceruloplasmin) (EC 1.11.1.9) (Glutathione-dependent peroxiredoxin ceruloplasmin) (EC 1.11.1.27)	1065	reviewed	9606	56	P00450;E9PFZ2;H7C5R1
P00488	F13A1	Coagulation factor XIII A chain (Coagulation factor XIIIa) (EC 2.3.2.13) (Protein-glutamine gamma-glutamyltransferase A chain) (Transglutaminase A chain)	732	reviewed	9606	66	P00488;F5H080
P00734	F2	Prothrombin (EC 3.4.21.5) (Coagulation factor II) [Cleaved into: Activation peptide fragment 1; Activation peptide fragment 2; Thrombin light chain; Thrombin heavy chain]	622	reviewed	9606	284	P00734;E9PIT3
P00736	C1R	Complement C1r subcomponent (EC 3.4.21.41) (Complement component 1 subcomponent r) [Cleaved into: Complement C1r subcomponent heavy chain (Complement C1r subcomponent chain A); Complement C1r subcomponent light chain (Complement C1r subcomponent chain B)]	705	reviewed	9606	73	P00736;H0YFH3
P00738	HP	Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain]	406	reviewed	9606	124	P00738;Q0VAC5;I3L0D3;H3BS21
P00739	HPR	Haptoglobin-related protein	348	reviewed	9606	125	P00739;P00739-2
P00740	F9	Coagulation factor IX (EC 3.4.21.22) (Christmas factor) (Plasma thromboplastin component) (PTC) [Cleaved into: Coagulation factor IXa light chain; Coagulation factor IXa heavy chain]	461	reviewed	9606	60	P00740
P00742	F10	Coagulation factor X (EC 3.4.21.6) (Stuart factor) (Stuart-Prower factor) [Cleaved into: Factor X light chain; Factor X heavy chain; Activated factor Xa heavy chain]	488	reviewed	9606	63	P00742
P00746	CFD	Complement factor D (EC 3.4.21.46) (Adipsin) (C3 convertase activator) (Properdin factor D)	253	reviewed	9606	88	P00746
P00747	PLG	Plasminogen [Cleaved into: Plasmin (EC 3.4.21.7); Plasmin heavy chain A; Plasmin light chain B; Angiostatin]	810	reviewed	9606	268	P00747
P00748	F12	Coagulation factor XII (EC 3.4.21.38) (Hageman factor) (HAF) [Cleaved into: Coagulation factor XIIa heavy chain; Beta-factor XIIa part 1; Coagulation factor XIIa light chain (Beta-factor XIIa part 2)]	615	reviewed	9606	65	P00748
