# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-17T02:11:26Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 0daa4a1a963f50ff171818212aae17cdf151d51b5a9ca66d35bb8366668efd27
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# rules       = B0-B8, D31 (within-tier), D47 (summed rows), D48 (shared rows), D58 (combined)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
# D58: the combined standard — contractile (tier 1) and support (tier 2) together, one denominator per fiber type; ordered by type-I weight
rank_I	accession	gene	tier	match_rule	w_I	rank_I	cumulative_share_I_in_I_order	w_I_low	w_I_high	w_IIa	rank_IIa	cumulative_share_IIa_in_IIa_order	w_IIa_low	w_IIa_high	w_IIx	rank_IIx	cumulative_share_IIx_in_IIx_order	w_IIx_low	w_IIx_high
1	Q8WZ42	TTN	1	summed:5	0.2012053725	1	0.2012053725	0.1171169251	0.2852938199	0.202281583	1	0.202281583	0.1263574724	0.2782056937	0.1988859135	1	0.1988859135	0.09452339553	0.3032484314
2	P12883	MYH7	1	single	0.1280878662	2	0.3292932386	0.1007522225	0.1554235098	0.06250718958	3	0.3645841589	0.04615511313	0.07885926603	0.0612424846	2	0.2601283981	0.04023943138	0.08224553781
3	P68133	ACTA1	1	single	0.05684703754	3	0.3861402762	0.05684703754	0.05684703754	0.05086245052	4	0.4154466094	0.05086245052	0.05086245052	0.04976507193	3	0.30989347	0.04976507193	0.04976507193
4	P20929	NEB	1	summed:4	0.03769650548	4	0.4238367817	0.02307267366	0.05232033729	0.03471707559	5	0.450163685	0.02238632004	0.04704783114	0.03409024557	5	0.3933751435	0.01672088346	0.05145960768
5	P06753	TPM3	1	summed:4	0.0263097707	5	0.4501465524	0.007205992063	0.04541354934	0.01003899809	19	0.6347791645	0	0.04095749363	0.009583527139	27	0.6951268724	0.0005362435748	0.0186308107
6	P35609	ACTN2	1	single	0.02192124202	6	0.4720677944	0.01415398351	0.02968850052	0.01533207757	8	0.4986499579	0.009295368947	0.02136878619	0.01066727652	20	0.625081221	0.005947216701	0.01538733633
7	P13805	TNNT1	1	single	0.02104161665	7	0.493109411	0.01499177621	0.02709145709	0.007941417538	24	0.6781173944	0.001334899222	0.01454793585	0.007201802774	31	0.7253718116	0.001171022059	0.01323258349
8	Q00872	MYBPC1	1	summed:4	0.01998496861	8	0.5130943796	0.01601581867	0.02395411856	0.01487973565	10	0.5288579055	0.01044171872	0.01931775258	0.01128019071	16	0.5815802133	0.00846226807	0.01409811335
9	P08590	MYL3	1	single	0.01843073762	9	0.5315251173	0.003315855668	0.03354561956	0.001416587261	67	0.8356373515	0	0.004114065214	0.00164111115	64	0.822161116	0.0004707520903	0.00281147021
10	P10916	MYL2	1	single	0.01690290817	10	0.5484280254	0.01205000968	0.02175580666	2.734685536e-05	837	0.9805631163	0	0.0008314611827	0.0001365429604	361	0.9426389699	0	0.0004879186781
11	P16615	ATP2A2	2	single	0.0160095583	11	0.5644375837	0.01025282964	0.02176628695	0.006838315673	27	0.6990051958	0.004513821956	0.009162809391	0.009951501524	24	0.6657258612	0.005955554079	0.01394744897
12	P63316	TNNC1	1	single	0.01544166093	12	0.5798792446	0.009445068416	0.02143825345	4.290528364e-05	646	0.9740521715	0	0.0007865066362	3.712993393e-05	814	0.9739611493	0	0.0003256018155
13	P19237	TNNI1	1	single	0.01498425371	13	0.5948634984	0.01003820454	0.01993030289	0.0001076789541	392	0.9575342057	0	0.0007914036931	9.457957042e-05	456	0.9532260991	0	0.0004676033315
14	Q14315	FLNC	1	single	0.01424867158	14	0.6091121699	0.00651764336	0.02197969979	0.01536361542	7	0.4833178804	0.009497848488	0.02122938235	0.009875053712	26	0.6855433453	0.006073330834	0.01367677659
15	P07951	TPM2	1	summed:4	0.01343263697	15	0.6225448069	0.003032452038	0.02383282191	0.01196173655	15	0.5930596512	0	0.05022486086	0.01080149445	19	0.6144139445	0	0.02455368834
16	P31415	CASQ1	1	single	0.01093768946	16	0.6334824964	0.003312552185	0.01856282674	0.01309311689	13	0.5689157334	0.007350070123	0.01883616367	0.0187579578	9	0.4844921745	0	0.06104309918
17	P25705	ATP5F1A	2	single+via_mapping:ATP5A1	0.009857960068	17	0.6433404564	0.004881825891	0.01483409424	0.005645664507	31	0.7239397979	0.002947910043	0.00834341897	0.004233952613	36	0.7526749255	0	0.01033215076
18	P06576	ATP5F1B	2	summed:2+via_mapping:ATP5B	0.00768072818	18	0.6510211846	0.004943795145	0.01041766121	0.006114042407	30	0.7182941334	0.003955314248	0.008272770567	0.002930622718	43	0.7764774668	0	0.007608028798
19	Q15149	PLEC	1	summed:2	0.007342241846	19	0.6583634265	0.0046260278	0.01005845589	0.005059869034	34	0.7399627195	0.001642245996	0.008477492072	0.003911630407	38	0.7608020674	0.002608459833	0.005214800981
20	Q9UKX2	MYH2	1	summed:2	0.007291598144	20	0.6656550246	0	0.01484839605	0.0997953863	2	0.3020769693	0.08220981666	0.1173809559	0.04939142796	4	0.3592848979	0.03403883846	0.06474401746
21	P17540	CKMT2	2	single	0.007097027232	21	0.6727520518	0.00223322843	0.01196082603	0.004637447434	36	0.7494422652	0.003315635699	0.00595925917	0.002118898803	54	0.8036637238	0	0.006926209403
22	P12235	SLC25A4	2	single	0.007096795936	22	0.6798488478	0.005379121864	0.008814470008	0.004162983143	41	0.7711778191	0.002961759527	0.00536420676	0.002530163061	47	0.7871778102	0	0.01171767821
23	P54296	MYOM2	1	summed:2	0.00671997286	23	0.6865688206	0.003840628325	0.009599317394	0.01036508461	17	0.614469217	0.006314641433	0.01441552779	0.01088861408	18	0.60361245	0.005349849564	0.01642737859
24	P52179	MYOM1	1	summed:2	0.006468107015	24	0.6930369277	0.003612422588	0.009323791442	0.005645292	32	0.7295850899	0.003069945046	0.008220638954	0.004948550756	35	0.7484409729	0.00279852338	0.007098578131
25	Q96HC4	PDLIM5	1	summed:4	0.006211956592	25	0.6992488843	0.004644317926	0.007779595257	0.00440237318	38	0.7583754608	0.002729742525	0.006075003836	0.004215511476	37	0.756890437	0.002798291101	0.005632731851
26	P48735	IDH2	2	single	0.00567449083	26	0.7049233751	0	0.01392569162	0.002902744929	50	0.8019241673	0.001152109296	0.004653380561	0.001189584116	77	0.8403158401	0	0.008748876044
27	P11055	MYH3	1	single	0.005324227224	27	0.7102476023	0.003819860145	0.006828594304	0.004842098192	35	0.7448048177	0.003218150676	0.006466045708	0.006953649704	32	0.7323254613	0.005499249739	0.008408049669
28	P06732	CKM	2	single	0.004772393468	28	0.7150199958	0	0.009615723712	0.01104448119	16	0.6041041324	0	0.02328795039	0.01371896105	13	0.5460058031	0	0.03479067708
29	P17661	DES	1	single	0.004710517641	29	0.7197305134	0.002795691616	0.006625343666	0.002929529739	49	0.7990214224	0.001681777812	0.004177281666	0.002246158816	52	0.7993430693	0.001045670257	0.003446647375
30	P67936	TPM4	1	summed:3	0.004681221993	30	0.7244117354	0	0.009427276263	0.008538246755	23	0.6701759768	0.001647889625	0.01542860388	0.01441183052	12	0.5322868421	0.004653759551	0.02416990149
31	P00403	MT-CO2	2	single	0.004617591001	31	0.7290293264	0.003049456585	0.006185725417	0.003692052051	44	0.782752771	0.001777800528	0.005606303575	0.001705638324	63	0.8205200048	0.001165579878	0.00224569677
32	Q9UKX3	MYH13	1	single	0.004589755181	32	0.7336190816	0.003253607309	0.005925903053	0.004055624933	42	0.775233444	0.002248120051	0.005863129816	0.003309048449	39	0.7641111159	0.001279445265	0.005338651633
33	Q5VST9	OBSCN	1	summed:2	0.00443023574	33	0.7380493173	0.002281281576	0.006579189904	0.003302655998	47	0.7930815939	0.001914015097	0.004691296899	0.002453472094	51	0.7970969104	0.001078513572	0.003828430616
34	Q5VTT5	MYOM3	1	single	0.00426642664	34	0.742315744	0.002223729663	0.006309123617	0.0009466231913	94	0.866560149	0.0001413907981	0.001751855584	0.0003269461726	184	0.9055960034	0.0001574070606	0.0004964852846
35	P40926	MDH2	2	single	0.004226179773	35	0.7465419237	0	0.008633149727	0.003827274953	43	0.779060719	0.002289660537	0.00536488937	0.001859637854	59	0.8135326222	0	0.0131617679
36	Q99798	ACO2	2	single	0.003920832232	36	0.750462756	0.0002685727581	0.007573091707	0.003373526702	46	0.7897789379	0.002262482968	0.004484570436	0.001583504026	67	0.8269563176	0	0.007730276351
37	P40939	HADHA	2	single	0.003768104375	37	0.7542308603	0.0005457099472	0.006990498803	0.00184164128	59	0.8224013595	0.001159351325	0.002523931235	0.00141164302	70	0.8314212877	0	0.003967620935
38	Q13423	NNT	2	summed:2	0.003655272253	38	0.7578861326	0.002685351493	0.004625193013	0.002303693574	55	0.8141764982	0.001184703746	0.003422683402	0.001286682768	74	0.8366100444	0.0006586620975	0.001914703439
39	O60662	KLHL41	1	single	0.003153189173	39	0.7610393218	0.002094530627	0.004211847719	0.002459796641	53	0.8095516476	0.00154267047	0.003376922811	0.002073566246	56	0.8078187918	0.00101379679	0.003133335701
40	O75112	LDB3	1	summed:3	0.003124611451	40	0.7641639332	0.002011009777	0.004238213124	0.002654237625	51	0.8045784049	0.001668778717	0.003639696532	0.002201755782	53	0.801544825	0.001768165942	0.002635345621
41	P11217	PYGM	2	single	0.003119158216	41	0.7672830914	0.001509366122	0.004728950309	0.009226167541	20	0.644005332	0.005333846415	0.01311848867	0.01168956233	15	0.5703000226	0.006396559712	0.01698256495
42	Q12797	ASPH	2	summed:2	0.002811049268	42	0.7700941407	0.001592303442	0.004029795095	0.004296795051	40	0.767014836	0.002134315108	0.006459274994	0.007356029971	30	0.7181700088	0.002615283815	0.01209677613
43	P31930	UQCRC1	2	single	0.002612457889	43	0.7727065986	0.001991461456	0.003233454321	0.001744003757	63	0.8295134854	0.001035618395	0.002452389119	0.001020747408	86	0.8502661795	0	0.002371855691
44	O75390	CS	2	summed:2	0.002551502789	44	0.7752581014	0	0.005415916545	0.001664581623	64	0.8311780671	0.0008251400531	0.002504023194	0.001170814924	79	0.8426578765	0	0.006961488411
45	Q02218	OGDH	2	summed:2	0.0025407077	45	0.7777988091	0.001820707349	0.00326070805	0.001369155388	70	0.8398245979	0.0007576032287	0.001980707548	0.0008665147964	96	0.8594918627	0	0.001856150882
46	Q96P70	IPO9	2	single	0.002323884269	46	0.7801226934	0.002323884269	0.002323884269	0	3767	1	0	0	1.334623139e-05	1486	0.9889806801	1.334623139e-05	1.334623139e-05
47	P05976	MYL1	1	summed:2	0.002304546551	47	0.7824272399	0.0007201236723	0.00388896943	0.008623118873	22	0.6616377301	0	0.01975890424	0.008126509616	28	0.703253382	0.0004611340178	0.01579188521
48	P49748	ACADVL	2	single	0.002198206578	48	0.7846254465	0	0.005503708994	0.001258111875	75	0.8464548472	0.0006721866418	0.001844037107	0.00129498353	73	0.8353233617	0	0.002670484734
49	P0CG48	UBC	2	shared_split	0.002092355709	49	0.7867178022	0.002092355709	0.008369422836	0.002321156959	54	0.8118728046	0.002321156959	0.009284627837	0.002465007647	50	0.7946434383	0.002465007647	0.009860030586
50	P04920	SLC4A2	2	single	0.002056120044	50	0.7887739222	0.0008206874094	0.003291552679	1.989917113e-05	982	0.983943133	0	0.001022924259	2.653168069e-05	1006	0.9799907134	3.027845881e-06	5.00355155e-05
51	P22695	UQCRC2	2	single	0.00203704587	51	0.7908109681	0.001332976848	0.002741114891	0.001415256085	68	0.8370526076	0.000658455129	0.00217205704	0.001077458601	83	0.8471469976	9.00700033e-05	0.002064847199
52	P68871	HBB	2	single	0.002023859966	52	0.7928348281	0	0.00465405433	0.001002293784	89	0.8617071648	0	0.002919768297	0.001308671295	71	0.832729959	0	0.007600218529
53	P55084	HADHB	2	single	0.002004636475	53	0.7948394645	0.000722361213	0.003286911737	0.0009587642266	93	0.8656135258	0.0006150741131	0.00130245434	0.0007376337217	106	0.8674059018	0	0.00165136451
