# GENERATED by mass_fractions.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-12T21:58:23Z
# dataset     = data/literature/murgia_2021/13395_2021_279_MOESM1_ESM.xlsx sha256 223f875331e1b0de0e97ad80a2a8149932a160be4183f573bbb2908d30210d2a
# accessions  = config/accessions.ini sha256 eab7879e14401408aa6c70f4047db865441ca64fa933e1e751b571bfa7cac220
# composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 9ecb8ae2215e5755640d0ff4a5dd19bf23d7518a8401d0d7a77c6ad74939cdd4
# rules       = B0-B5, D31 (within-tier), D47 (summed rows), D48 (shared rows)
# header_whitespace_stripped_for = ['Median 1', 'Standard deviation 1', 'Median 2A', 'Standard deviation 2A', 'Median 2X', 'Standard deviation 2X']
accession	gene	tier	mw_master	match_rule	n_rows	rows	v_I	sd_I	valid_I	minor_row_share_I	shared_row_value_I	v_IIa	sd_IIa	valid_IIa	minor_row_share_IIa	shared_row_value_IIa	v_IIx	sd_IIx	valid_IIx	minor_row_share_IIx	shared_row_value_IIx	w_I_tier1	w_I_tier1_low	w_I_tier1_high	w_IIa_tier1	w_IIa_tier1_low	w_IIa_tier1_high	w_IIx_tier1	w_IIx_tier1_low	w_IIx_tier1_high	w_I_tier2	w_I_tier2_low	w_I_tier2_high	w_IIa_tier2	w_IIa_tier2_low	w_IIa_tier2_high	w_IIx_tier2	w_IIx_tier2_low	w_IIx_tier2_high
A0A1B0GWK0	PVALEF	1	15275.0950	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
A1L4K1	FSD2	2	85384.2300	single	1	1213	7.392605305	12.21788796	18	0	0	12.4795084	29.8628273	29	0	0	6.97803545	16.21307444	9	0	0										0.0001278059065	0	0.0003390329614	0.0001695775704	0	0.0005753680499	8.07661513e-05	0	0.0002684217791
A2IDD5	CCDC78	2	48520.3250	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0
A2RUH7	MYBPHL	1	38732.7550	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
A4UGR9	XIRP2	1	382294.4150	single	1	3812	1.662968874	23.18247902	16	0	0	18.25580168	35.94251428	26	0	0	42.85626602	77.67929825	10	0	0	1.202937261e-05	0	0.0001797238391	0.0001163043463	0	0.0003452874775	0.0002717971659	0	0.0007644442179									
A6NNS2	DHRS7C	2	33035.1250	single	1	880	143.9146423	78.1034098	19	0	0	103.6762924	76.22281879	27	0	0	123.4229126	79.03706447	13	0	0										0.0009626239801	0.0004402017026	0.001485046257	0.0005450654785	0.0001443332935	0.0009457976635	0.0005527010579	0.0001987645948	0.0009066375209
A7E2Y1	MYH7B	1	225841.1500	single	1	2063	1.755599976	7.617619852	3	0	0	3.350167751	23.18187528	22	0	0	2.58501935	39.12339879	9	0	0	7.502215692e-06	0	4.005463537e-05	1.260859551e-05	0	9.985523817e-05	9.684997576e-06	0	0.0001562641798									
A8MU46	SMTNL1	1	52986.1450	single	1	3209	29.20090103	111.3193095	16	0	0	84.64893341	123.0957372	25	0	0	37.10959244	50.39338036	12	0	0	2.927652182e-05	0	0.0001408841119	7.474478486e-05	0	0.0001834379961	3.261978917e-05	0	7.691619165e-05									
O00151	PDLIM1	1	35940.0950	single	1	2400	387.9288025	243.9784862	19	0	0	13.38903427	96.75454143	19	0	0	22.1347847	131.4633066	7	0	0	0.0002638105443	9.78932501e-05	0.0004297278384	8.019098651e-06	0	6.596832762e-05	1.319736306e-05	0	9.157937622e-05									
O00165	HAX1	2	31488.8250	single	1	1387	7.615624905	1256.579831	16	0	0	104.5734329	1219.612756	9	0	0	455.6686249	825.4143308	4	0	0										4.855542277e-05	0	0.008060211156	0.0005240480209	0	0.006635883822	0.001945020271	0	0.005468299071
O00499	BIN1	1	64567.2250	single	1	373	291.724762	457.6756372	19	0	0	597.1339111	516.038812	29	0	0	1090.273071	2099.217935	13	0	0	0.000356407077	0	0.0009155602836	0.0006425115501	8.725771032e-05	0.00119776539	0.001167831132	0	0.003416379795									
O00631	SLN	2	3761.5300	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0
O00757	FBP2	1	36742.7400	single	1	1164	17.64399147	335.184364	14	0	0	329.9956055	568.8083738	27	0	0	435.3045654	902.5696236	13	0	0	1.226674344e-05	0	0.0002452990823	0.0002020583389	0	0.0005503432046	0.0002653367486	0	0.0008154915329									
O14950	MYL12B	1	19778.9150	shared_group	0	2068	95.1255188	0	0	0	95.1255188	18.62800407	0	0	0	18.62800407	33.30679989	0	0	0	33.30679989	3.560085316e-05	3.560085316e-05	3.560085316e-05	6.139964648e-06	6.139964648e-06	6.139964648e-06	1.092868764e-05	1.092868764e-05	1.092868764e-05									
O14958	CASQ2	1;2	44210.4050	single	1	490	3133.378418	3828.744452	19	0	0	382.1879578	280.1545729	28	0	0	116.7078094	251.4098761	13	0	0	0.002621188444	0	0.005824076628	0.0002815779058	7.5173344e-05	0.0004879824675	8.559670606e-05	0	0.0002699875996	0.02804872214	0	0.06232207664	0.002689024486	0.0007178935513	0.004660155421	0.0006994279149	0	0.002206123022
O14974	PPP1R12A	1	115279.0150	single	1	2589	7.899420023	5.999959542	10	0	0	20.11901665	80.2030105	17	0	0	4.96881032	17.22979785	10	0	0	1.723083671e-05	4.143252707e-06	3.031842072e-05	3.865040858e-05	0	0.000192727478	9.502443951e-06	0	4.245302525e-05									
O14983	ATP2A1	1;2	110251.1500	single	1	311	148.360733	680.4835702	19	0	0	9106.649414	2969.261829	29	0	0	13760.34277	5552.276674	13	0	0	0.0003095016738	0	0.001729087569	0.01673165219	0.01127622573	0.02218707865	0.02516778655	0.01501262425	0.03532294885	0.003311904748	0	0.01850256012	0.1597846333	0.107686173	0.2118830936	0.2056510499	0.1226711746	0.2886309252
O15061	SYNM	1	172865.1500	summed:2	2	3382;3383	677.467433	336.1982794	19	0.0169779968	0	645.0920867	233.5872744	29	0.004394353167	0	570.7171242	278.2535783	13	0.006035675364	0	0.002215933757	0.00111626006	0.003315607454	0.001858344575	0.001185439647	0.002531249502	0.001636669512	0.0008387100169	0.002434629007									
O15273	TCAP	1	19051.3500	single	1	3423	916.8622437	441.2139341	19	0	0	938.5515747	563.253079	28	0	0	972.6260376	539.0189364	12	0	0	0.0003305146756	0.000171463868	0.0004895654832	0.0002979757906	0.0001191515405	0.0004768000406	0.0003074003012	0.0001370423455	0.0004777582569									
O43707	ACTN4	1	104852.2300	single	1	75	25.52337551	47.87915446	18	0	0	46.17744446	51.08383432	29	0	0	55.28692245	40.70430976	10	0	0	5.063801638e-05	0	0.0001456295823	8.068720065e-05	0	0.0001699474799	9.616847484e-05	2.536563006e-05	0.0001669713196									
O43819	SCO2	1	25137.9400	single	1	3034	8.176900148	2.373607585	10	0	0	5.980312347	11.74985093	8	0	0	46.31666756	25.80336147	4	0	0	3.889370207e-06	2.760355732e-06	5.018384681e-06	2.505247486e-06	0	7.427445993e-06	1.931521877e-05	8.554566114e-06	3.007587143e-05									
O43852	CALU	2	34960.6550	single	1	458	262.7478638	168.8468506	19	0	0	283.1544189	183.3214828	29	0	0	353.0606995	751.4398973	13	0	0										0.001859920981	0.0006646998459	0.003055142116	0.001575419327	0.0005554521722	0.002595386482	0.001673198584	0	0.005234365755
O60237	PPP1R12B	1	110402.1150	summed:2	2	2590;2591	25.58034754	96.9487848	18	0.2384219574	0	9.833732128	10.12439052	28	0	0	4.756711006	71.8800794	11	0	0	5.343732838e-05	0	0.000255963273	1.809226122e-05	0	3.671928051e-05	8.71197863e-06	0	0.0001403612873									
O60662	KLHL41	1;2	68036.2950	single	1	1666	3417.554932	1147.417277	19	0	0	2979.718506	1110.977134	29	0	0	2567.240723	1312.079278	13	0	0	0.004399639199	0.002922494829	0.00587678357	0.003378414839	0.002118785237	0.004638044442	0.002897609722	0.001416683668	0.004378535775	0.04707950614	0.03127293103	0.06288608125	0.03226332763	0.02023406406	0.0442925912	0.0236769523	0.01157600742	0.03577789717
O60706	ABCC9	1	174220.8200	single	1	18	0.6835974455	0.5002903706	5	0	0	1.222521782	0.7054819345	9	0	0	2.902044296	2.490207904	10	0	0	2.253519851e-06	6.042827322e-07	3.902756969e-06	3.549390165e-06	1.501139837e-06	5.597640492e-06	8.387581093e-06	1.19030269e-06	1.55848595e-05									
O60936	NOL3	2	22497.9100	single	1	2230	7.319585323	26.30098368	11	0	0	53.02427292	58.66310386	19	0	0	31.6919384	50.50769336	7	0	0										3.334297846e-05	0	0.0001531521061	0.0001898498078	0	0.0003998890668	9.665170701e-05	0	0.0002506862983
O75052	NOS1AP	1;2	56148.8250	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O75112	LDB3	1	77133.6800	summed:3	3	1716;1717;1718	2987.157357	1064.613467	19	0.07529151446	0	2836.040569	1052.958264	29	0.09311629311	0	2404.442677	473.5047923	13	0.1196451818	0	0.004359764754	0.002805958337	0.005913571172	0.003645470374	0.002291988976	0.004998951772	0.003076742289	0.002470842122	0.003682642456									
O75147	OBSL1	1	206944.0350	single	1	2298	165.0799141	232.4369962	8	0	0	18.33465958	174.8413773	16	0	0	99.4587357	201.7451051	6	0	0	0.0006464099761	0	0.001556572754	6.322995107e-05	0	0.0006661978811	0.0003414510782	0	0.001034060764									
O75190	DNAJB6	1	35955.3900	single	1	915	8.92163229	23.60856464	8	0	0	10.76388931	13.0249174	14	0	0	11.31208229	10.20906211	7	0	0	6.06972796e-06	0	2.21315382e-05	6.449563296e-06	0	1.425390119e-05	6.747442635e-06	6.579306247e-07	1.283695465e-05									
O75298	RTN2	1;2	59262.8000	single	1	2976	777.3400879	340.4576818	19	0	0	784.8884583	419.8051229	28	0	0	1383.297119	1361.903912	13	0	0	0.0008716740866	0.00048990021	0.001253447963	0.0007751525712	0.0003605547809	0.001189750362	0.001359972983	2.103249042e-05	0.002698913475	0.009327579753	0.00524230713	0.01341285237	0.007402584513	0.003443241159	0.01136192787	0.01111261299	0.0001718607129	0.02205336527
O75369	FLNB	1	278161.3150	single	1	1199	4.433450699	83.03830267	19	0	0	4.052383423	37.07698498	27	0	0	2.962204218	109.503969	13	0	0	2.33345547e-05	0	0.0004603895594	1.878470344e-05	0	0.0001906539702	1.366923998e-05	0	0.000518980799									
O75628	REM1	1	32946.4850	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
O75880	SCO1	1	26305.6750	single	1	3033	50.85065842	52.99795672	19	0	0	31.65586281	18.3094118	26	0	0	35.92030907	85.06955816	12	0	0	2.531086189e-05	0	5.169053927e-05	1.387716294e-05	5.850760613e-06	2.190356526e-05	1.567552722e-05	0	5.279965584e-05									
O76003	GLRX3	1	37300.3250	single	1	1285	9.795765877	15.21965253	6	0	0	10.4657836	669.3292662	12	0	0	8.451544285	4.658542571	4	0	0	6.913722054e-06	0	1.76555516e-05	6.505511495e-06	0	0.0004225593306	5.229754818e-06	2.347082181e-06	8.112427456e-06									
O76041	NEBL	1	116451.8350	single	1	2185	10.52801466	23.34252948	8	0	0	7.729762077	23.97682135	22	0	0	5.426368952	27.47247936	10	0	0	2.319816968e-05	0	7.46327447e-05	1.500063159e-05	0	6.153084303e-05	1.048306544e-05	0	6.355645604e-05									
O94875	SORBS2	1	124105.5850	summed:2	2	3246;3247	14.87177749	36.14601488	10	0.1063124192	0	23.3168571	79.10064124	15	0.1039654835	0	106.0954628	173.062509	5	0.06000480579	0	3.492328663e-05	0	0.0001198047098	4.822346577e-05	0	0.000211817858	0.0002184342718	0	0.0005747434119									
O95393	BMP10	1	12160.0550	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
O95425	SVIL	1	247742.8650	single	1	3373	31.97959137	25.86942743	19	0	0	35.71483994	30.4847146	29	0	0	23.28084946	19.66592343	13	0	0	0.0001499115067	2.864276382e-05	0.0002711802496	0.0001474507364	2.159286823e-05	0.0002733086047	9.568252325e-05	1.485707144e-05	0.0001765079751									
O95479	H6PD	2	86814.4250	single	1	1375	7.372769833	8.754389718	15	0	0	4.57558012	12.75852919	23	0	0	8.507160664	49.05037144	12	0	0										0.0001295980026	0	0.0002834820174	6.321662734e-05	0	0.0002394896165	0.000100114061	0	0.0006773491778
O95749	GGPS1	1	34870.3750	single	1	1272	13.55636597	6.479234347	2	0	0	8.193623304	10.54138292	4	0	0	0	0	0	0	0	8.944597569e-06	4.669547461e-06	1.321964768e-05	4.76134547e-06	0	1.088698292e-05	0	0	0									
O95817	BAG3	1	61462.4650	single	1	351	161.7134247	86.78293217	19	0	0	205.6227264	162.9886116	29	0	0	168.0964355	155.9957827	13	0	0	0.0001880688859	8.714238953e-05	0.0002889953823	0.0002106096031	4.366810113e-05	0.000377551105	0.0001713961727	1.233818891e-05	0.0003304541565									
P02144	MB	2	17052.3600	summed:2	2	1850;1851	6735.436678	21342.17983	19	0.003460179298	0	25701.64854	56386.53742	29	0.005813408002	0	16081.76503	68814.53494	13	0.002565708651	0										0.02325551649	0	0.09694389611	0.06974912084	0	0.2227708776	0.03717378266	0	0.1962419298
P02511	CRYAB	1	20158.5700	single	1	749	3788.567871	4886.360627	19	0	0	7354.317871	5941.085781	29	0	0	6780.352539	6243.076378	13	0	0	0.001445092664	0	0.003308921989	0.002470581588	0.000474755816	0.00446640736	0.002267486122	0.0001796759436	0.004355296301									
P02585	TNNC2	1	17990.6500	single	1	3530	953.1522217	6149.827422	19	0	0	81500.4375	153817.4169	29	0	0	89661.71875	215665.8325	13	0	0	0.0003244666184	0	0.002417955635	0.02443452365	0	0.07055029219	0.02676002752	0	0.09112666796									
P02730	SLC4A1	1	101790.6500	single	1	3178	7.007249355	40.4999531	14	0	0	3.804277182	10.35254177	21	0	0	4.025314093	20.84781625	8	0	0	1.349635096e-05	0	9.150150725e-05	6.453229675e-06	0	2.401433959e-05	6.797360489e-06	0	4.200209712e-05									
P04075	ALDOA	1	39288.2700	single	1	164	1483.846802	5470.951729	19	0	0	21545.88672	24753.95696	29	0	0	23892.01758	39160.32082	13	0	0	0.001103094893	0	0.005170212137	0.01410666523	0	0.0303137394	0.01557214262	0	0.0410957343									
P04792	HSPB1	1	22782.1300	single	1	1510	571.7443848	1402.13703	19	0	0	2110.19458	2518.035093	29	0	0	1547.243286	3464.612494	13	0	0	0.0002464660683	0	0.0008508956177	0.0008011501369	0	0.001757139778	0.0005847706594	0	0.001894198692									
P05413	FABP3	2	14726.6650	single	1	1125	251.7586517	1423.531185	19	0	0	847.5373535	3331.326554	29	0	0	563.3974609	2755.610373	13	0	0										0.0007506967763	0	0.004995398058	0.00198635341	0	0.009793905293	0.001124702974	0	0.006625691879
P05787	KRT8	1	53703.4600	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
P05976	MYL1	1	21013.6500	summed:2	2	2066;2067	8087.049911	5560.012184	19	0.01389544456	0	33820.46452	43675.3151	29	0.001895338901	0	32575.56021	30727.07917	13	0.0007488495514	0	0.003215529671	0.001004787269	0.005426272073	0.01184344766	0	0.02713792441	0.01135601687	0.0006443905111	0.02206764323									
P06396	GSN	2	82957.9600	summed:2	2	1343;1344	61.03657818	120.7689697	19	0.1340408616	0	56.5447588	527.3933644	29	0.1335909544	0	137.9804049	531.2914311	13	0.2001992274	0										0.001025236316	0	0.003053802418	0.0007465238452	0	0.007709357018	0.001551650941	0	0.007526259075
P06733	ENO1	1	47037.2200	single	1	1061	1594.640869	453.0831041	19	0	0	1874.470825	1407.863641	29	0	0	2845.685059	10389.09147	13	0	0	0.001419271363	0.001016015754	0.001822526972	0.001469323463	0.0003657548973	0.002572892029	0.002220552886	0	0.01032739767									
P06753	TPM3	1	32818.2550	summed:4	4	3570;3571;3572;3573	59116.36347	42924.96253	19	0.0003589350704	0	25211.08729	77646.08411	29	0.00286167287	0	24597.96764	23221.59526	13	0.007069739916	0	0.03670997589	0.0100545078	0.06336544397	0.01378809108	0	0.05625318857	0.01339205895	0.0007493489049	0.026034769									
P07451	CA3	1	29425.7900	single	1	441	380.8594055	2567.612086	19	0	0	1419.54541	6203.95778	29	0	0	1834.927246	7299.582705	13	0	0	0.0002120575404	0	0.0016416704	0.0006961045995	0	0.003738348627	0.0008957351606	0	0.004459087822									
P07951	TPM2	1	32850.2550	summed:4	4	3566;3567;3568;3569	30152.8707	23345.78328	19	0.004011382215	0	30010.42721	95997.15741	29	0.004954119874	0	27697.1087	35263.26945	13	0.00649066908	0	0.01874253429	0.004231174891	0.03325389368	0.01642888181	0	0.068981481	0.01509405131	0	0.03431142177									
P07996	THBS1	2	127494.0350	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0
P08253	MMP2	1	62058.6800	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
P08590	MYL3	1	21800.6450	single	1	2070	62341.82422	51125.96865	19	0	0	5355.384766	10197.77089	29	0	0	6341.003418	4522.089073	13	0	0	0.02571637515	0.004626607469	0.04680614283	0.001945615888	0	0.005650474815	0.002293295251	0.0006578308439	0.003928759657									
P08727	KRT19	1	44105.2650	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
P09493	TPM1	1	32708.0250	summed:4	4	3562;3563;3564;3565	829.8860273	3675.228534	19	0.0204892028	0	34849.6404	63503.02623	29	0.001854388682	0	25722.34556	35771.96377	13	0.002487875702	0	0.0005136102437	0	0.002788181643	0.01899545517	0	0.05360897983	0.01395717522	0	0.03336736335									
P0CAP1	MYZAP	1	52246.5050	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
P0CAP2	POLR2M	1	41738.8750	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
P0DMT0	MRLN	2	5194.2050	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0
P0DN84	STRIT1	2	3835.7100	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0										0	0	0	0	0	0	0	0	0
P0DP23	CALM1	1	16706.2050	shared_split	0	454	142.7441711	0	0	0	285.4883423	282.4049377	0	0	0	564.8098755	366.6392517	0	0	0	733.2785034	4.512290928e-05	4.512290928e-05	9.024581856e-05	7.862255889e-05	7.862255889e-05	0.0001572451178	0.0001016130309	0.0001016130309	0.0002032260618									
P0DP24	CALM2	1	16706.2050	shared_split	0	454	142.7441711	0	0	0	285.4883423	282.4049377	0	0	0	564.8098755	366.6392517	0	0	0	733.2785034	4.512290928e-05	4.512290928e-05	9.024581856e-05	7.862255889e-05	7.862255889e-05	0.0001572451178	0.0001016130309	0.0001016130309	0.0002032260618									
P0DP25	CALM3	1	16706.2050	none	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
P10916	MYL2	1	18657.9000	single	1	2069	66804.35938	19179.82229	19	0	0	120.798439	3551.989955	23	0	0	616.4472046	1586.347463	11	0	0	0.02358459746	0.01681335689	0.03035583802	3.755961792e-05	0	0.001141972776	0.0001908056761	0	0.0006818195019									
P11055	MYH3	1	223901.3450	single	1	2059	1753.500977	495.4539001	19	0	0	1782.352417	597.7670558	29	0	0	2616.046387	547.1627039	13	0	0	0.0074288847	0.005329844011	0.009527925388	0.006650393823	0.004419978391	0.008880809255	0.009717057761	0.007684673463	0.01174944206									
P11166	SLC2A1	1	54083.0650	single	1	3168	0	0	0	0	0	6.561179638	0	1	0	0	0	0	0	0	0	0	0	0	5.913441526e-06	5.913441526e-06	5.913441526e-06	0	0	0									
P11532	DMD	1	426770.3300	single	1	902	156.5318451	74.76576191	19	0	0	197.2488098	5712.694975	29	0	0	231.0782318	185.5724254	13	0	0	0.001264031295	0.0006602802643	0.001867782327	0.001402832092	0	0.04203147694	0.001636009781	0.0003221763634	0.002949843199									
P12109	COL6A1	1;2	106476.7900	single	1	670	26.64467049	48.26639546	17	0	0	63.04693222	50.9683309	20	0	0	14.95403576	10.48598341	12	0	0	5.368169335e-05	0	0.0001509252243	0.0001118706062	2.143229502e-05	0.0002023089173	2.641471967e-05	7.892341055e-06	4.493709829e-05	0.0005744351974	0	0.001615015392	0.001068346604	0.0002046750293	0.001932018178	0.0002158399914	6.448990741e-05	0.0003671900755
