accession	gene	tier	n_chain_features	chain_features_as_recorded	master_ranges_resolved	length
O00763	ACACB	2	1	PRO_0000146767 (UNKNOWN)-2458	1-2458	2458
O43615	TIMM44	2	1	PRO_0000034314 (UNKNOWN)-452	1-452	452
O75339	CILP	2	3	PRO_0000014671 22-1184; PRO_0000014672 22-724(UNSURE); PRO_0000014673 725(UNSURE)-1184	22-1184	1184
O75487	GPC4	2	2	PRO_0000012315 19-529; PRO_0000333847 19-(UNKNOWN)	19-556	556
P01857	IGHG1	2	1	PRO_0000153578 1(OUTSIDE)-399	1-399	399
P01859	IGHG2	2	1	PRO_0000153579 1(OUTSIDE)-395	1-395	395
P01860	IGHG3	2	1	PRO_0000153580 1(OUTSIDE)-446	1-446	446
P01861	IGHG4	2	1	PRO_0000153581 1(OUTSIDE)-396	1-396	396
P01871	IGHM	2	1	PRO_0000153619 1(OUTSIDE)-474	1-474	474
P01876	IGHA1	2	1	PRO_0000153566 1(OUTSIDE)-398	1-398	398
P01877	IGHA2	2	1	PRO_0000153567 1(OUTSIDE)-391	1-391	391
P02751	FN1	2	5	PRO_0000019235 32-2477; PRO_0000390479 627-702; PRO_0000300249 723-911; PRO_0000300250 723-903; PRO_0000300251 723-(UNKNOWN)	32-2477	2477
P0CF74	IGLC6	2	1	PRO_0000393469 1(OUTSIDE)-106	1-106	106
P0CG04	IGLC1	2	1	PRO_0000153607 1(OUTSIDE)-106	1-106	106
P0DOY2	IGLC2	2	1	PRO_0000394665 1(OUTSIDE)-106	1-106	106
P0DOY3	IGLC3	2	1	PRO_0000394666 1(OUTSIDE)-106	1-106	106
P13747	HLA-E	2	2	PRO_0000018882 22-358; PRO_0000445757 22-(UNKNOWN)	22-358	358
P17693	HLA-G	2	2	PRO_0000018886 25-338; PRO_0000445908 (UNKNOWN)-338	1-338	338
P19320	VCAM1	2	2	PRO_0000014997 25-739; PRO_0000457762 25-(UNKNOWN)	25-739	739
P35052	GPC1	2	2	PRO_0000012295 24-530; PRO_0000333837 24-(UNKNOWN)	24-558	558
P39060	COL18A1	2	3	PRO_0000005793 24-1754; PRO_0000005794 1572-1754; PRO_0000441861 (UNKNOWN)-1754	1-1754	1754
P49406	MRPL19	2	1	PRO_0000030473 (UNKNOWN)-292	1-292	292
P49753	ACOT2	2	1	PRO_0000202147 (UNKNOWN)-483	1-483	483
P82933	MRPS9	2	1	PRO_0000030655 (UNKNOWN)-396	1-396	396
Q07954	LRP1	2	4	PRO_0000017317 20-4544; PRO_0000302750 20-3943(UNSURE); PRO_0000302751 3944(UNSURE)-4544; PRO_0000302752 4441(UNSURE)-4544	20-4544	4544
Q14517	FAT1	2	2	PRO_0000004017 22-4588; PRO_0000408559 (UNKNOWN)-4588	1-4588	4588
Q15031	LARS2	2	1	PRO_0000035806 (UNKNOWN)-903	1-903	903
Q15070	OXA1L	2	1	PRO_0000020352 (UNKNOWN)-435	1-435	435
Q15119	PDK2	2	1	PRO_0000023440 (UNKNOWN)-407	1-407	407
Q16654	PDK4	2	1	PRO_0000023445 (UNKNOWN)-411	1-411	411
Q16798	ME3	2	1	PRO_0000018539 (UNKNOWN)-604	1-604	604
Q86VB7	CD163	2	2	PRO_0000238938 42-1156; PRO_0000238939 42-(UNKNOWN)	42-1156	1156
Q8IWW8	ADHFE1	2	1	PRO_0000322996 (UNKNOWN)-467	1-467	467
Q8N183	NDUFAF2	2	1	PRO_0000020054 (UNKNOWN)-169	1-169	169
Q8N983	MRPL43	2	1	PRO_0000030561 (UNKNOWN)-215	1-215	215
Q8NFV4	ABHD11	2	1	PRO_0000281003 (UNKNOWN)-306	1-306	306
Q96E52	OMA1	2	1	PRO_0000302809 144-(UNKNOWN)	144-524	524
Q96EL3	MRPL53	2	1	PRO_0000261664 (UNKNOWN)-112	1-112	112
Q96EY1	DNAJA3	2	1	PRO_0000007256 (UNKNOWN)-480	1-480	480
Q96HY7	DHTKD1	2	1	PRO_0000307936 (UNKNOWN)-919	1-919	919
Q99497	PARK7	2	1	PRO_0000157849 2-(UNKNOWN)	2-189	189
Q9BRJ2	MRPL45	2	1	PRO_0000030563 (UNKNOWN)-306	1-306	306
Q9BVS5	TRMT61B	2	1	PRO_0000311814 (UNKNOWN)-477	1-477	477
Q9BVT8	TMUB1	2	2	PRO_0000114922 1-246; PRO_0000435488 (UNKNOWN)-246	1-246	246
Q9BW92	TARS2	2	1	PRO_0000254586 (UNKNOWN)-718	1-718	718
Q9GZT3	SLIRP	2	1	PRO_0000247051 (UNKNOWN)-109	1-109	109
Q9H0U6	MRPL18	2	1	PRO_0000030556 (UNKNOWN)-180	1-180	180
Q9H2W6	MRPL46	2	1	PRO_0000030576 (UNKNOWN)-279	1-279	279
Q9HA77	CARS2	2	1	PRO_0000250741 (UNKNOWN)-564	1-564	564
Q9HD33	MRPL47	2	1	PRO_0000030567 (UNKNOWN)-250	1-250	250
Q9NTG7	SIRT3	2	1	PRO_0000032612 (UNKNOWN)-399	1-399	399
Q9Y3B7	MRPL11	2	1	PRO_0000030443 (UNKNOWN)-192	1-192	192
Q9Y697	NFS1	2	1	PRO_0000001292 (UNKNOWN)-457	1-457	457
Q9Y6N5	SQOR	2	1	PRO_0000022408 (UNKNOWN)-450	1-450	450
