# GENERATED by aggregate_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T21:23:42Z
# category    = blood
# weights     = config/blood/mass_fractions_per_entry.tsv sha256 d5d00d8c5fe238e919e7aba60d9baa73dba2ef04b437eba62d30d1461b57bcf2
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# mix         = config/blood/compartment_mix.ini sha256 2c6265a329b59fc9420a0089c784da983ee83aee1260b77b910a111eeee9e785 (reference male)
# profile[a] = 100 x sum_i w_i x mass fraction of a in entry i (D105 weights are mass shares); standard = f_plasma x plasma + (1 - f_plasma) x erythrocytes (D100)
# free convention; histidine: the thirty entries contributing most, with their weight in the profile, their own histidine content and their share of the profile's histidine
profile	accession	gene	weight_in_profile	histidine_g_per_100g_of_entry	contribution_g_per_100g	share_of_histidine	cumulative_share
erythrocytes	P68871	HBB	0.2682579554	7.556333608	2.027046604	0.3501967029	0.3501967029
erythrocytes	P69905	HBA1	0.2276286472	8.791264832	2.001143721	0.345721668	0.695918371
erythrocytes	P00915	CA1	0.05250479068	5.109051372	0.2682496729	0.04634336024	0.7422617312
erythrocytes	P02042	HBD	0.04081668691	5.859053628	0.2391471575	0.04131555037	0.7835772816
erythrocytes	P04040	CAT	0.01988345131	4.940939753	0.098242935	0.01697264969	0.8005499313
erythrocytes	P00918	CA2	0.01725974607	5.514438006	0.0951777997	0.01644311067	0.816993042
erythrocytes	P11277	SPTB	0.02352965618	3.54106368	0.0833200109	0.01439453491	0.8313875769
erythrocytes	P30043	BLVRB	0.01474857252	5.441121058	0.08024876851	0.01386394082	0.8452515177
erythrocytes	P02730	SLC4A1	0.03152240535	2.363004223	0.07448757696	0.01286862562	0.8581201433
erythrocytes	P02549	SPTA1	0.02206437582	3.260564477	0.07194232001	0.01242890184	0.8705490451
erythrocytes	P32119	PRDX2	0.03459605098	1.840348166	0.06366877897	0.01099954803	0.8815485932
erythrocytes	P16157	ANK1	0.01323279281	4.651983665	0.06155873599	0.0106350127	0.8921836059
erythrocytes	P69892	HBG2	0.005437438639	5.836719119	0.03173680206	0.005482914612	0.8976665205
erythrocytes	P60709	ACTB	0.006882960763	2.880628892	0.01982725564	0.003425397097	0.9010919176
erythrocytes	Q13228	SELENBP1	0.005423654769	3.321387897	0.01801406131	0.003112145949	0.9042040635
erythrocytes	P04406	GAPDH	0.00480953054	3.701041707	0.01780027312	0.003075211465	0.907279275
erythrocytes	P00441	SOD1	0.002648520909	6.693742925	0.0177285181	0.003062814921	0.9103420899
erythrocytes	P07738	BPGM	0.004671350227	3.59732664	0.01680437262	0.002903157665	0.9132452476
erythrocytes	P16452	EPB42	0.004413784716	2.25889809	0.009970289865	0.001722487599	0.9149677352
erythrocytes	P30041	PRDX6	0.006126189901	1.610398166	0.009865604981	0.001704402025	0.9166721372
erythrocytes	P07195	LDHB	0.003759204946	2.556144326	0.009609070393	0.001660082587	0.9183322198
erythrocytes	P04075	ALDOA	0.002965661125	3.048153557	0.009039790507	0.001561732633	0.9198939524
erythrocytes	P13716	ALAD	0.002728583988	3.30721854	0.009024023553	0.001559008702	0.9214529611
erythrocytes	P62979	RPS27A	0.002850837625	2.989823231	0.008523500559	0.00147253733	0.9229254985
erythrocytes	P11171	EPB41	0.002779697471	3.032362494	0.008429050356	0.00145621992	0.9243817184
erythrocytes	P00491	PNP	0.002487092632	3.327095699	0.008274795199	0.001429570485	0.9258112889
erythrocytes	Q96RQ1	ERGIC2	0.001274617982	6.291348433	0.008019065844	0.00138539016	0.927196679
erythrocytes	P02008	HBZ	0.001314215662	6.024360371	0.007917308753	0.001367810398	0.9285644894
erythrocytes	Q06830	PRDX1	0.002576286636	2.431071332	0.006263136584	0.001082032242	0.9296465217
erythrocytes	P62937	PPIA	0.001981796199	2.959911937	0.005865942226	0.001013412135	0.9306599338
plasma	P02768	ALB	0.2398429732	3.224221038	0.77330676	0.2656521868	0.2656521868
plasma	P01009	SERPINA1	0.07153309225	3.923736392	0.2806769973	0.0964202849	0.3620724717
plasma	P01023	A2M	0.07047693348	3.236966767	0.2281314915	0.07836945535	0.440441927
plasma	P02647	APOA1	0.08088481551	2.784724549	0.2252419314	0.0773768118	0.5178187388
plasma	P01857	IGHG1	0.05172339215	2.733579777	0.1413900188	0.0485713686	0.5663901074
plasma	P02787	TF	0.0408448212	3.372482279	0.1377484357	0.04732038443	0.6137104919
plasma	P00738	HP	0.02676498469	4.008218542	0.1072799079	0.03685360533	0.6505640972
plasma	P02671	FGA	0.03605263396	2.772875719	0.09996947331	0.03434226955	0.6849063668
plasma	P02679	FGG	0.03060462055	3.039082027	0.09300995226	0.03195148224	0.716857849
plasma	P01024	C3	0.03391540435	2.025328778	0.06868984445	0.02359685487	0.7404547039
plasma	P04114	APOB	0.01745769892	2.975181605	0.05193982469	0.0178427614	0.7582974653
plasma	P01871	IGHM	0.02146629035	2.310156001	0.04959047947	0.01703569657	0.7753331618
plasma	P01876	IGHA1	0.02234482714	2.172106082	0.04853533493	0.01667322533	0.7920063872
plasma	P02675	FGB	0.02233093972	1.847116479	0.04124784675	0.01416977228	0.8061761594
plasma	P01859	IGHG2	0.01527063157	2.438353102	0.03723519186	0.01279131472	0.8189674742
plasma	P01834	IGKC	0.0162527554	2.269190492	0.03688059802	0.01266950196	0.8316369761
plasma	P02790	HPX	0.007016604526	5.15490779	0.03616994933	0.01242537455	0.8440623507
plasma	P0C0L5	C4B	0.01023757271	2.753682898	0.02819102889	0.009684395455	0.8537467461
plasma	P00450	CP	0.005894500369	4.57887969	0.02699020802	0.009271880389	0.8630186265
plasma	P02766	TTR	0.005562461259	3.871215647	0.02153348706	0.007397346335	0.8704159729
plasma	P01042	KNG1	0.00343414954	5.926486991	0.02035244257	0.006991625001	0.8774075979
plasma	B9A064	IGLL5	0.009784012508	2.07003473	0.02025324569	0.006957548137	0.884365146
plasma	P0DOY3	IGLC3	0.007287473753	2.358443959	0.01718709845	0.005904242047	0.890269388
plasma	P06727	APOA4	0.006940759549	2.475945211	0.01718494037	0.005903500686	0.8961728887
plasma	P0DOY2	IGLC2	0.007287473753	2.353433715	0.01715058643	0.005891699161	0.9020645879
plasma	P19823	ITIH2	0.005995798087	2.767013372	0.01659045348	0.005699278056	0.9077638659
plasma	P01011	SERPINA3	0.0060664832	2.662093944	0.01614954819	0.005547814934	0.9133116809
plasma	P02763	ORM1	0.007794477348	1.871785602	0.01458959048	0.005011926463	0.9183236073
plasma	P10909	CLU	0.00379041707	3.493384661	0.01324138485	0.00454878067	0.922872388
plasma	P04217	A1BG	0.003182562925	4.107080578	0.01307104238	0.004490263335	0.9273626514
standard	P68871	HBB	0.2330936374	7.556333608	1.761333286	0.3255015578	0.3255015578
standard	P69905	HBA1	0.1977901802	8.791264832	1.738825856	0.3213420931	0.646843651
standard	P00915	CA1	0.04562225423	5.109051372	0.2330864406	0.04307532261	0.6899189736
standard	P02042	HBD	0.03546627351	5.859053628	0.2077987985	0.03840206346	0.7283210371
standard	P02768	ALB	0.03143956931	3.224221038	0.1013681208	0.01873324117	0.7470542782
standard	P04040	CAT	0.01727704956	4.940939753	0.08536486098	0.01577577364	0.7628300519
standard	P00918	CA2	0.01499727002	5.514438006	0.08270151578	0.01528357662	0.7781136285
standard	P11277	SPTB	0.02044529542	3.54106368	0.07239809302	0.01337946217	0.7914930907
standard	P30043	BLVRB	0.01281527107	5.441121058	0.06972944128	0.01288628447	0.8043793751
standard	P02730	SLC4A1	0.02739032329	2.363004223	0.06472344959	0.01196115683	0.816340532
standard	P02549	SPTA1	0.01917208982	3.260564477	0.06251183503	0.01155244146	0.8278929734
standard	P32119	PRDX2	0.03006178088	1.840348166	0.0553241433	0.01022412679	0.8381171002
standard	P16157	ANK1	0.01149818578	4.651983665	0.05348937244	0.009885053667	0.8480021539
standard	P01009	SERPINA1	0.009378879147	3.923736392	0.03680024943	0.006800835828	0.8548029897
