# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T18:34:53Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# D113: per immunoglobulin entry of the pool; bound = w x L_V / L_C for a constant-region entry
pool	accession	gene	chain	segment_class	w	L_C_master_residues	L_V_mean_residues	variable_mass_bound	how
plasma	A0M8Q6	IGLC7	IGL	constant	8.515947968e-05	106	97.72727273	7.851324241e-05	w x L_V/L_C (L_V = mean of 11 V entries)
plasma	B9A064	IGLL5	IGL	constant	0.009784012508	179	97.72727273	0.005341703122	w x L_V/L_C (L_V = mean of 11 V entries)
plasma	P01593	IGKV1D-33	IGK	variable_segment	0.0009327848936	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01594	IGKV1-33	IGK	variable_segment	3.362647212e-05	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01597	IGKV1-39	IGK	variable_segment	0.0001129669758	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01599	IGKV1-17	IGK	variable_segment	6.048170133e-06	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01602	IGKV1-5	IGK	variable_segment	0.000615485816	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01611	IGKV1D-12	IGK	variable_segment	8.931676797e-05	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01615	IGKV2D-28	IGK	variable_segment	0.001323481879	101	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01619	IGKV3-20	IGK	variable_segment	0.006310862508	96	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01624	IGKV3-15	IGK	variable_segment	0.0004751186113	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P01699	IGLV1-44	IGL	variable_segment	1.088330999e-06	98	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01700	IGLV1-47	IGL	variable_segment	0.0001115298195	98	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01701	IGLV1-51	IGL	variable_segment	0.0002481623993	98	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01703	IGLV1-40	IGL	variable_segment	0.0005215752792	99	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01704	IGLV2-14	IGL	variable_segment	6.806659084e-05	101	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01706	IGLV2-11	IGL	variable_segment	0.0001581055078	100	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01714	IGLV3-19	IGL	variable_segment	0.0001617189822	92	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01717	IGLV3-25	IGL	variable_segment	0.0001572244193	93	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01721	IGLV6-57	IGL	variable_segment	2.794255352e-05	98	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P01742	IGHV1-69	IGH	variable_segment	4.53830834e-05	98	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01743	IGHV1-46	IGH	variable_segment	1.474704479e-05	98	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01763	IGHV3-48	IGH	variable_segment	3.10983967e-05	98	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01764	IGHV3-23	IGH	variable_segment	0.001407214976	98	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01766	IGHV3-13	IGH	variable_segment	0.0009359292048	97	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01767	IGHV3-53	IGH	variable_segment	5.752094326e-05	97	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01772	IGHV3-33	IGH	variable_segment	0.0001520918699	98	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01780	IGHV3-7	IGH	variable_segment	8.953998128e-06	98	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01782	IGHV3-9	IGH	variable_segment	0.0002005409183	99	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01814	IGHV2-70	IGH	variable_segment	6.046930808e-05	100	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01824	IGHV4-39	IGH	variable_segment	2.508470507e-05	99	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P01834	IGKC	IGK	constant	0.0162527554	107	96.38461538	0.0146403325	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P01857	IGHG1	IGH	constant	0.05172339215	399	98.07692308	0.01271396279	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P01859	IGHG2	IGH	constant	0.01527063157	395	98.07692308	0.003791636856	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P01860	IGHG3	IGH	constant	0.001324350681	446	98.07692308	0.0002912292374	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P01861	IGHG4	IGH	constant	0.002702819224	396	98.07692308	0.0006694045281	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P01871	IGHM	IGH	constant	0.02146629035	474	98.07692308	0.00444166183	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P01876	IGHA1	IGH	constant	0.02234482714	398	98.07692308	0.005506311287	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P01877	IGHA2	IGH	constant	0.000238457507	391	98.07692308	5.981375594e-05	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P01880	IGHD	IGH	constant	3.327254333e-05	430	98.07692308	7.588996912e-06	w x L_V/L_C (L_V = mean of 13 V entries)
plasma	P04211	IGLV7-43	IGL	variable_segment	0.0003446640598	98	97.72727273	0	measured variable-region entry (recovered under D111); no bound
plasma	P04430	IGKV1-16	IGK	variable_segment	8.243184099e-05	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P04433	IGKV3-11	IGK	variable_segment	0.001923189146	95	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P06310	IGKV2-30	IGK	variable_segment	0.0003460533033	100	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P06312	IGKV4-1	IGK	variable_segment	0.001547126117	101	96.38461538	0	measured variable-region entry (recovered under D111); no bound
plasma	P06331	IGHV4-34	IGH	variable_segment	1.357172338e-05	97	98.07692308	0	measured variable-region entry (recovered under D111); no bound
plasma	P0DOY2	IGLC2	IGL	constant	0.007287473753	106	97.72727273	0.006718725801	w x L_V/L_C (L_V = mean of 11 V entries)
