accession	gene	tier	n_sites_total	n_sites_in_master	n_sites_with_mass	n_sites_count_only	n_modified_residue	n_lipidation	n_glycosylation	n_cross_link	n_disulfide_bond	sum_mass_delta_g_per_mol	mw_master	ptm_mass_delta_fraction_of_mw
A0A087WW87	IGKV2-40	erythrocytes	1	1	1	0	0	0	0	0	1	-2.016	11245.3650	-0.0001792738608
A0AVT1	UBA6	erythrocytes	6	6	6	0	6	0	0	0	0	366.06	117968.2850	0.003103037397
A0FGR8	ESYT2	erythrocytes	11	11	11	0	11	0	0	0	0	879.78	102355.8400	0.008595308289
A0M8Q6	IGLC7	plasma	2	2	1	1	0	0	0	0	2	-2.016	11253.4650	-0.0001791448234
A1A5C7	SLC22A23	erythrocytes	2	2	0	2	0	0	2	0	0	0	73747.1650	0
A1IGU5	ARHGEF37	erythrocytes	0	0	0	0	0	0	0	0	0	0	76276.8700	0
A1KZ92	PXDNL	erythrocytes	11	11	10	1	0	0	1	0	10	-20.16	161036.3550	-0.0001251891227
A1L0T0	HACL2	erythrocytes	0	0	0	0	0	0	0	0	0	0	67866.7650	0
A2RRP1	NBAS	erythrocytes	3	3	3	0	3	0	0	0	0	202	268566.9700	0.0007521401459
A2RU67	FAM234B	erythrocytes	5	5	5	0	5	0	0	0	0	399.9	67037.5250	0.005965315694
A4D1P6	WDR91	erythrocytes	3	3	3	0	3	0	0	0	0	239.94	83343.1600	0.002878940515
A5A3E0	POTEF	erythrocytes	0	0	0	0	0	0	0	0	0	0	121443.0300	0
A5D8V6	VPS37C	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	38658.3500	0.002068893266
A5LHX3	PSMB11	erythrocytes	0	0	0	0	0	0	0	0	0	0	27232.0000	0
A5PL33	KRABD3	erythrocytes	7	7	7	0	7	0	0	0	0	559.86	107495.8250	0.005208202272
A5YM69	ARHGEF35	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	53285.9050	0.001500959775
A6BM72	MEGF11	erythrocytes	46	46	44	2	0	0	2	0	44	-88.704	108864.8100	-0.0008148087522
A6NCL7	ANKRD33B	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	53974.3050	0.001481816209
A6ND91	ASPDH	erythrocytes	2	2	2	0	2	0	0	0	0	159.96	29945.7400	0.005341661285
A6NDG6	PGP	erythrocytes	1	1	1	0	0	0	0	0	1	-2.016	34005.6300	-5.928430086e-05
A6NEM1	GOLGA6L9	erythrocytes	0	0	0	0	0	0	0	0	0	0	49191.9350	0
A6NFX1	MFSD2B	erythrocytes	0	0	0	0	0	0	0	0	0	0	53742.2450	0
A6NKB5	PCNX2	erythrocytes	11	11	0	11	0	0	11	0	0	0	237273.0800	0
A6NLC8	TAF11L2	erythrocytes	0	0	0	0	0	0	0	0	0	0	21961.8650	0
A6NNT2	C16orf96	erythrocytes	0	0	0	0	0	0	0	0	0	0	125039.2500	0
A8MVS5	HIDE1	erythrocytes	2	2	0	2	0	0	2	0	0	0	22814.4500	0
B2RUZ4	SMIM1	erythrocytes	5	5	5	0	5	0	0	0	0	361.96	8749.0150	0.04137151439
B5MCY1	TDRD15	erythrocytes	0	0	0	0	0	0	0	0	0	0	221718.9250	0
B7ZAQ6	GPHRA	erythrocytes	2	2	0	2	0	0	2	0	0	0	52916.1700	0
B9A064	IGLL5	plasma	1	1	1	0	0	0	0	0	1	-2.016	19278.4600	-0.0001045726681
C9J7I0	UMAD1	erythrocytes	0	0	0	0	0	0	0	0	0	0	15199.5700	0
E9PAV3	NACA	erythrocytes	14	14	14	0	13	0	0	1	0	983.78	205418.4350	0.00478915147
F5H284	PPIAL4D	erythrocytes	0	0	0	0	0	0	0	0	0	0	18166.5650	0
O00148	DDX39A	erythrocytes	11	11	11	0	5	0	0	6	0	215.9	48997.6850	0.004406330626
O00154	ACOT7	erythrocytes	3	3	3	0	3	0	0	0	0	126.12	41795.5950	0.003017542877
O00159	MYO1C	erythrocytes	7	7	7	0	7	0	0	0	0	418.03	121679.8600	0.003435490475
O00161	SNAP23	erythrocytes	14	14	14	0	8	6	0	0	0	2032.36	23353.7500	0.08702499599
O00178	GTPBP1	erythrocytes	9	9	9	0	9	0	0	0	0	719.82	72452.9400	0.009935000567
O00182	LGALS9	erythrocytes	0	0	0	0	0	0	0	0	0	0	39517.6400	0
O00186	STXBP3	erythrocytes	0	0	0	0	0	0	0	0	0	0	67763.4050	0
O00187	MASP2	plasma	13	13	11	2	1	0	0	0	12	-4.16	74159.5000	-5.609530809e-05
O00203	AP3B1	erythrocytes	4	4	4	0	4	0	0	0	0	319.92	121318.4050	0.002637027745
O00214	LGALS8	erythrocytes	0	0	0	0	0	0	0	0	0	0	35807.6400	0
O00231	PSMD11	erythrocytes	4	4	4	0	3	0	0	1	0	183.98	47331.7200	0.003887033896
O00232	PSMD12	erythrocytes	5	5	5	0	3	0	0	2	0	90.08	52772.4800	0.001706950289
O00233	PSMD9	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	24681.4500	0.003240490328
O00264	PGRMC1	erythrocytes	4	4	4	0	4	0	0	0	0	319.92	21670.8300	0.01476270175
O00299	CLIC1	erythrocytes	10	10	10	0	9	0	0	0	1	791.364	26791.2150	0.02953819004
O00303	EIF3F	erythrocytes	4	4	4	0	4	0	0	0	0	244.04	37432.1050	0.006519537173
O00370		erythrocytes	0	0	0	0	0	0	0	0	0	0	149009.3700	0
O00391	QSOX1	plasma	9	9	6	3	1	0	3	0	5	69.9	79576.8350	0.0008783963323
O00399	DCTN6	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	20746.8350	0.003855045842
O00410	IPO5	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	123496.8250	0.0009880415954
O00421	CCRL2	erythrocytes	2	2	1	1	0	0	1	0	1	-2.016	39512.8350	-5.102139596e-05
O00442	RTCA	erythrocytes	0	0	0	0	0	0	0	0	0	0	39336.3050	0
O00487	PSMD14	erythrocytes	3	3	3	0	3	0	0	0	0	239.94	34576.6350	0.00693936816
O00505	KPNA3	erythrocytes	4	4	4	0	4	0	0	0	0	281.98	57678.8250	0.004888795845
O00507	USP9Y	erythrocytes	5	5	5	0	5	0	0	0	0	399.9	291072.3700	0.001373885127
O00533	CHL1	plasma	19	19	9	10	3	0	10	0	6	227.844	132321.2450	0.001721900365
O00559	EBAG9	erythrocytes	3	3	3	0	3	0	0	0	0	239.94	24377.1200	0.009842836233
O00560	SDCBP	erythrocytes	3	3	3	0	3	0	0	0	0	202	32312.7100	0.006251410049
O00571	DDX3X	erythrocytes	31	31	31	0	30	0	0	1	0	1937.81	73111.2400	0.02650495327
O00629	KPNA4	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	57754.6050	0.002112731963
O00743	PPP6C	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	35143.8400	0.001196226707
O00762	UBE2C	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	19520.8150	0.006250763608
O00763	ACACB	erythrocytes	19	19	19	0	19	0	0	0	0	1665.93	276536.9050	0.006024259221
O00764	PDXK	erythrocytes	5	5	5	0	5	0	0	0	0	361.96	35101.8450	0.01031170869
O14523	C2CD2L	erythrocytes	18	18	18	0	18	0	0	0	0	1439.64	76180.0150	0.01889786974
O14556	GAPDHS	erythrocytes	0	0	0	0	0	0	0	0	0	0	44500.6550	0
O14562	UBFD1	erythrocytes	0	0	0	0	0	0	0	0	0	0	33381.5100	0
O14569	CYB561D2	erythrocytes	0	0	0	0	0	0	0	0	0	0	23842.0100	0
O14618	CCS	erythrocytes	6	6	6	0	1	0	0	4	1	5.884	29040.2250	0.00020261551
O14653	GOSR2	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	24774.9750	0.001696873559
O14656	TOR1A	erythrocytes	2	2	0	2	0	0	2	0	0	0	35776.6350	0
O14662	STX16	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	37030.5600	0.002159837712
O14735	CDIPT	erythrocytes	0	0	0	0	0	0	0	0	0	0	23538.4200	0
O14737	PDCD5	erythrocytes	4	4	4	0	4	0	0	0	0	244.04	14153.6450	0.01724220157
O14744	PRMT5	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	72682.7900	0.0005784037734
O14745	NHERF1	erythrocytes	12	12	12	0	12	0	0	0	0	921.82	38736.6700	0.02379708942
O14787	TNPO2	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	101386.5400	0.0004146507022
O14791	APOL1	plasma	3	3	2	1	2	0	1	0	0	159.96	41128.0400	0.003889317361
O14818	PSMA7	erythrocytes	3	3	3	0	2	0	1	0	0	325.21	27886.5050	0.01166191317
O14828	SCAMP3	erythrocytes	9	9	9	0	8	0	0	1	0	621.82	38286.3500	0.01624129749
O14880	MGST3	erythrocytes	2	2	2	0	0	2	0	0	0	476.82	16516.1150	0.02886998547
O14950	MYL12B	erythrocytes	2	2	2	0	2	0	0	0	0	159.96	19778.9150	0.008087400143
O14960	LECT2	erythrocytes	3	3	3	0	0	0	0	0	3	-6.048	14586.5800	-0.000414627692
O14964	HGS	erythrocytes	6	6	6	0	6	0	0	0	0	462.03	86190.5800	0.005360562604
O14975	SLC27A2	erythrocytes	2	2	2	0	2	0	0	0	0	122.02	70311.4250	0.001735422088
O14976	GAK	erythrocytes	17	17	17	0	17	0	0	0	0	1255.77	143057.1850	0.008778098073
O14980	XPO1	erythrocytes	7	7	7	0	7	0	0	0	0	483.98	123384.0700	0.003922548511
O14983	ATP2A1	erythrocytes	4	4	4	0	3	0	0	0	1	237.924	110251.1500	0.002158018306
O15020	SPTBN2	erythrocytes	9	9	9	0	9	0	0	0	0	681.88	271188.6800	0.002514411737
O15067	PFAS	erythrocytes	4	4	4	0	4	0	0	0	0	319.92	144732.3450	0.002210425044
O15084	ANKRD28	erythrocytes	2	2	2	0	2	0	0	0	0	159.96	112964.0900	0.001416025217
O15127	SCAMP2	erythrocytes	2	2	2	0	2	0	0	0	0	159.96	36648.2900	0.004364732979
O15131	KPNA5	erythrocytes	0	0	0	0	0	0	0	0	0	0	60665.4200	0
O15143	ARPC1B	erythrocytes	0	0	0	0	0	0	0	0	0	0	40818.0300	0
O15144	ARPC2	erythrocytes	2	2	2	0	2	0	0	0	0	84.08	34332.5950	0.002448984704
O15145	ARPC3	erythrocytes	4	4	4	0	3	0	0	1	0	146.04	20415.2200	0.007153486467
O15155	BET1	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	13289.2850	0.006018382479
O15162	PLSCR1	erythrocytes	8	8	8	0	3	5	0	0	0	1431.99	35048.7050	0.04085714437
O15165	LDLRAD4	erythrocytes	2	2	2	0	0	0	0	0	2	-4.032	33899.6450	-0.0001189392986
O15173	PGRMC2	erythrocytes	6	6	5	1	5	0	1	0	0	399.9	23818.1400	0.01678972413
O15195	VILL	erythrocytes	0	0	0	0	0	0	0	0	0	0	95905.9250	0
O15212	PFDN6	erythrocytes	5	5	5	0	3	0	0	2	0	90.08	14451.2150	0.006233385913
O15226	NKRF	erythrocytes	5	5	5	0	1	0	0	4	0	7.9	77671.9250	0.000101709852
O15243	LEPROT	erythrocytes	0	0	0	0	0	0	0	0	0	0	14253.5700	0
O15247	CLIC2	erythrocytes	1	1	1	0	0	0	0	0	1	-2.016	28356.0400	-7.109596403e-05
O15258	RER1	erythrocytes	5	5	5	0	5	0	0	0	0	361.96	22826.4700	0.01585702914
O15260	SURF4	erythrocytes	0	0	0	0	0	0	0	0	0	0	30262.3650	0
O15269	SPTLC1	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	52743.1900	0.001516404298
O15270	SPTLC2	erythrocytes	1	1	1	0	1	0	0	0	0	229.13	62923.5750	0.003641401494
O15371	EIF3D	erythrocytes	4	4	4	0	4	0	0	0	0	281.98	63971.9250	0.004407871109
O15400	STX7	erythrocytes	9	9	9	0	9	0	0	0	0	681.88	29683.7750	0.02297147179
O15431	SLC31A1	erythrocytes	5	5	2	3	2	0	2	0	1	95.98	21090.3650	0.004550893263
O15439	ABCC4	erythrocytes	4	4	4	0	4	0	0	0	0	319.92	149524.4000	0.002139583907
O15440	ABCC5	erythrocytes	14	14	6	8	6	0	8	0	0	479.88	160657.9100	0.002986967775
O15484	CAPN5	erythrocytes	0	0	0	0	0	0	0	0	0	0	73167.8650	0
O15498	YKT6	erythrocytes	5	5	5	0	2	3	0	0	0	809.26	22101.8400	0.03661505105
O15511	ARPC5	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	16189.0250	0.002596820994
O15523	DDX3Y	erythrocytes	17	17	17	0	16	0	0	1	0	856.03	73021.5000	0.0117229857
O15554	KCNN4	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	47694.7600	0.001676913774
O43143	DHX15	erythrocytes	3	3	3	0	2	0	0	1	0	104	90931.4900	0.001143718199
O43149	ZZEF1	erythrocytes	13	13	13	0	12	1	0	0	0	1132.18	330938.9550	0.003421114326
O43169	CYB5B	erythrocytes	5	5	5	0	5	0	0	0	0	296.01	15353.9400	0.01927909058
O43187	IRAK2	erythrocytes	1	1	1	0	1	0	0	0	0	79.98	69432.1500	0.001151915935
O43196	MSH5	erythrocytes	0	0	0	0	0	0	0	0	0	0	92873.9550	0
O43236	SEPTIN4	erythrocytes	5	5	5	0	5	0	0	0	0	399.9	112437.6550	0.003556637676
O43242	PSMD3	erythrocytes	4	4	4	0	2	0	0	2	0	123.92	60976.5450	0.002032256829
O43264	ZW10	erythrocytes	4	4	4	0	4	0	0	0	0	244.04	88696.9050	0.002751392509
O43314	PPIP5K2	erythrocytes	11	11	11	0	11	0	0	0	0	879.78	140404.8500	0.006266022862
O43396	TXNL1	erythrocytes	2	2	2	0	1	0	0	0	1	77.964	32119.7750	0.00242728973
O43399	TPD52L2	erythrocytes	13	13	13	0	13	0	0	0	0	1001.8	22237.4250	0.04505018005
O43414	ERI3	erythrocytes	0	0	0	0	0	0	0	0	0	0	37237.6600	0
O43426	SYNJ1	erythrocytes	13	13	13	0	13	0	0	0	0	973.79	173100.3800	0.005625579794
O43427	FIBP	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	41746.2100	0.001007037525
O43447	PPIH	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	19076.8050	0.002203723317
O43488	AKR7A2	erythrocytes	4	4	4	0	4	0	0	0	0	302.07	35599.6900	0.008485186247
O43491	EPB41L2	erythrocytes	25	25	25	0	23	0	0	2	0	1765.56	112455.3750	0.01570009437
O43504	LAMTOR5	erythrocytes	1	1	1	0	1	0	0	0	0	42.04	9613.7900	0.004372885199
O43505	B4GAT1	erythrocytes	2	2	0	2	0	0	2	0	0	0	47118.3700	0
O43583	DENR	erythrocytes	5	5	5	0	5	0	0	0	0	361.96	21960.5800	0.01648226049
O43592	XPOT	erythrocytes	2	2	2	0	2	0	0	0	0	84.08	109962.4350	0.0007646247557
O43598	DNPH1	erythrocytes	7	7	7	0	7	0	0	0	0	521.92	18976.9600	0.02750282448
O43617	TRAPPC3	erythrocytes	1	1	1	0	0	1	0	0	0	238.41	20273.8650	0.01175947457
O43633	CHMP2A	erythrocytes	6	6	6	0	6	0	0	0	0	441.94	25103.5650	0.01760467089
O43665	RGS10	erythrocytes	4	4	4	0	3	1	0	0	0	478.35	21209.5700	0.02255349826
