# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-19T05:52:13Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession_a	gene_a	accession_b	gene_b	n_shared_peptides	frac_of_a	frac_of_b
P12882	MYH1	Q9UKX2	MYH2	80	0.629921	0.629921
P12883	MYH7	P13533	MYH6	79	0.637097	0.632
P12882	MYH1	Q9Y623	MYH4	73	0.574803	0.574803
P69849	NOMO3	Q5JPE7	NOMO2	69	0.971831	0.958333
P13535	MYH8	Q9UKX2	MYH2	67	0.531746	0.527559
P12882	MYH1	P13535	MYH8	62	0.488189	0.492063
Q9UKX2	MYH2	Q9Y623	MYH4	57	0.448819	0.448819
Q641Q2	WASHC2A	Q9Y4E1	WASHC2C	55	0.763889	0.785714
P13535	MYH8	Q9Y623	MYH4	54	0.428571	0.425197
C9J798	RASA4B	O43374	RASA4	52	0.962963	0.945455
B5ME19	EIF3CL	Q99613	EIF3C	45	0.978261	0.978261
P11055	MYH3	P13535	MYH8	45	0.354331	0.357143
P11055	MYH3	P12882	MYH1	44	0.346457	0.346457
P11055	MYH3	Q9UKX2	MYH2	42	0.330709	0.330709
P11055	MYH3	Q9Y623	MYH4	41	0.322835	0.322835
P12882	MYH1	Q9UKX3	MYH13	39	0.307087	0.312
Q9UKX3	MYH13	Q9Y623	MYH4	37	0.296	0.291339
P0DMV8	HSPA1A	P0DMV9	HSPA1B	36	1	1
P13535	MYH8	Q9UKX3	MYH13	36	0.285714	0.288
Q9UKX2	MYH2	Q9UKX3	MYH13	36	0.283465	0.288
P11055	MYH3	Q9UKX3	MYH13	33	0.259843	0.264
P12882	MYH1	P12883	MYH7	33	0.259843	0.266129
P12883	MYH7	Q9UKX2	MYH2	32	0.258065	0.251969
P12882	MYH1	P13533	MYH6	31	0.244094	0.248
P12883	MYH7	Q9Y623	MYH4	30	0.241935	0.23622
Q9Y6D5	ARFGEF2	Q9Y6D6	ARFGEF1	30	0.277778	0.294118
P12883	MYH7	P13535	MYH8	29	0.233871	0.230159
P13533	MYH6	Q9UKX2	MYH2	29	0.232	0.228346
P42229	STAT5A	P51692	STAT5B	29	0.604167	0.630435
O00571	DDX3X	O15523	DDX3Y	28	0.682927	0.651163
P13533	MYH6	P13535	MYH8	28	0.224	0.222222
P13533	MYH6	Q9Y623	MYH4	28	0.224	0.220472
Q9NUU7	DDX19A	Q9UMR2	DDX19B	27	0.794118	0.84375
P11055	MYH3	P12883	MYH7	26	0.204724	0.209677
P11055	MYH3	P13533	MYH6	25	0.19685	0.2
P13533	MYH6	Q9UKX3	MYH13	25	0.2	0.2
Q5T9A4	ATAD3B	Q9NVI7	ATAD3A	25	0.581395	0.609756
P04746	AMY2A	P19961	AMY2B	24	0.857143	0.857143
P0DUB6	AMY1A	P19961	AMY2B	24	0.827586	0.857143
P12883	MYH7	Q9UKX3	MYH13	24	0.193548	0.192
