# Generated by pipeline/digest.py — DO NOT EDIT BY HAND
# generated = 2026-09-19T18:28:04Z
# digest = trypsin; cleave_after=KR; cleave_before_proline=both; length 6-30; missed_cleavages=0; source=Schwanhausser et al. 2011 (B4), Methods, iBAQ definition, as restated in Nature Sci Data 2018;5:180128 (doi 10.1038/sdata.2018.128): "theoretically observable tryptic peptides between 6 and 30 amino acids". Proline rule not stated in A1 Methods; both computed, difference disclosed (D49).
accession	gene	tier	length	mw_full	n_peptides	peptides_per_kDa	n_peptides_trypsin_P	n_peptides_trypsin	proline_rule_rel_diff
A0A075B6S2	IGKV2D-29	2	120	13142.9	6	0.45652	6	5	0.166667
A0A096LP55	UQCRHL	2	91	10751.6	7	0.651064	7	7	0
A0A0A0MRZ7	IGKV2D-26	2	120	13296.9	5	0.376027	5	5	0
A0A0B4J1X5	IGHV3-74	2	117	12839.5	7	0.545195	7	7	0
A0A0C4DH42	IGHV3-66	2	116	12698.4	6	0.472502	6	6	0
A0A1B0GWK0	PVALEF	1	134	15275.1	7	0.458262	7	7	0
A0A8I5KQE6	RPSA2	2	295	32908.6	15	0.455809	15	15	0
A0AVT1	UBA6	2	1052	117968	64	0.542519	64	62	0.03125
A0FGR8	ESYT2	2	921	102356	53	0.517801	53	51	0.0377358
A0PJW6	TMEM223	2	202	22048.7	15	0.680313	15	11	0.266667
A1L0T0	HACL2	2	632	67866.8	30	0.442043	30	29	0.0333333
A1L4K1	FSD2	2	749	85384.2	36	0.421624	36	34	0.0555556
A2A2Y4	FRMD3	2	597	68771	32	0.465312	32	32	0
A2RRP1	NBAS	2	2371	268567	132	0.491498	132	129	0.0227273
A2RTX5	TARS3	2	802	92644.2	48	0.518111	48	44	0.0833333
A2RUH7	MYBPHL	1	354	38732.8	16	0.413087	16	14	0.125
A3KMH1	VWA8	2	1905	214821	125	0.581879	125	123	0.016
A4D126	CRPPA	2	451	49871.9	30	0.601541	30	26	0.133333
A4UGR9	XIRP2	1	3374	382294	231	0.604246	231	222	0.038961
A5D6W6	FITM1	2	292	32206.4	14	0.434696	14	14	0
A5D8V6	VPS37C	2	355	38658.3	13	0.336279	13	10	0.230769
A5YM72	CARNS1	2	827	88483.1	39	0.440762	39	38	0.025641
A6NCE7	MAP1LC3B2	2	125	14627.8	5	0.341815	5	5	0
A6NDG6	PGP	2	321	34005.6	19	0.558731	19	19	0
A6NHG4	DDTL	2	134	14195.1	9	0.634022	9	8	0.111111
A6NHR9	SMCHD1	2	2005	226370	127	0.561027	127	122	0.0393701
A6NHZ5	LRRC14B	2	514	56756.6	30	0.528573	30	27	0.1
A6NMY6	ANXA2P2	2	339	38658.5	23	0.594954	23	23	0
A6NMZ7	COL6A6	2	2263	247170	129	0.521907	129	125	0.0310078
A6NNL5	C15orf61	2	157	18090.7	10	0.552772	10	11	-0.1
A6NNS2	DHRS7C	2	312	34877.6	23	0.65945	23	23	0
A6NNT2	C16orf96	2	1141	125039	57	0.455857	57	50	0.122807
A7E2Y1	MYH7B	1	1983	225841	128	0.56677	128	127	0.0078125
A8K2U0	A2ML1	2	1454	161104	74	0.45933	74	68	0.0810811
A8MU46	SMTNL1	1	494	52986.1	25	0.471821	25	26	-0.04
A8MWD9	SNRPGP15	2	76	8543.97	5	0.585208	5	5	0
A8MXV4	NUDT19	2	375	42232.6	21	0.497247	21	19	0.0952381
A8MZF0	PRR33	2	331	35186.4	20	0.568402	20	16	0.2
B0YJ81	HACD1	2	288	32387.3	11	0.339639	11	9	0.181818
B1AJZ9	FHAD1	2	1412	161901	100	0.61766	100	99	0.01
B2RPK0	HMGB1P1	2	211	24237.8	10	0.412579	10	11	-0.1
B5ME19	EIF3CL	2	914	105471	46	0.436137	46	44	0.0434783
B9A064	IGLL5	2	214	23062.9	13	0.563675	13	11	0.153846
C9J798	RASA4B	2	803	90405.1	54	0.597311	54	52	0.037037
E7EW31	PROB1	2	1015	106915	55	0.514426	55	54	0.0181818
E9PQ53	NDUFC2-KCTD14	2	114	13407.4	9	0.671272	9	9	0
O00115	DNASE2	2	360	39580.2	15	0.378977	15	15	0
O00116	AGPS	2	658	72910.9	40	0.548615	40	39	0.025
O00139	KIF2A	2	706	79953.5	46	0.575335	46	43	0.0652174
O00151	PDLIM1	1	329	36071.3	19	0.526735	19	19	0
O00154	ACOT7	2	380	41795.6	21	0.502445	21	21	0
O00161	SNAP23	2	211	23353.8	14	0.599475	14	14	0
O00165	HAX1	2	279	31620	19	0.600885	19	18	0.0526316
O00168	FXYD1	2	92	10441	3	0.287329	3	3	0
O00178	GTPBP1	2	669	72452.9	33	0.455468	33	30	0.0909091
O00182	LGALS9	2	355	39517.6	16	0.404882	16	16	0
O00186	STXBP3	2	592	67763.4	36	0.53126	36	37	-0.0277778
O00192	ARVCF	2	962	104640	57	0.544723	57	54	0.0526316
O00193	SMAP	2	183	20332.2	8	0.393464	8	8	0
O00203	AP3B1	2	1094	121318	63	0.519295	63	62	0.015873
O00204	SULT2B1	2	365	41307.1	24	0.581014	24	22	0.0833333
O00217	NDUFS8	2	210	23704.8	15	0.632784	15	15	0
O00231	PSMD11	2	422	47462.9	32	0.674211	32	32	0
O00232	PSMD12	2	456	52903.7	34	0.642677	34	34	0
O00233	PSMD9	2	223	24681.5	12	0.486195	12	11	0.0833333
O00244	ATOX1	2	68	7401.59	4	0.540425	4	4	0
O00264	PGRMC1	2	195	21670.8	10	0.46145	10	10	0
O00267	SUPT5H	2	1087	120998	57	0.471082	57	56	0.0175439
O00291	HIP1	2	1037	116219	66	0.567892	66	66	0
O00299	CLIC1	2	241	26922.4	17	0.631444	17	17	0
O00303	EIF3F	2	357	37563.3	16	0.425948	16	16	0
O00330	PDHX	2	501	54121.5	30	0.554308	30	28	0.0666667
O00391	QSOX1	2	747	82576.4	50	0.6055	50	50	0
O00399	DCTN6	2	190	20746.8	8	0.385601	8	7	0.125
O00401	WASL	2	505	54826.2	27	0.492465	27	25	0.0740741
O00410	IPO5	2	1097	123628	58	0.469149	58	55	0.0517241
O00418	EEF2K	2	725	82142.9	44	0.535652	44	43	0.0227273
O00423	EML1	2	815	89859.8	45	0.50078	45	46	-0.0222222
O00425	IGF2BP3	2	579	63704.1	35	0.549415	35	34	0.0285714
O00429	DNM1L	2	736	81876	53	0.647321	53	52	0.0188679
O00442	RTCA	2	366	39336.3	21	0.533858	21	20	0.047619
O00461	GOLIM4	2	696	81878.9	44	0.537379	44	44	0
O00468	AGRN	2	2068	217317	107	0.492367	107	99	0.0747664
O00469	PLOD2	2	737	84684.6	44	0.519575	44	41	0.0681818
O00471	EXOC5	2	708	81851.7	47	0.574209	47	47	0
O00478	BTN3A3	2	584	65001	28	0.430763	28	28	0
O00479	HMGN4	2	90	9538.81	3	0.314505	3	4	-0.333333
O00481	BTN3A1	2	513	57676.3	30	0.520144	30	31	-0.0333333
O00483	COXFA4	2	81	9369.73	6	0.64036	6	6	0
O00487	PSMD14	2	310	34576.6	17	0.491661	17	16	0.0588235
O00499	BIN1	1	593	64698.4	30	0.46369	30	30	0
O00505	KPNA3	2	521	57810	20	0.345961	20	19	0.05
O00541	PES1	2	588	68001.7	36	0.529398	36	36	0
O00567	NOP56	2	594	66049	36	0.54505	36	36	0
O00571	DDX3X	2	662	73242.4	41	0.559785	41	40	0.0243902
O00629	KPNA4	2	521	57885.8	20	0.345508	20	19	0.05
O00754	MAN2B1	2	1011	113742	56	0.492341	56	55	0.0178571
O00757	FBP2	1	339	36742.7	17	0.462676	17	15	0.117647
O00763	ACACB	2	2458	276537	143	0.51711	143	141	0.013986
O00764	PDXK	2	312	35101.8	19	0.541282	19	18	0.0526316
O14497	ARID1A	2	2285	242041	90	0.371838	90	77	0.144444
O14521	SDHD	2	159	17042.7	7	0.410734	7	5	0.285714
O14531	DPYSL4	2	572	61876.8	36	0.581801	36	35	0.0277778
O14545	TRAFD1	2	582	64840.2	31	0.478099	31	26	0.16129
O14548	COX7A2L	2	114	12614.5	8	0.63419	8	6	0.25
O14558	HSPB6	2	160	17135.3	7	0.408514	7	7	0
O14561	NDUFAB1	2	156	17417	10	0.574151	10	9	0.1
O14562	UBFD1	2	309	33381.5	14	0.419394	14	12	0.142857
O14579	COPE	2	308	34481.4	21	0.609024	21	19	0.0952381
O14602	EIF1AY	2	144	16442.2	10	0.608192	10	10	0
O14617	AP3D1	2	1153	130156	58	0.445619	58	57	0.0172414
O14618	CCS	2	274	29040.2	14	0.48209	14	15	-0.0714286
O14639	ABLIM1	2	778	87686.5	57	0.650043	57	53	0.0701754
O14647	CHD2	2	1828	211340	103	0.487366	103	103	0
O14653	GOSR2	2	212	24775	11	0.443996	11	11	0
O14657	TOR1B	2	336	37978.4	21	0.552947	21	20	0.047619
O14672	ADAM10	2	748	84141.2	45	0.534815	45	44	0.0222222
O14681	EI24	2	340	38964	16	0.410636	16	16	0
O14683	TP53I11	2	189	21053.6	7	0.332485	7	7	0
O14732	IMPA2	2	288	31320.4	16	0.510849	16	16	0
O14735	CDIPT	2	213	23538.4	9	0.382354	9	8	0.111111
O14737	PDCD5	2	125	14284.8	10	0.700043	10	10	0
O14744	PRMT5	2	637	72682.8	39	0.536578	39	37	0.0512821
O14745	NHERF1	2	358	38867.9	27	0.694661	27	27	0
O14776	TCERG1	2	1098	123899	54	0.435838	54	50	0.0740741
O14791	APOL1	2	398	43973.5	21	0.47756	21	19	0.0952381
O14818	PSMA7	2	248	27886.5	16	0.573754	16	16	0
O14828	SCAMP3	2	347	38286.3	13	0.339547	13	13	0
O14832	PHYH	2	338	38537.8	23	0.596817	23	20	0.130435
O14841	OPLAH	2	1288	137455	57	0.41468	57	55	0.0350877
O14874	BCKDK	2	412	46359.7	25	0.539262	25	23	0.08
O14879	IFIT3	2	490	55984	30	0.535868	30	30	0
O14880	MGST3	2	152	16516.1	8	0.484375	8	8	0
O14908	GIPC1	2	333	36048.8	18	0.499323	18	18	0
O14925	TIMM23	2	209	21942.9	10	0.455728	10	10	0
O14949	UQCRQ	2	82	9906.26	6	0.605677	6	6	0
O14950	MYL12B	1	172	19778.9	11	0.556148	11	11	0
O14958	CASQ2	1	399	46435.1	19	0.409173	19	18	0.0526316
O14964	HGS	2	777	86190.6	29	0.336464	29	29	0
O14967	CLGN	2	610	70037.6	36	0.51401	36	27	0.25
O14972	VPS26C	2	297	33010.1	16	0.484701	16	15	0.0625
O14974	PPP1R12A	1	1030	115279	54	0.468429	54	53	0.0185185
O14979	HNRNPDL	2	420	46436.9	23	0.495296	23	24	-0.0434783
O14980	XPO1	2	1071	123384	58	0.470077	58	58	0
