# GENERATED by mass_fractions_pools.py. DO NOT EDIT BY HAND.
# generated   = 2026-09-19T07:18:36Z
# category    = blood
# pool erythrocytes: bryk_2017 file.1 data/literature/bryk_2017/pr7b00025_si_002.xlsx sha256 de865512e5f0478dc6ba2e17258013fa7084a74144fdf1c07bd0e9174daf6400; sheet 'Table S3', header row 3; Bryk AH, Wiśniewski JR. Quantitative analysis of human red blood cell proteome. J Proteome Res 2017;16(8):2752-2761.  [author list verified 2026-09-18 from the article PDF on disk]
# pool plasma: geyer_2016 file.1 data/literature/geyer_2016/1-s2.0-S2405471216300722-mmc3.xlsx sha256 ccffa0e715fa41a3c839842830bcdea45e068004b6b9e1096133c38a6d0921d2; sheet 'Supplementary Table S2', header row 1; Geyer PE, Kulak NA, Pichler G, Holdt LM, Teupser D, Mann M. Plasma proteome profiling to assess human health and disease. Cell Syst 2016;2(3):185-195.  [author list verified 2026-09-18 from the article PDF on disk]
# accessions  = config/blood/accessions.ini sha256 ca1780b8054f3bd0c63af53ab3bf3232e35cca24e13302444f0e92a8639fb271
# composition = outputs/blood/intermediate/composition/amino_acid_composition_per_protein.tsv sha256 5fa362bcf0b6766e6d694840c9c21f80e8d5c70b324748fd239b4caa786cd439
# rules       = B0 (hash), D105 (published mass share, no MW step), D108 (mean of replicates), D47 (summed rows), D48 (shared rows), D53a, D31 (within pool), B5 (low/high), A7, D113 (immunoglobulin bound)
# v = the entry's published mass share (mass_share, D105), summed over its rows (D47) plus its split of shared rows (D48); as a fraction of the listing (not renormalised).
# sd / n: share_columns -> sd over the replicates of v (the replicate sums, D53a), n = replicates; replicate_columns (log10 runs) -> sd of 10^run in linear space, n = runs present.
# w_<pool> = v / sum over the pool's entries (D31 within pool: the listing renormalised after the contaminant rule removed its rows); _low/_high = (v -/+ sd) over the same denominator, _high plus the whole of every shared row (B5, D48).
# v_<pool>_rep<k> = the entry's share in replicate k (the per-donor sensitivity's input); cv_percent_published = the dataset's own CV column, carried for the first row of the entry.
# match_rule: single | summed:n | shared_split | none (no dataset row, or every row zero-weighted; w = 0).
accession	gene	tier	mw_master	match_rule_erythrocytes	n_rows_erythrocytes	rows_erythrocytes	v_erythrocytes	sd_erythrocytes	n_erythrocytes	published_share_erythrocytes	shared_row_value_erythrocytes	w_erythrocytes	w_erythrocytes_low	w_erythrocytes_high	v_erythrocytes_rep1	v_erythrocytes_rep2	v_erythrocytes_rep3	v_erythrocytes_rep4	match_rule_plasma	n_rows_plasma	rows_plasma	v_plasma	sd_plasma	n_plasma	published_share_plasma	shared_row_value_plasma	w_plasma	w_plasma_low	w_plasma_high	cv_percent_published_plasma
A0A087WW87	IGKV2-40	erythrocytes	11245.3650	single	1	1109	0	0	4	0	0	0	0	0	0	0	0	0												
A0AVT1	UBA6	erythrocytes	117968.2850	summed:2	2	2447;2448	2.370142711e-06	1.370162582e-06	4	2.370142711e-06	0	2.390614716e-06	1.008617414e-06	3.772612017e-06	1.446995081e-06	1.58786139e-06	4.38768055e-06	2.058033824e-06												
A0FGR8	ESYT2	erythrocytes	102355.8400	single	1	786	7.097578877e-06	7.836457564e-06	4	7.097578877e-06	0	7.158883906e-06	0	1.506302853e-05	1.803603431e-05	7.461313996e-06	1.984226726e-06	9.087404778e-07												
A0M8Q6	IGLC7	plasma	11253.4650																single	1	205	343119973.7	105807788.7	15	8.485588367e-05	0	8.515947968e-05	5.889888012e-05	0.0001114200792	28.7
A1A5C7	SLC22A23	erythrocytes	73747.1650	single	1	2131	9.320883095e-07	8.943327487e-07	4	9.320883095e-07	0	9.401391817e-07	3.808167279e-08	1.842196691e-06	4.193059181e-07	2.270660573e-06	4.755627922e-07	5.62823955e-07												
A1IGU5	ARHGEF37	erythrocytes	76276.8700	single	1	196	9.421703354e-07	1.107901287e-06	4	9.421703354e-07	0	9.503082906e-07	0	2.067779027e-06	0	2.328058891e-06	1.343015339e-06	9.760711112e-08												
A1KZ92	PXDNL	erythrocytes	161036.3550	single	1	1824	2.282880887e-07	4.565761775e-07	4	2.282880887e-07	0	2.302599171e-07	0	6.907797514e-07	0	0	0	9.131523549e-07												
A1L0T0	HACL2	erythrocytes	67866.7650	single	1	1115	9.369000125e-08	1.873800025e-07	4	9.369000125e-08	0	9.449924455e-08	0	2.834977337e-07	0	3.74760005e-07	0	0												
A2RRP1	NBAS	erythrocytes	268566.9700	single	1	1440	2.156380703e-05	4.291286114e-06	4	2.156380703e-05	0	2.175006348e-05	1.742171157e-05	2.607841539e-05	2.723694908e-05	2.135554138e-05	1.682076478e-05	2.08419729e-05												
A2RU67	FAM234B	erythrocytes	67037.5250	single	1	1181	1.006932991e-06	1.468538188e-06	4	1.006932991e-06	0	1.015630331e-06	0	2.496852953e-06	0	0	9.151947298e-07	3.112537233e-06												
A4D1P6	WDR91	erythrocytes	83343.1600	single	1	2575	2.300198907e-05	1.825311959e-05	4	2.300198907e-05	0	2.320066775e-05	4.789887635e-06	4.161144786e-05	5.028071295e-05	1.476371741e-05	1.17123256e-05	1.525120032e-05												
A5A3E0	POTEF	erythrocytes	121443.0300	single	1	1665	1.593627518e-05	1.137447163e-05	4	1.593627518e-05	0	1.607392406e-05	4.601205926e-06	2.75466422e-05	0	1.901404703e-05	2.694961425e-05	1.778143944e-05												
